,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,-0.008,-0.023,-0.047,-0.087,-0.138,-0.208,-0.300,-0.420,-0.420
ACSA2,-0.006,-0.046,-0.118,-0.232,-0.369,-0.527,-0.708,-0.708,-0.708
ACSA1,-0.010,-0.033,-0.076,-0.144,-0.217,-0.289,-0.353,-0.402,-0.430
CEOC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRPE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GLTR,-0.010,-0.037,-0.091,-0.186,-0.304,-0.440,-0.589,-0.589,-0.589
GYDI,-0.004,-0.020,-0.056,-0.118,-0.177,-0.177,-0.177,-0.177,-0.177
POSA,-0.042,-0.131,-0.280,-0.508,-0.770,-1.069,-1.405,-1.780,-2.194
QUMA1,-0.021,-0.046,-0.255,-0.726,-1.334,-1.334,-1.334,-1.334,-1.334
TIAM,-0.001,-0.016,-0.063,-0.168,-0.312,-0.484,-0.675,-0.675,-0.675
TICO,-0.001,-0.015,-0.059,-0.141,-0.217,-0.217,-0.217,-0.217,-0.217
ULAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ULPU,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PY,-0.002,-0.021,-0.059,-0.054,-0.054,-0.054,-0.054,-0.054,-0.054
MA2,0.000,0.000,-0.001,-0.002,-0.003,-0.003,-0.003,-0.003,-0.003
PR,0.000,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
PIPO,-0.008,-0.026,-0.077,-0.254,-0.640,-1.331,-1.331,-1.331,-1.331
PIPU,-0.008,-0.052,-0.178,-0.440,-0.783,-1.176,-1.592,-1.592,-1.592
PINI,-0.004,-0.031,-0.112,-0.263,-0.421,-0.541,-0.541,-0.541,-0.541
PICO5,-0.005,-0.050,-0.195,-0.504,-0.504,-0.504,-0.504,-0.504,-0.504
ILOP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
MAGR,-0.003,-0.010,-0.093,-0.283,-0.517,-0.745,-0.918,-0.986,-0.986
QUNI,-0.003,-0.018,-0.116,-0.511,-1.092,-1.802,-2.581,-3.373,-4.120
BDL OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDM OTHER,-0.008,-0.023,-0.047,-0.087,-0.138,-0.208,-0.300,-0.420,-0.420
BDS OTHER,0.000,0.000,-0.001,-0.002,-0.003,-0.003,-0.003,-0.003,-0.003
CEL OTHER,-0.008,-0.052,-0.178,-0.440,-0.783,-1.176,-1.592,-1.592,-1.592
CEM OTHER,-0.004,-0.031,-0.112,-0.263,-0.421,-0.541,-0.541,-0.541,-0.541
CES OTHER,-0.005,-0.050,-0.195,-0.504,-0.504,-0.504,-0.504,-0.504,-0.504
BEL OTHER,-0.003,-0.018,-0.116,-0.511,-1.092,-1.802,-2.581,-3.373,-4.120
BEM OTHER,-0.003,-0.010,-0.093,-0.283,-0.517,-0.745,-0.918,-0.986,-0.986
BES OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
