,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,1.7,15.4,44.7,87.4,130.3,172.2,212.8,252.2,252.2
ACSA2,2.4,20.7,59.5,115.6,171.6,226.1,278.8,278.8,278.8
ACSA1,2.1,18.2,52.0,100.6,149.0,196.0,241.3,285.2,327.5
CEOC,1.4,14.4,45.5,93.7,144.1,194.5,244.3,293.3,341.3
FRAM,2.3,19.3,54.6,105.0,154.8,203.1,249.7,249.7,249.7
FRPE,2.1,17.7,50.6,97.8,144.9,190.6,234.7,234.7,234.7
GLTR,3.2,22.9,59.5,108.4,154.9,198.6,240.0,240.0,240.0
GYDI,2.8,22.0,59.8,112.0,162.7,162.7,162.7,162.7,162.7
POSA,1.0,10.4,32.3,66.2,101.3,136.4,171.0,204.9,238.2
QUMA1,0.8,11.3,41.0,92.2,149.2,149.2,149.2,149.2,149.2
TIAM,0.7,8.3,28.3,61.2,96.7,133.1,169.7,169.7,169.7
TICO,1.6,13.6,38.9,75.5,111.9,111.9,111.9,111.9,111.9
ULAM,1.5,15.8,49.6,102.1,156.7,211.4,265.4,318.5,370.5
ULPU,4.0,24.6,59.7,104.1,145.0,182.7,217.8,250.7,281.8
PY,1.8,11.4,28.1,49.7,49.7,49.7,49.7,49.7,49.7
MA2,1.9,15.7,44.3,84.8,124.9,124.9,124.9,124.9,124.9
PR,4.0,16.4,32.7,32.7,32.7,32.7,32.7,32.7,32.7
PIPO,1.2,8.5,22.1,40.3,57.6,73.9,73.9,73.9,73.9
PIPU,1.5,10.1,25.2,44.9,63.2,80.3,96.3,96.3,96.3
PINI,2.1,11.1,25.0,41.6,56.3,69.6,69.6,69.6,69.6
PICO5,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6
ILOP,2.7,8.1,21.6,49.9,89.8,89.8,89.8,89.8,89.8
MAGR,5.1,12.9,31.4,68.8,120.7,186.9,267.7,362.9,362.9
QUNI,2.9,10.7,31.1,71.9,125.7,189.6,260.9,337.0,415.7
BDL OTHER,2.1,17.7,50.6,97.8,144.9,190.6,234.7,234.7,234.7
BDM OTHER,1.7,15.4,44.7,87.4,130.3,172.2,212.8,252.2,252.2
BDS OTHER,1.9,15.7,44.3,84.8,124.9,124.9,124.9,124.9,124.9
CEL OTHER,1.5,10.1,25.2,44.9,63.2,80.3,96.3,96.3,96.3
CEM OTHER,2.1,11.1,25.0,41.6,56.3,69.6,69.6,69.6,69.6
CES OTHER,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6
BEL OTHER,2.9,10.7,31.1,71.9,125.7,189.6,260.9,337.0,415.7
BEM OTHER,5.1,12.9,31.4,68.8,120.7,186.9,267.7,362.9,362.9
BES OTHER,2.7,8.1,21.6,49.9,89.8,89.8,89.8,89.8,89.8
