,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,3.0,29.8,63.0,112.4,152.0,204.4,270.9,354.7,351.7
ACSA2,2.3,33.0,77.9,147.0,197.5,252.2,313.5,300.4,297.9
ACSA1,2.4,42.1,94.4,168.6,218.7,261.8,296.0,321.7,343.4
CEOC,1.8,25.4,68.5,147.2,206.7,264.8,317.7,359.7,401.3
FRAM,2.3,43.4,91.3,153.7,193.3,230.5,266.3,255.3,253.2
FRPE,8.4,19.0,62.3,146.4,207.5,263.4,304.9,292.2,289.8
GLTR,1.9,29.0,67.1,134.2,181.3,235.0,290.1,277.9,275.5
GYDI,1.9,26.9,70.7,140.7,181.2,166.4,157.2,150.9,149.7
POSA,1.7,26.2,53.1,94.8,122.9,154.9,189.5,225.8,270.6
QUMA1,1.8,11.0,52.6,142.0,214.1,195.9,184.6,176.9,175.4
TIAM,3.3,14.7,53.7,144.3,211.5,295.0,380.7,364.4,361.3
TICO,1.7,16.6,61.7,137.0,180.7,165.5,156.1,149.7,148.4
ULAM,1.8,35.4,71.8,122.6,162.4,213.3,277.5,364.5,484.2
ULPU,2.0,68.6,158.5,211.1,233.7,249.3,269.0,301.4,357.5
PY,6.1,13.6,34.3,29.5,27.3,25.2,23.9,23.0,22.8
MA2,5.2,11.0,27.1,77.2,130.8,119.8,113.0,108.4,107.5
PR,3.8,13.6,26.6,23.7,21.8,19.9,18.7,17.9,17.8
PIPO,3.1,8.0,21.8,84.9,145.4,273.6,257.2,246.0,243.9
PIPU,4.2,10.5,33.1,85.1,123.1,166.3,210.4,201.7,200.0
PINI,3.7,9.3,29.4,70.2,91.0,106.4,100.0,95.7,94.8
PICO5,1.7,8.2,27.2,48.0,1.8,1.8,1.8,1.8,1.8
ILOP,0.2,0.8,5.1,28.4,55.9,51.6,8.2,8.2,8.2
MAGR,1.8,3.3,20.1,62.0,93.0,122.7,142.1,22.0,22.0
QUNI,1.9,5.5,26.9,119.8,197.0,287.0,378.3,24.9,28.6
BDL OTHER,8.4,19.0,62.3,146.4,207.5,263.4,304.9,292.2,289.8
BDM OTHER,3.1,29.8,63.0,112.4,152.0,204.4,270.9,354.7,351.7
BDS OTHER,5.2,11.0,27.1,77.2,130.8,119.8,113.0,108.4,107.5
CEL OTHER,4.2,10.5,33.1,85.1,123.1,166.3,210.4,201.7,200.0
CEM OTHER,3.7,9.3,29.4,70.2,91.0,106.4,100.0,95.7,94.8
CES OTHER,1.7,8.2,27.2,48.0,1.8,1.8,1.8,1.8,1.8
BEL OTHER,1.9,5.5,26.9,119.8,197.0,287.0,378.3,24.9,28.6
BEM OTHER,1.8,3.3,20.1,62.0,93.0,122.7,142.1,22.0,22.0
BES OTHER,0.2,0.8,5.1,28.4,55.9,51.6,8.2,8.2,8.2
