,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.14,1.13,3.26,6.39,9.53,12.67,15.74,18.73,18.73
ACSA2,0.18,1.53,4.31,8.38,12.61,16.71,20.71,24.65,24.65
ACSA1,0.16,1.37,3.89,7.51,11.14,14.65,18.03,21.30,24.44
CEOC,0.17,1.77,5.39,11.45,18.05,24.37,30.62,36.76,42.76
FRAM,0.18,1.45,4.07,7.82,11.53,15.15,18.60,18.60,18.60
FRPE,0.13,1.09,3.38,6.79,10.12,13.42,16.54,19.52,22.21
GLTR,0.24,1.56,3.97,7.59,10.93,14.15,17.28,20.19,23.12
GYDI,0.23,1.66,4.59,8.82,12.96,16.63,16.63,16.63,16.63
POSA,0.09,0.80,2.47,5.05,7.73,10.41,13.08,15.67,18.28
QUMA1,0.05,0.65,2.68,6.05,9.81,13.73,17.75,21.76,25.77
TIAM,0.07,0.80,2.74,6.00,9.52,13.24,17.03,17.03,17.02
TICO,0.07,1.10,3.69,7.33,10.87,12.44,12.44,12.44,12.44
ULAM,0.10,0.83,2.56,5.24,8.05,10.86,13.74,16.58,19.42
ULPU,0.72,4.12,9.87,17.10,23.74,28.94,34.26,39.72,46.16
PY,0.13,1.04,2.69,3.96,4.95,4.95,4.95,4.95,4.95
MA2,0.05,0.35,0.97,1.94,3.15,4.25,4.25,4.25,4.25
PR,0.31,1.12,2.25,3.75,3.75,3.75,3.75,3.75,3.75
PIPO,0.29,1.14,3.37,9.25,14.55,18.68,18.68,18.68,18.68
PIPU,0.25,1.54,5.12,11.33,17.69,22.98,27.60,27.60,27.60
PINI,0.13,1.25,4.51,9.27,13.75,17.12,18.37,18.37,18.37
PICO5,0.10,0.84,2.54,4.67,6.34,7.80,7.80,7.80,7.80
ILOP,0.10,0.84,2.54,4.67,6.34,7.80,7.80,7.80,7.80
MAGR,0.13,1.25,4.51,9.27,13.75,17.12,18.37,18.37,18.37
QUNI,0.25,1.54,5.12,11.33,17.69,22.98,27.60,27.60,27.60
BDL OTHER,0.13,1.09,3.38,6.79,10.12,13.42,16.54,19.52,22.21
BDM OTHER,0.14,1.13,3.26,6.39,9.53,12.67,15.74,18.73,18.73
BDS OTHER,0.05,0.35,0.97,1.94,3.15,4.25,4.25,4.25,4.25
CEL OTHER,0.25,1.54,5.12,11.33,17.69,22.98,27.60,27.60,27.60
CEM OTHER,0.13,1.25,4.51,9.27,13.75,17.12,18.37,18.37,18.37
CES OTHER,0.10,0.84,2.54,4.67,6.34,7.80,7.80,7.80,7.80
BEL OTHER,0.25,1.54,5.12,11.33,17.69,22.98,27.60,27.60,27.60
BEM OTHER,0.13,1.25,4.51,9.27,13.75,17.12,18.37,18.37,18.37
BES OTHER,0.10,0.84,2.54,4.67,6.34,7.80,7.80,7.80,7.80
