,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,-0.007,-0.016,-0.033,-0.062,-0.105,-0.163,-0.241,-0.343,-0.344
ACSA2,-0.005,-0.039,-0.100,-0.200,-0.326,-0.473,-0.640,-0.643,-0.643
ACSA1,-0.009,-0.023,-0.055,-0.106,-0.169,-0.232,-0.288,-0.332,-0.356
CEOC,0.000,0.006,0.015,0.033,0.045,0.058,0.069,0.077,0.086
FRAM,0.000,0.010,0.020,0.034,0.042,0.050,0.058,0.055,0.055
FRPE,0.001,0.005,0.014,0.032,0.045,0.057,0.066,0.064,0.063
GLTR,-0.010,-0.030,-0.076,-0.156,-0.264,-0.389,-0.526,-0.529,-0.529
GYDI,-0.004,-0.013,-0.040,-0.087,-0.137,-0.140,-0.142,-0.144,-0.144
POSA,-0.041,-0.125,-0.268,-0.487,-0.743,-1.035,-1.363,-1.730,-2.135
QUMA1,-0.020,-0.043,-0.244,-0.694,-1.288,-1.292,-1.294,-1.296,-1.296
TIAM,-0.001,-0.013,-0.051,-0.136,-0.265,-0.420,-0.592,-0.596,-0.596
TICO,0.000,-0.011,-0.046,-0.111,-0.177,-0.181,-0.183,-0.184,-0.184
ULAM,0.000,0.008,0.016,0.028,0.036,0.047,0.061,0.078,0.103
ULPU,0.000,0.016,0.035,0.046,0.051,0.054,0.058,0.065,0.077
PY,-0.001,-0.018,-0.052,-0.047,-0.047,-0.048,-0.048,-0.048,-0.048
MA2,0.001,0.002,0.006,0.016,0.025,0.023,0.022,0.021,0.020
PR,0.001,0.003,0.005,0.004,0.004,0.004,0.003,0.003,0.003
PIPO,-0.008,-0.024,-0.073,-0.235,-0.608,-1.271,-1.275,-1.277,-1.277
PIPU,-0.007,-0.050,-0.171,-0.421,-0.755,-1.139,-1.545,-1.547,-1.547
PINI,-0.003,-0.029,-0.105,-0.248,-0.401,-0.518,-0.519,-0.520,-0.520
PICO5,-0.004,-0.048,-0.189,-0.493,-0.504,-0.504,-0.504,-0.504,-0.504
ILOP,0.000,0.000,0.001,0.006,0.012,0.011,0.002,0.002,0.002
MAGR,-0.003,-0.009,-0.089,-0.270,-0.497,-0.719,-0.888,-0.981,-0.981
QUNI,-0.003,-0.017,-0.110,-0.484,-1.049,-1.739,-2.500,-3.366,-4.111
BDL OTHER,0.001,0.005,0.014,0.032,0.045,0.057,0.066,0.064,0.063
BDM OTHER,-0.007,-0.016,-0.033,-0.062,-0.105,-0.163,-0.241,-0.343,-0.344
BDS OTHER,0.001,0.002,0.006,0.016,0.025,0.023,0.022,0.021,0.020
CEL OTHER,-0.007,-0.050,-0.171,-0.421,-0.755,-1.139,-1.545,-1.547,-1.547
CEM OTHER,-0.003,-0.029,-0.105,-0.248,-0.401,-0.518,-0.519,-0.520,-0.520
CES OTHER,-0.004,-0.048,-0.189,-0.493,-0.504,-0.504,-0.504,-0.504,-0.504
BEL OTHER,-0.003,-0.017,-0.110,-0.484,-1.049,-1.739,-2.500,-3.366,-4.111
BEM OTHER,-0.003,-0.009,-0.089,-0.270,-0.497,-0.719,-0.888,-0.981,-0.981
BES OTHER,0.000,0.000,0.001,0.006,0.012,0.011,0.002,0.002,0.002
