,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,43,35,115,138,112,28,10,3,0
ACSA2,126,3,5,3,6,2,2,2,0
ACSA1,1,2,13,52,39,59,48,47,37
CEOC,275,164,234,76,73,70,14,6,4
FRAM,148,86,33,3,3,5,1,0,0
FRPE,953,618,1013,472,249,148,72,26,2
GLTR,480,311,406,281,107,62,19,6,2
GYDI,15,76,79,5,0,1,0,0,0
POSA,0,7,9,11,7,8,20,42,129
QUMA1,600,291,168,7,10,2,1,1,0
TIAM,133,118,79,26,23,8,2,0,1
TICO,689,199,146,55,10,1,0,0,2
ULAM,4,7,7,12,75,222,210,125,53
ULPU,11,17,19,24,44,96,95,98,63
PY,105,42,11,2,2,1,0,0,0
MA2,406,133,143,61,15,7,1,2,0
PR,90,40,21,6,1,0,0,0,0
PIPO,4,37,65,28,1,1,0,0,0
PIPU,16,20,46,36,29,10,1,0,1
PINI,10,37,72,60,20,0,2,0,0
PICO5,0,0,0,0,0,0,0,0,0
ILOP,0,0,0,0,0,0,0,0,0
MAGR,0,0,0,0,0,0,0,0,0
QUNI,0,0,0,0,0,0,0,0,0
BDL OTHER,1363,353,154,121,99,64,54,21,56
BDM OTHER,125,51,29,0,3,1,0,0,0
BDS OTHER,329,31,43,27,10,2,0,0,0
CEL OTHER,10,1,14,15,4,4,0,0,0
CEM OTHER,2,6,30,51,11,0,0,0,0
CES OTHER,54,113,41,11,4,1,0,0,0
BEL OTHER,0,0,0,0,0,0,0,0,0
BEM OTHER,0,0,0,0,0,0,0,0,0
BES OTHER,0,0,0,0,0,0,0,0,0
#REF!,0,0,0,0,0,0,0,0,0
#REF!,0,0,0,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Tree Numbers,,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
