,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,10.4,10.2,10.5,11.6,12.9,12.7,9.3,11.9,0.0
ACSA2,6.9,7.7,8.8,10.0,11.2,12.1,13.1,0.0,0.0
ACSA1,18.7,23.6,26.6,28.3,26.3,22.0,15.3,7.9,1.7
CEOC,6.7,10.9,16.4,20.7,21.7,20.1,16.6,11.3,5.7
FRAM,17.0,17.9,18.6,18.5,17.2,14.9,11.6,0.0,0.0
FRPE,4.0,10.5,18.3,22.8,22.4,18.3,11.5,0.0,0.0
GLTR,9.5,12.6,16.2,18.8,19.5,17.9,13.9,0.0,0.0
GYDI,3.7,8.1,14.1,19.2,18.3,0.0,0.0,0.0,0.0
POSA,10.6,11.4,12.2,13.2,14.0,14.3,14.2,13.4,11.5
QUMA1,2.2,2.1,16.5,21.3,20.9,0.0,0.0,0.0,0.0
TIAM,2.5,10.9,16.7,19.8,19.6,17.9,15.8,0.0,0.0
TICO,3.5,11.2,18.4,16.9,6.7,0.0,0.0,0.0,0.0
ULAM,18.9,20.3,16.7,15.4,15.4,16.1,17.1,18.1,19.0
ULPU,52.6,48.4,33.9,20.7,13.9,11.5,11.9,13.9,16.7
PY,2.0,4.3,4.5,1.0,0.0,0.0,0.0,0.0,0.0
MA2,3.5,4.0,6.3,10.8,11.8,0.0,0.0,0.0,0.0
PR,7.7,3.9,1.20,0.0,0.0,0.0,0.0,0.0,0.0
PIPO,2.4,2.8,6.4,13.4,19.5,10.9,0.0,0.0,0.0
PIPU,3.0,7.5,10.9,12.1,11.5,10.0,8.3,0.0,0.0
PINI,2.1,5.1,8.8,10.5,9.2,5.3,0.0,0.0,0.0
PICO5,1.8,5.6,8.9,5.7,0.0,0.0,0.0,0.0,0.0
ILOP,0.2,0.4,1.8,5.3,11.3,0.0,0.0,0.0,0.0
MAGR,0.0,3.9,9.1,14.5,17.1,16.0,10.3,0.6,0.0
QUNI,3.5,6.9,24.2,40.4,50.0,54.6,54.1,49.3,41.6
BDL OTHER,4.0,10.5,18.3,22.8,22.4,18.3,11.5,0.0,0.0
BDM OTHER,10.4,10.2,10.5,11.6,12.9,12.7,9.3,11.9,0.0
BDS OTHER,3.5,4.0,6.3,10.8,11.8,0.0,0.0,0.0,0.0
CEL OTHER,3.0,7.5,10.9,12.1,11.5,10.0,8.3,0.0,0.0
CEM OTHER,2.1,5.1,8.8,10.5,9.2,5.3,0.0,0.0,0.0
CES OTHER,1.8,5.6,8.9,5.7,0.0,0.0,0.0,0.0,0.0
BEL OTHER,3.5,6.9,24.2,40.4,50.0,54.6,54.1,49.3,41.6
BEM OTHER,0.0,3.9,9.1,14.5,17.1,16.0,10.3,0.6,0.0
BES OTHER,0.2,0.4,1.8,5.3,11.3,0.0,0.0,0.0,0.0
