SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
ACPL,Acer platanoides,Norway maple,BDL,ACPL,0.00,,2,B,Property Value,,,,,
ACSA2,Acer saccharum,Sugar maple,BDL,ACSA2,0.00,x,3,C,AQ Ozone dep,,,,,
ACSA1,Acer saccharinum,Silver maple,BDL,ACSA1,0.00,x,4,D,AQ NOx dep,,,,,
CEOC,Celtis occidentalis,Northern hackberry,BDL,CEOC,0.00,x,5,E,AQ PM10 dep,,,,,
FRAM,Fraxinus americana,White ash,BDL,FRAM,0.00,n/a,6,F,AQ SOx dep,,,,,
FRPE,Fraxinus pennsylvanica,Green ash,BDL,FRPE,0.00,x,7,G,AQ NOx avoided,,,,,
GLTR,Gleditsia triacanthos,Honeylocust,BDL,GLTR,0.00,x,8,H,AQ PM10 avoided,,,,,
GYDI,Gymnocladus dioicus,Kentucky coffeetree,BDL,GYDI,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
POSA,Populus sargentii,Plains cottonwood,BDL,POSA,0.00,n/a,10,J,AQ SOx avoided,,,,,
QUMA1,Quercus macrocarpa,Bur oak,BDL,QUMA1,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
TIAM,Tilia americana,American basswood,BDL,TIAM,0.00,x,12,L,CO2 avoided,,,,,
TICO,Tilia cordata,Littleleaf linden,BDL,TICO,0.00,,13,M,Natural Gas,,,,,
ULAM,Ulmus americana,American elm,BDL,ULAM,0.00,x,14,N,Electricity,,,,,
ULPU,Ulmus pumila,Siberian elm,BDL,ULPU,0.00,x,15,O,LSA,,,,,
PY,Pyrus species,Pear,BDM,PY,0.00,,16,P,DBH BY AGE CLASS,,,,,
MA2,Malus species,Crabapple,BDS,MA2,0.00,,17,Q,Numbers,,,,,
PR,Prunus species,Plum,BDS,PR,0.00,,,R,Species Codes,,,,,
PIPO,Pinus ponderosa,Ponderosa pine,CEL,PIPO,0.00,,,S,Interpolation range,,,,,
PIPU,Picea pungens,Blue spruce,CEL,PIPU,0.00,,,,,,,,,
PINI,Pinus nigra,Austrian pine,CEM,PINI,0.00,,,,,,,,,
PICO5,Pinus contorta 'bolanderi',Bolander beach pine,CES,PICO5,0.00,,,,,,,,,
ILOP,Ilex opaca,American holly,BES,ILOP,0.00,,,,,,,,,
MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR,0.00,,,,,,,,,
QUNI,Quercus nigra,Water oak,BDL,QUNI,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,FRPE,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,ACPL,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,MA2,0.00,0.67,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,PIPU,0.00,,,,,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,PINI,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PICO5,0.00,,,,,,,,,
BEL OTHER,Broadleaf Evergreen Large Other,BEL OTHER,BEL,QUNI,0.00,,,,,,,,,
BEM OTHER,Broadleaf Evergreen Medium Other,BEM OTHER,BEM,MAGR,0.00,0.67,,,,,,,,
BES OTHER,Broadleaf Evergreen Small Other,BES OTHER,BES,ILOP,0.00,0.33,,,,,,,,
