,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0064,0.0636,0.1771,0.3646,0.4654,0.5809,0.6841,0.7731,0.8527
ACRU,0.0068,0.0653,0.1867,0.3828,0.4839,0.5998,0.7047,0.7047,0.7047
ACSA1,0.0122,0.0869,0.2233,0.4135,0.5128,0.6226,0.7160,0.7962,0.8683
ACSA2,0.0090,0.0694,0.1858,0.3628,0.4546,0.5586,0.6488,0.7271,0.7966
AEHI,0.0104,0.0641,0.1511,0.2827,0.3474,0.4229,0.4892,0.5465,0.5465
BUCA,0.0354,0.0796,0.0770,0.0770,0.0770,0.0770,0.0770,0.0770,0.0770
FRPE,0.0096,0.0830,0.2286,0.4447,0.5603,0.6911,0.8003,0.8941,0.9761
GIBI,0.0041,0.0461,0.1449,0.3267,0.4252,0.5419,0.6465,0.7374,0.8200
GLTR,0.0127,0.1027,0.2848,0.5308,0.6640,0.8036,0.8036,0.8036,0.8036
ILOP,0.0147,0.0416,0.0967,0.2093,0.2093,0.2093,0.2093,0.2093,0.2093
JUVI,0.0111,0.0347,0.0896,0.2506,0.3565,0.5154,0.6792,0.6792,0.6792
LIST,0.0032,0.0462,0.1676,0.3963,0.5268,0.6810,0.8141,0.8141,0.8141
MA2,0.0122,0.0647,0.1439,0.2588,0.3125,0.3125,0.3125,0.3125,0.3125
MAGR,0.0277,0.0605,0.1329,0.3183,0.4366,0.6101,0.7808,0.9419,0.9419
PHCA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PICO5,0.0064,0.0307,0.0838,0.1856,0.1856,0.1856,0.1856,0.1856,0.1856
PIST,0.0042,0.0410,0.1308,0.3114,0.4148,0.4148,0.4148,0.4148,0.4148
PLAC,0.0086,0.0737,0.2200,0.4343,0.5487,0.6778,0.7854,0.8796,0.9613
PRSE2,0.0177,0.0685,0.1364,0.2232,0.2649,0.2649,0.2649,0.2649,0.2649
PYCA,0.0072,0.0494,0.1688,0.4289,0.5862,0.5862,0.5862,0.5862,0.5862
QUPA,0.0353,0.0780,0.1662,0.3664,0.4941,0.6626,0.8187,0.9557,1.0746
QUPH,0.0067,0.0649,0.1858,0.3907,0.5002,0.6285,0.7360,0.8308,0.9125
QURU,0.0096,0.0840,0.2472,0.4772,0.6027,0.7391,0.8553,0.9531,1.0390
SAPA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TICO,0.0034,0.0405,0.1471,0.3404,0.4471,0.4471,0.4471,0.4471,0.4471
TITO,0.0045,0.0510,0.1589,0.3512,0.4543,0.5758,0.6859,0.6859,0.6859
ULAM,0.0197,0.0682,0.1957,0.4410,0.5908,0.7690,0.9175,1.0383,1.1309
ULPA99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZESE,0.0656,0.1779,0.3310,0.4919,0.5809,0.6841,0.7731,0.8527,0.8431
BDL OTHER,0.0656,0.1779,0.3310,0.4919,0.5809,0.6841,0.7731,0.8527,0.8431
BDM OTHER,0.0068,0.0653,0.1867,0.3828,0.4839,0.5998,0.7047,0.7047,0.7047
BDS OTHER,0.0177,0.0685,0.1364,0.2232,0.2649,0.2649,0.2649,0.2649,0.2649
CEL OTHER,0.0042,0.0410,0.1308,0.3114,0.4148,0.4148,0.4148,0.4148,0.4148
CEM OTHER,0.0111,0.0347,0.0896,0.2506,0.3565,0.5154,0.6792,0.6792,0.6792
CES OTHER,0.0064,0.0307,0.0838,0.1856,0.1856,0.1856,0.1856,0.1856,0.1856
BEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BEM OTHER,0.0277,0.0605,0.1329,0.3183,0.4366,0.6101,0.7808,0.9419,0.9419
BES OTHER,0.0147,0.0416,0.0967,0.2093,0.2093,0.2093,0.2093,0.2093,0.2093
PEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PES OTHER,0.0337,0.0850,0.0850,0.0850,0.0850,0.0850,0.0850,0.0850,0.0850
