,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.001,0.015,0.045,0.090,0.136,0.183,0.228,0.272,0.315
ACRU,0.001,0.014,0.044,0.089,0.135,0.181,0.227,0.227,0.227
ACSA1,0.003,0.020,0.055,0.103,0.150,0.195,0.238,0.279,0.319
ACSA2,0.002,0.016,0.045,0.086,0.127,0.166,0.204,0.241,0.276
AEHI,0.002,0.015,0.037,0.066,0.093,0.118,0.142,0.164,0.164
BUCA,0.011,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
FRPE,0.002,0.018,0.053,0.106,0.160,0.212,0.263,0.313,0.362
GIBI,0.001,0.010,0.034,0.073,0.114,0.157,0.200,0.243,0.285
GLTR,0.002,0.022,0.064,0.127,0.189,0.251,0.251,0.251,0.251
ILOP,0.005,0.014,0.038,0.088,0.088,0.088,0.088,0.088,0.088
JUVI,0.004,0.013,0.037,0.087,0.160,0.254,0.371,0.371,0.371
LIST,0.001,0.009,0.035,0.080,0.133,0.188,0.246,0.246,0.246
MA2,0.003,0.016,0.038,0.065,0.089,0.089,0.089,0.089,0.089
MAGR,0.009,0.023,0.056,0.122,0.214,0.331,0.475,0.643,0.643
PHCA,0.008,0.041,0.100,0.182,0.182,0.182,0.182,0.182,0.182
PICO5,0.002,0.011,0.034,0.079,0.079,0.079,0.079,0.079,0.079
PIST,0.001,0.016,0.055,0.118,0.186,0.186,0.186,0.186,0.186
PLAC,0.002,0.017,0.051,0.103,0.156,0.209,0.260,0.310,0.359
PRSE2,0.004,0.016,0.033,0.052,0.068,0.068,0.068,0.068,0.068
PYCA,0.002,0.014,0.051,0.128,0.228,0.228,0.228,0.228,0.228
QUPA,0.007,0.019,0.044,0.092,0.153,0.226,0.307,0.394,0.485
QUPH,0.001,0.016,0.049,0.101,0.156,0.210,0.264,0.317,0.370
QURU,0.002,0.019,0.059,0.118,0.179,0.240,0.298,0.356,0.412
SAPA,0.004,0.034,0.041,0.041,0.041,0.041,0.041,0.041,0.041
TICO,0.001,0.009,0.034,0.075,0.120,0.120,0.120,0.120,0.120
TITO,0.001,0.011,0.037,0.079,0.124,0.170,0.217,0.217,0.217
ULAM,0.004,0.014,0.041,0.092,0.155,0.225,0.296,0.364,0.424
ULPA99,0.005,0.045,0.126,0.241,0.355,0.465,0.571,0.571,0.571
ZESE,0.002,0.019,0.057,0.114,0.172,0.229,0.285,0.285,0.285
BDL OTHER,0.002,0.019,0.057,0.114,0.172,0.229,0.285,0.285,0.285
BDM OTHER,0.001,0.014,0.044,0.089,0.135,0.181,0.227,0.227,0.227
BDS OTHER,0.004,0.016,0.033,0.052,0.068,0.068,0.068,0.068,0.068
CEL OTHER,0.001,0.016,0.055,0.118,0.186,0.186,0.186,0.186,0.186
CEM OTHER,0.004,0.013,0.037,0.087,0.160,0.254,0.371,0.371,0.371
CES OTHER,0.002,0.011,0.034,0.079,0.079,0.079,0.079,0.079,0.079
BEL OTHER,0.005,0.045,0.126,0.241,0.355,0.465,0.571,0.571,0.571
BEM OTHER,0.009,0.023,0.056,0.122,0.214,0.331,0.475,0.643,0.643
BES OTHER,0.005,0.014,0.038,0.088,0.088,0.088,0.088,0.088,0.088
PEL OTHER,0.008,0.041,0.100,0.182,0.182,0.182,0.182,0.182,0.182
PEM OTHER,0.004,0.034,0.041,0.041,0.041,0.041,0.041,0.041,0.041
PES OTHER,0.011,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
