,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.002,0.017,0.051,0.102,0.155,0.207,0.259,0.309,0.358
ACRU,0.002,0.017,0.051,0.103,0.156,0.210,0.262,0.262,0.262
ACSA1,0.003,0.023,0.063,0.117,0.171,0.222,0.271,0.317,0.362
ACSA2,0.002,0.018,0.051,0.098,0.144,0.189,0.232,0.274,0.314
AEHI,0.003,0.017,0.042,0.075,0.105,0.134,0.161,0.186,0.186
BUCA,0.015,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040
FRPE,0.002,0.021,0.061,0.122,0.183,0.243,0.302,0.359,0.415
GIBI,0.001,0.011,0.039,0.083,0.131,0.180,0.230,0.279,0.327
GLTR,0.003,0.026,0.075,0.148,0.222,0.294,0.294,0.294,0.294
ILOP,0.006,0.019,0.051,0.117,0.117,0.117,0.117,0.117,0.117
JUVI,0.005,0.017,0.048,0.116,0.212,0.337,0.491,0.491,0.491
LIST,0.001,0.011,0.041,0.094,0.156,0.221,0.288,0.288,0.288
MA2,0.003,0.018,0.042,0.072,0.100,0.100,0.100,0.100,0.100
MAGR,0.012,0.030,0.074,0.162,0.284,0.439,0.629,0.853,0.853
PHCA,0.010,0.055,0.132,0.241,0.241,0.241,0.241,0.241,0.241
PICO5,0.003,0.014,0.045,0.105,0.105,0.105,0.105,0.105,0.105
PIST,0.002,0.021,0.073,0.156,0.247,0.247,0.247,0.247,0.247
PLAC,0.002,0.020,0.059,0.118,0.179,0.239,0.298,0.356,0.412
PRSE2,0.004,0.018,0.037,0.059,0.077,0.077,0.077,0.077,0.077
PYCA,0.002,0.016,0.057,0.143,0.255,0.255,0.255,0.255,0.255
QUPA,0.009,0.022,0.051,0.106,0.177,0.261,0.354,0.455,0.561
QUPH,0.002,0.018,0.057,0.117,0.180,0.243,0.305,0.367,0.427
QURU,0.002,0.022,0.068,0.137,0.207,0.277,0.345,0.411,0.476
SAPA,0.005,0.045,0.054,0.054,0.054,0.054,0.054,0.054,0.054
TICO,0.001,0.011,0.038,0.085,0.137,0.137,0.137,0.137,0.137
TITO,0.001,0.012,0.042,0.090,0.142,0.195,0.248,0.248,0.248
ULAM,0.004,0.016,0.048,0.108,0.182,0.264,0.347,0.426,0.497
ULPA99,0.007,0.060,0.167,0.320,0.471,0.616,0.757,0.757,0.757
ZESE,0.002,0.022,0.065,0.130,0.197,0.263,0.327,0.327,0.327
BDL OTHER,0.002,0.022,0.065,0.130,0.197,0.263,0.327,0.327,0.327
BDM OTHER,0.002,0.017,0.051,0.103,0.156,0.210,0.262,0.262,0.262
BDS OTHER,0.004,0.018,0.037,0.059,0.077,0.077,0.077,0.077,0.077
CEL OTHER,0.002,0.021,0.073,0.156,0.247,0.247,0.247,0.247,0.247
CEM OTHER,0.005,0.017,0.048,0.116,0.212,0.337,0.491,0.491,0.491
CES OTHER,0.003,0.014,0.045,0.105,0.105,0.105,0.105,0.105,0.105
BEL OTHER,0.007,0.060,0.167,0.320,0.471,0.616,0.757,0.757,0.757
BEM OTHER,0.012,0.030,0.074,0.162,0.284,0.439,0.629,0.853,0.853
BES OTHER,0.006,0.019,0.051,0.117,0.117,0.117,0.117,0.117,0.117
PEL OTHER,0.010,0.055,0.132,0.241,0.241,0.241,0.241,0.241,0.241
PEM OTHER,0.005,0.045,0.054,0.054,0.054,0.054,0.054,0.054,0.054
PES OTHER,0.015,0.040,0.040,0.040,0.040,0.040,0.040,0.040,0.040
