,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0027,0.0279,0.0822,0.1923,0.2347,0.2996,0.3607,0.4148,0.4648
ACRU,0.0028,0.0290,0.0867,0.2002,0.2424,0.3092,0.3737,0.3737,0.3737
ACSA1,0.0050,0.0391,0.1065,0.2157,0.2579,0.3206,0.3766,0.4264,0.4732
ACSA2,0.0038,0.0315,0.0863,0.1885,0.2252,0.2822,0.3340,0.3805,0.4232
AEHI,0.0044,0.0289,0.0698,0.1471,0.1717,0.2121,0.2483,0.2799,0.2799
BUCA,0.0147,0.0372,0.0363,0.0363,0.0363,0.0363,0.0363,0.0363,0.0363
FRPE,0.0042,0.0377,0.1080,0.2334,0.2841,0.3611,0.4279,0.4876,0.5417
GIBI,0.0017,0.0218,0.0683,0.1733,0.2118,0.2765,0.3384,0.3946,0.4484
GLTR,0.0052,0.0487,0.1377,0.2822,0.3475,0.4347,0.4347,0.4347,0.4347
ILOP,0.0059,0.0196,0.0449,0.1065,0.1065,0.1065,0.1065,0.1065,0.1065
JUVI,0.0043,0.0170,0.0444,0.1430,0.1831,0.2721,0.3720,0.3720,0.3720
LIST,0.0014,0.0233,0.0779,0.2107,0.2654,0.3548,0.4366,0.4366,0.4366
MA2,0.0049,0.0285,0.0637,0.1294,0.1477,0.1477,0.1477,0.1477,0.1477
MAGR,0.0113,0.0278,0.0650,0.1814,0.2329,0.3384,0.4510,0.5661,0.5661
PHCA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PICO5,0.0026,0.0142,0.0398,0.0932,0.0932,0.0932,0.0932,0.0932,0.0932
PIST,0.0017,0.0202,0.0654,0.1730,0.2141,0.2141,0.2141,0.2141,0.2141
PLAC,0.0035,0.0354,0.1052,0.2295,0.2795,0.3558,0.4223,0.4836,0.5388
PRSE2,0.0073,0.0303,0.0606,0.1098,0.1252,0.1252,0.1252,0.1252,0.1252
PYCA,0.0029,0.0242,0.0829,0.2418,0.3196,0.3196,0.3196,0.3196,0.3196
QUPA,0.0153,0.0360,0.0814,0.2038,0.2590,0.3574,0.4543,0.5436,0.6245
QUPH,0.0027,0.0295,0.0930,0.2157,0.2648,0.3424,0.4103,0.4739,0.5304
QURU,0.0039,0.0392,0.1182,0.2509,0.3080,0.3899,0.4640,0.5288,0.5883
SAPA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TICO,0.0014,0.0213,0.0692,0.1815,0.2242,0.2242,0.2242,0.2242,0.2242
TITO,0.0019,0.0242,0.0745,0.1868,0.2291,0.2984,0.3660,0.3660,0.3660
ULAM,0.0091,0.0333,0.0927,0.2358,0.3020,0.4101,0.5064,0.5895,0.6558
ULPA99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZESE,0.0290,0.0808,0.1618,0.2587,0.2996,0.3607,0.4148,0.4648,0.4602
BDL OTHER,0.0290,0.0808,0.1618,0.2587,0.2996,0.3607,0.4148,0.4648,0.4602
BDM OTHER,0.0028,0.0290,0.0867,0.2002,0.2424,0.3092,0.3737,0.3737,0.3737
BDS OTHER,0.0073,0.0303,0.0606,0.1098,0.1252,0.1252,0.1252,0.1252,0.1252
CEL OTHER,0.0017,0.0202,0.0654,0.1730,0.2141,0.2141,0.2141,0.2141,0.2141
CEM OTHER,0.0043,0.0170,0.0444,0.1430,0.1831,0.2721,0.3720,0.3720,0.3720
CES OTHER,0.0026,0.0142,0.0398,0.0932,0.0932,0.0932,0.0932,0.0932,0.0932
BEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BEM OTHER,0.0113,0.0278,0.0650,0.1814,0.2329,0.3384,0.4510,0.5661,0.5661
BES OTHER,0.0059,0.0196,0.0449,0.1065,0.1065,0.1065,0.1065,0.1065,0.1065
PEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PES OTHER,0.0144,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358
