,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.001,0.006,0.017,0.034,0.052,0.069,0.086,0.103,0.120
ACRU,0.001,0.006,0.017,0.034,0.052,0.070,0.088,0.088,0.088
ACSA1,0.001,0.008,0.021,0.039,0.057,0.074,0.090,0.106,0.121
ACSA2,0.001,0.006,0.017,0.033,0.048,0.063,0.078,0.091,0.105
AEHI,0.001,0.006,0.014,0.025,0.035,0.045,0.054,0.062,0.062
BUCA,0.006,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
FRPE,0.001,0.007,0.020,0.039,0.058,0.077,0.096,0.114,0.132
GIBI,0.000,0.004,0.012,0.027,0.042,0.057,0.073,0.089,0.104
GLTR,0.001,0.008,0.024,0.048,0.072,0.095,0.095,0.095,0.095
ILOP,0.003,0.008,0.022,0.050,0.050,0.050,0.050,0.050,0.050
JUVI,0.002,0.007,0.021,0.049,0.090,0.144,0.210,0.210,0.210
LIST,0.000,0.003,0.013,0.030,0.050,0.071,0.093,0.093,0.093
MA2,0.001,0.006,0.015,0.025,0.035,0.035,0.035,0.035,0.035
MAGR,0.005,0.013,0.032,0.069,0.121,0.188,0.268,0.364,0.364
PHCA,0.004,0.023,0.056,0.103,0.103,0.103,0.103,0.103,0.103
PICO5,0.001,0.006,0.019,0.045,0.045,0.045,0.045,0.045,0.045
PIST,0.001,0.009,0.031,0.067,0.105,0.105,0.105,0.105,0.105
PLAC,0.001,0.006,0.019,0.038,0.057,0.076,0.095,0.113,0.131
PRSE2,0.001,0.006,0.013,0.020,0.026,0.026,0.026,0.026,0.026
PYCA,0.001,0.005,0.020,0.050,0.089,0.089,0.089,0.089,0.089
QUPA,0.003,0.007,0.017,0.036,0.059,0.087,0.119,0.152,0.188
QUPH,0.001,0.006,0.019,0.039,0.060,0.081,0.102,0.123,0.143
QURU,0.001,0.008,0.023,0.046,0.069,0.093,0.115,0.138,0.159
SAPA,0.002,0.019,0.023,0.023,0.023,0.023,0.023,0.023,0.023
TICO,0.000,0.003,0.012,0.027,0.044,0.044,0.044,0.044,0.044
TITO,0.000,0.004,0.013,0.029,0.045,0.062,0.079,0.079,0.079
ULAM,0.001,0.005,0.015,0.035,0.059,0.085,0.112,0.138,0.161
ULPA99,0.003,0.025,0.071,0.137,0.201,0.263,0.323,0.323,0.323
ZESE,0.001,0.007,0.021,0.042,0.063,0.084,0.104,0.104,0.104
BDL OTHER,0.001,0.007,0.021,0.042,0.063,0.084,0.104,0.104,0.104
BDM OTHER,0.001,0.006,0.017,0.034,0.052,0.070,0.088,0.088,0.088
BDS OTHER,0.001,0.006,0.013,0.020,0.026,0.026,0.026,0.026,0.026
CEL OTHER,0.001,0.009,0.031,0.067,0.105,0.105,0.105,0.105,0.105
CEM OTHER,0.002,0.007,0.021,0.049,0.090,0.144,0.210,0.210,0.210
CES OTHER,0.001,0.006,0.019,0.045,0.045,0.045,0.045,0.045,0.045
BEL OTHER,0.003,0.025,0.071,0.137,0.201,0.263,0.323,0.323,0.323
BEM OTHER,0.005,0.013,0.032,0.069,0.121,0.188,0.268,0.364,0.364
BES OTHER,0.003,0.008,0.022,0.050,0.050,0.050,0.050,0.050,0.050
PEL OTHER,0.004,0.023,0.056,0.103,0.103,0.103,0.103,0.103,0.103
PEM OTHER,0.002,0.019,0.023,0.023,0.023,0.023,0.023,0.023,0.023
PES OTHER,0.006,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
