,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,-0.001,-0.004,-0.011,-0.027,-0.049,-0.077,-0.111,-0.152,-0.199
ACRU,-0.001,-0.015,-0.031,-0.053,-0.077,-0.102,-0.129,-0.129,-0.129
ACSA1,-0.001,-0.017,-0.038,-0.069,-0.106,-0.149,-0.196,-0.249,-0.307
ACSA2,-0.002,-0.016,-0.042,-0.092,-0.160,-0.246,-0.350,-0.471,-0.610
AEHI,-0.002,-0.008,-0.021,-0.046,-0.081,-0.126,-0.180,-0.244,-0.244
BUCA,-0.036,-0.070,-0.070,-0.070,-0.070,-0.070,-0.070,-0.070,-0.070
FRPE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GIBI,-0.001,-0.006,-0.020,-0.054,-0.103,-0.169,-0.251,-0.349,-0.463
GLTR,-0.001,-0.025,-0.062,-0.131,-0.221,-0.333,-0.333,-0.333,-0.333
ILOP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
JUVI,0.000,-0.003,-0.012,-0.030,-0.049,-0.067,-0.077,-0.077,-0.077
LIST,-0.011,-0.078,-0.234,-0.563,-1.031,-1.637,-2.382,-2.382,-2.382
MA2,0.000,0.000,-0.001,-0.002,-0.003,-0.003,-0.003,-0.003,-0.003
MAGR,-0.003,-0.008,-0.071,-0.215,-0.393,-0.566,-0.698,-0.750,-0.750
PHCA,-0.020,-0.114,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209
PICO5,-0.004,-0.038,-0.148,-0.383,-0.383,-0.383,-0.383,-0.383,-0.383
PIST,-0.009,-0.120,-0.263,-0.488,-0.755,-0.755,-0.755,-0.755,-0.755
PLAC,-0.005,-0.050,-0.117,-0.234,-0.382,-0.561,-0.771,-1.012,-1.285
PRSE2,0.000,0.000,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
PYCA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
QUPA,-0.013,-0.043,-0.099,-0.195,-0.314,-0.458,-0.625,-0.816,-1.031
QUPH,-0.025,-0.098,-0.268,-0.607,-1.074,-1.670,-2.395,-3.248,-4.229
QURU,-0.008,-0.053,-0.118,-0.223,-0.348,-0.495,-0.662,-0.849,-1.058
SAPA,-0.016,-0.072,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100
TICO,-0.002,-0.021,-0.048,-0.090,-0.141,-0.141,-0.141,-0.141,-0.141
TITO,-0.002,-0.008,-0.025,-0.059,-0.108,-0.170,-0.247,-0.247,-0.247
ULAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ULPA99,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ZESE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDL OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDM OTHER,-0.001,-0.015,-0.031,-0.053,-0.077,-0.102,-0.129,-0.129,-0.129
BDS OTHER,0.000,0.000,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
CEL OTHER,-0.009,-0.120,-0.263,-0.488,-0.755,-0.755,-0.755,-0.755,-0.755
CEM OTHER,0.000,-0.003,-0.012,-0.030,-0.049,-0.067,-0.077,-0.077,-0.077
CES OTHER,-0.004,-0.038,-0.148,-0.383,-0.383,-0.383,-0.383,-0.383,-0.383
BEL OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BEM OTHER,-0.003,-0.008,-0.071,-0.215,-0.393,-0.566,-0.698,-0.750,-0.750
BES OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PEL OTHER,-0.020,-0.114,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209
PEM OTHER,-0.016,-0.072,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100
PES OTHER,-0.036,-0.070,-0.070,-0.070,-0.070,-0.070,-0.070,-0.070,-0.070
