,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,2.0,19.7,58.4,136.4,168.8,216.5,261.7,301.9,339.0
ACRU,1.9,20.6,61.8,142.3,174.5,223.7,271.6,271.6,271.6
ACSA1,3.5,27.8,76.3,153.8,185.9,232.4,273.8,310.7,345.6
ACSA2,2.6,22.5,61.6,134.2,162.2,203.8,242.3,276.7,308.4
AEHI,3.1,20.5,49.6,104.7,123.5,152.8,179.4,202.2,202.2
BUCA,10.4,26.4,25.6,25.6,25.6,25.6,25.6,25.6,25.6
FRPE,3.0,26.8,77.2,166.2,205.0,262.2,311.8,356.2,396.9
GIBI,1.2,15.6,48.6,122.8,152.0,199.0,244.9,286.6,326.5
GLTR,3.7,34.6,98.6,201.2,251.7,316.3,316.3,316.3,316.3
ILOP,4.1,14.1,31.5,75.7,75.7,75.7,75.7,75.7,75.7
JUVI,3.0,12.0,31.3,100.3,130.9,195.3,269.4,269.4,269.4
LIST,1.0,16.8,55.7,149.7,191.5,257.7,318.4,318.4,318.4
MA2,3.4,20.2,45.1,91.7,105.7,105.7,105.7,105.7,105.7
MAGR,7.9,19.6,45.7,127.5,166.7,244.2,327.7,414.1,414.1
PHCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICO5,1.8,10.0,28.0,65.9,65.9,65.9,65.9,65.9,65.9
PIST,1.2,14.3,46.1,122.3,153.6,153.6,153.6,153.6,153.6
PLAC,2.4,25.2,75.3,163.5,201.6,258.2,307.5,353.2,394.7
PRSE2,5.2,21.4,42.9,77.5,89.5,89.5,89.5,89.5,89.5
PYCA,2.0,17.0,58.5,170.5,230.2,230.2,230.2,230.2,230.2
QUPA,10.8,25.4,57.5,144.0,186.0,259.0,330.9,398.0,458.7
QUPH,1.9,20.7,65.9,152.8,190.0,247.5,298.0,345.2,387.7
QURU,2.7,27.9,84.9,178.9,223.0,283.6,338.6,387.2,432.1
SAPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TICO,1.0,15.3,49.4,128.9,161.4,161.4,161.4,161.4,161.4
TITO,1.3,17.3,53.1,132.6,164.7,215.6,265.8,265.8,265.8
ULAM,6.6,23.8,66.5,167.8,218.5,298.8,370.6,433.2,483.2
ULPA99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZESE,20.6,57.2,115.9,185.0,216.5,261.7,301.9,339.0,336.2
BDL OTHER,20.6,57.2,115.9,185.0,216.5,261.7,301.9,339.0,336.2
BDM OTHER,1.9,20.6,61.8,142.3,174.5,223.7,271.6,271.6,271.6
BDS OTHER,5.2,21.4,42.9,77.5,89.5,89.5,89.5,89.5,89.5
CEL OTHER,1.2,14.3,46.1,122.3,153.6,153.6,153.6,153.6,153.6
CEM OTHER,3.0,12.0,31.3,100.3,130.9,195.3,269.4,269.4,269.4
CES OTHER,1.8,10.0,28.0,65.9,65.9,65.9,65.9,65.9,65.9
BEL OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEM OTHER,7.9,19.6,45.7,127.5,166.7,244.2,327.7,414.1,414.1
BES OTHER,4.1,14.1,31.5,75.7,75.7,75.7,75.7,75.7,75.7
PEL OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEM OTHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PES OTHER,10.1,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Net Avoided CO2 from Reduced Energy Use (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
