,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.2,2.2,11.2,36.8,16.4,29.5,47.2,69.7,97.3
ACRU,0.2,1.7,7.9,24.4,51.0,18.0,28.0,28.0,28.0
ACSA1,0.2,2.2,11.2,36.8,16.4,29.5,47.2,69.7,97.3
ACSA2,0.2,2.2,11.2,36.8,16.4,29.5,47.2,69.7,97.3
AEHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUCA,0.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
FRPE,0.1,0.9,5.0,19.3,9.7,19.2,32.8,51.1,74.0
GIBI,0.0,0.8,5.0,18.5,8.8,16.6,27.4,41.6,59.4
GLTR,0.1,1.8,9.2,30.9,68.5,25.3,25.3,25.3,25.3
ILOP,0.0,0.4,1.9,6.3,6.3,6.3,6.3,6.3,6.3
JUVI,0.0,0.7,4.9,18.9,45.7,87.8,30.0,30.0,30.0
LIST,0.0,0.7,4.1,15.4,7.6,14.6,24.5,24.5,24.5
MA2,0.1,1.8,9.2,6.3,13.9,13.9,13.9,13.9,13.9
MAGR,0.0,0.7,4.9,18.8,44.7,84.6,28.5,43.3,43.3
PHCA,1.0,1.8,0.7,1.0,1.2,1.4,1.6,1.6,1.6
PICO5,0.0,0.1,0.6,2.3,2.3,2.3,2.3,2.3,2.3
PIST,0.0,0.5,3.7,14.3,7.1,7.1,7.1,7.1,7.1
PLAC,0.0,0.8,5.0,19.5,9.6,18.5,31.2,48.1,69.8
PRSE2,0.1,1.8,10.9,41.5,20.4,20.4,20.4,20.4,20.4
PYCA,0.0,0.4,1.9,6.3,13.9,13.9,13.9,13.9,13.9
QUPA,0.1,1.7,10.0,36.0,83.8,32.1,53.2,80.9,116.0
QUPH,0.1,1.9,10.4,36.5,83.5,31.5,51.6,77.8,110.6
QURU,0.1,1.9,10.4,36.5,17.0,31.5,51.6,77.8,110.6
SAPA,0.1,0.3,0.6,0.8,0.8,0.8,0.8,0.8,0.8
TICO,0.1,1.2,7.2,26.3,61.6,12.5,12.5,12.5,12.5
TITO,0.1,1.2,7.2,26.3,61.6,23.7,39.4,39.4,39.4
ULAM,0.1,1.4,7.9,27.7,63.6,118.3,39.5,59.7,85.0
ULPA99,0.1,1.0,5.8,20.9,9.8,18.3,30.0,30.0,30.0
ZESE,0.0,0.9,5.6,21.8,52.9,102.1,35.0,35.0,35.0
BDL OTHER,0.0,0.9,5.6,21.8,52.9,102.1,35.0,35.0,35.0
BDM OTHER,0.2,1.7,7.9,24.4,51.0,18.0,28.0,28.0,28.0
BDS OTHER,0.1,1.8,10.9,41.5,20.4,20.4,20.4,20.4,20.4
CEL OTHER,0.0,0.5,3.7,14.3,7.1,7.1,7.1,7.1,7.1
CEM OTHER,0.0,0.7,4.9,18.9,45.7,87.8,30.0,30.0,30.0
CES OTHER,0.0,0.1,0.6,2.3,2.3,2.3,2.3,2.3,2.3
BEL OTHER,0.1,1.0,5.8,20.9,9.8,18.3,30.0,30.0,30.0
BEM OTHER,0.0,0.7,4.9,18.8,44.7,84.6,28.5,43.3,43.3
BES OTHER,0.0,0.4,1.9,6.3,6.3,6.3,6.3,6.3,6.3
PEL OTHER,1.0,1.8,0.7,1.0,1.2,1.4,1.6,1.6,1.6
PEM OTHER,0.1,0.3,0.6,0.8,0.8,0.8,0.8,0.8,0.8
PES OTHER,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
