,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,1.3,12.4,37.9,76.5,116.1,155.3,193.9,231.5,268.2
ACRU,1.3,12.7,39.0,78.9,120.0,160.8,200.9,200.9,200.9
ACSA1,2.2,17.3,46.9,88.0,128.0,166.2,202.7,237.7,271.2
ACSA2,1.6,13.6,38.3,73.4,108.1,141.7,174.0,205.1,235.2
AEHI,1.9,12.5,31.4,56.0,79.0,100.4,120.5,139.4,139.4
BUCA,6.3,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8
FRPE,1.8,16.3,48.5,96.2,144.7,192.3,238.8,283.9,327.9
GIBI,0.7,9.0,30.6,65.8,103.7,142.5,181.5,220.3,258.7
GLTR,2.4,21.7,63.7,125.4,187.5,248.3,248.3,248.3,248.3
ILOP,2.7,8.1,21.6,49.9,49.9,49.9,49.9,49.9,49.9
JUVI,2.1,7.2,20.6,49.2,90.2,143.4,209.0,209.0,209.0
LIST,0.6,9.0,34.3,79.7,131.6,186.7,243.6,243.6,243.6
MA2,2.2,12.6,29.5,50.6,69.6,69.6,69.6,69.6,69.6
MAGR,5.1,12.9,31.4,68.8,120.7,186.9,267.7,362.9,362.9
PHCA,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6
PICO5,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6
PIST,0.8,9.1,30.9,66.6,105.1,105.1,105.1,105.1,105.1
PLAC,1.6,15.4,46.7,93.7,141.8,189.3,235.8,281.2,325.4
PRSE2,3.2,13.7,28.1,44.0,57.6,57.6,57.6,57.6,57.6
PYCA,1.4,10.9,39.8,100.2,178.3,178.3,178.3,178.3,178.3
QUPA,6.6,16.6,39.1,81.5,136.0,200.3,272.1,349.4,430.3
QUPH,1.3,13.8,43.6,89.9,138.2,186.6,234.4,281.5,327.6
QURU,1.8,17.2,52.3,105.0,158.9,212.3,264.6,315.6,365.4
SAPA,2.0,19.0,22.9,22.9,22.9,22.9,22.9,22.9,22.9
TICO,0.6,8.5,30.4,67.6,108.7,108.7,108.7,108.7,108.7
TITO,0.8,9.8,33.1,71.2,112.2,154.2,196.3,196.3,196.3
ULAM,3.6,13.9,40.3,91.0,153.8,222.9,293.2,360.3,420.7
ULPA99,3.1,25.3,71.1,136.2,200.3,262.3,322.0,322.0,322.0
ZESE,1.8,17.1,51.6,103.2,155.8,207.8,258.6,258.6,258.6
BDL OTHER,1.8,17.1,51.6,103.2,155.8,207.8,258.6,258.6,258.6
BDM OTHER,1.3,12.7,39.0,78.9,120.0,160.8,200.9,200.9,200.9
BDS OTHER,3.2,13.7,28.1,44.0,57.6,57.6,57.6,57.6,57.6
CEL OTHER,0.8,9.1,30.9,66.6,105.1,105.1,105.1,105.1,105.1
CEM OTHER,2.1,7.2,20.6,49.2,90.2,143.4,209.0,209.0,209.0
CES OTHER,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6
BEL OTHER,3.1,25.3,71.1,136.2,200.3,262.3,322.0,322.0,322.0
BEM OTHER,5.1,12.9,31.4,68.8,120.7,186.9,267.7,362.9,362.9
BES OTHER,2.7,8.1,21.6,49.9,49.9,49.9,49.9,49.9,49.9
PEL OTHER,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6
PEM OTHER,2.0,19.0,22.9,22.9,22.9,22.9,22.9,22.9,22.9
PES OTHER,6.3,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8
