,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.12,0.77,2.29,4.96,8.24,12.05,16.36,21.11,26.28
ACRU,0.11,1.45,3.59,6.66,9.86,13.14,16.50,16.50,16.50
ACSA1,0.14,1.59,3.83,7.13,10.68,14.46,18.45,22.59,26.90
ACSA2,0.12,1.08,2.92,6.05,9.80,14.01,18.66,23.76,29.13
AEHI,0.16,0.80,2.06,4.14,6.60,9.42,12.52,15.82,15.82
BUCA,0.53,1.18,1.19,1.19,1.20,1.20,1.20,1.20,1.20
FRPE,0.08,1.40,3.55,6.83,10.44,14.33,18.46,22.81,27.39
GIBI,0.06,0.51,1.77,4.19,7.28,10.95,15.11,19.62,24.49
GLTR,0.11,1.41,3.87,7.84,12.40,17.39,17.39,17.39,17.39
ILOP,0.21,0.30,1.11,3.49,3.49,3.49,3.49,3.49,3.49
JUVI,0.09,0.45,1.49,3.60,6.27,9.20,12.06,12.06,12.06
LIST,0.07,0.68,2.31,5.47,9.53,14.35,19.86,19.86,19.86
MA2,0.14,0.71,1.89,3.91,6.39,6.39,6.39,6.39,6.39
MAGR,0.23,0.59,2.62,6.99,12.59,18.68,24.42,28.90,28.90
PHCA,1.07,2.36,2.38,2.39,2.39,2.39,2.39,2.39,2.39
PICO5,0.09,0.73,2.63,6.56,6.56,6.56,6.56,6.56,6.56
PIST,0.10,1.23,3.20,6.32,9.88,9.88,9.88,9.88,9.88
PLAC,0.13,1.20,3.19,6.42,10.10,14.19,18.64,23.44,28.54
PRSE2,0.19,0.74,1.60,2.79,4.07,4.07,4.07,4.07,4.07
PYCA,0.15,0.89,3.06,7.69,14.08,14.08,14.08,14.08,14.08
QUPA,0.46,1.33,3.11,6.31,10.38,15.24,20.79,26.96,33.66
QUPH,0.15,0.96,2.83,6.13,10.14,14.71,19.76,25.24,31.17
QURU,0.19,1.49,3.81,7.41,11.44,15.81,20.48,25.45,30.69
SAPA,2.14,4.73,4.76,4.78,4.78,4.79,4.79,4.79,4.79
TICO,0.06,0.84,2.33,4.77,7.59,7.59,7.59,7.59,7.59
TITO,0.11,0.77,2.43,5.51,9.40,13.96,19.04,19.04,19.04
ULAM,0.37,1.31,3.32,6.86,11.19,16.10,21.44,27.03,32.70
ULPA99,0.23,0.59,2.62,6.99,12.59,18.68,24.42,28.90,28.90
ZESE,0.22,1.31,3.63,7.58,12.29,17.65,23.52,23.52,23.52
BDL OTHER,0.22,1.31,3.63,7.58,12.29,17.65,23.52,23.52,23.52
BDM OTHER,0.11,1.45,3.59,6.66,9.86,13.14,16.50,16.50,16.50
BDS OTHER,0.19,0.74,1.60,2.79,4.07,4.07,4.07,4.07,4.07
CEL OTHER,0.10,1.23,3.20,6.32,9.88,9.88,9.88,9.88,9.88
CEM OTHER,0.09,0.45,1.49,3.60,6.27,9.20,12.06,12.06,12.06
CES OTHER,0.09,0.73,2.63,6.56,6.56,6.56,6.56,6.56,6.56
BEL OTHER,0.23,0.59,2.62,6.99,12.59,18.68,24.42,28.90,28.90
BEM OTHER,0.23,0.59,2.62,6.99,12.59,18.68,24.42,28.90,28.90
BES OTHER,0.21,0.30,1.11,3.49,3.49,3.49,3.49,3.49,3.49
PEL OTHER,1.07,2.36,2.38,2.39,2.39,2.39,2.39,2.39,2.39
PEM OTHER,2.14,4.73,4.76,4.78,4.78,4.79,4.79,4.79,4.79
PES OTHER,0.53,1.18,1.19,1.19,1.20,1.20,1.20,1.20,1.20
