,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,5.2,22.2,64.2,150.9,272.9,430.0,622.3,849.8,1112.5
ACRU,4.3,73.9,151.4,260.4,376.0,498.1,626.6,626.6,626.6
ACSA1,4.3,67.1,145.6,268.1,411.0,574.2,757.7,961.6,1185.8
ACSA2,4.3,40.9,107.4,235.8,409.7,629.1,894.0,1204.3,1560.1
AEHI,6.1,23.6,63.5,142.0,249.6,386.1,551.6,746.1,746.1
BUCA,12.5,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
FRPE,1.9,61.8,135.5,252.3,390.1,549.1,729.1,930.3,1152.5
GIBI,2.2,14.2,51.5,137.2,264.0,431.8,640.8,890.9,1182.1
GLTR,2.4,56.3,139.9,294.0,496.6,747.9,747.9,747.9,747.9
ILOP,4.7,1.3,14.5,67.6,67.6,67.6,67.6,67.6,67.6
JUVI,0.8,7.9,29.7,72.4,120.2,161.9,186.4,186.4,186.4
LIST,4.4,30.4,91.2,219.4,401.4,637.4,927.2,927.2,927.2
MA2,4.1,18.9,57.4,139.3,256.2,256.2,256.2,256.2,256.2
MAGR,2.6,6.3,59.4,179.9,328.4,473.4,583.4,627.0,627.0
PHCA,9.9,57.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6
PICO5,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9
PIST,3.0,38.9,85.3,158.5,244.9,244.9,244.9,244.9,244.9
PLAC,5.2,47.4,111.5,222.9,364.1,535.1,735.7,966.1,1226.2
PRSE2,5.5,18.6,43.4,86.0,139.5,139.5,139.5,139.5,139.5
PYCA,6.1,31.0,99.9,250.6,468.7,468.7,468.7,468.7,468.7
QUPA,15.8,53.0,122.5,240.9,388.7,566.0,772.6,1008.7,1274.3
QUPH,8.3,33.2,91.1,206.4,365.5,568.4,814.9,1105.2,1439.2
QURU,9.0,59.9,133.0,250.9,392.3,557.0,745.2,956.8,1191.8
SAPA,6.2,27.2,37.7,37.7,37.7,37.7,37.7,37.7,37.7
TICO,3.1,40.5,90.2,170.8,268.0,268.0,268.0,268.0,268.0
TITO,7.0,30.6,90.4,215.2,391.6,619.7,899.5,899.5,899.5
ULAM,21.8,70.9,158.7,301.7,474.5,677.2,909.6,1171.9,1464.0
ULPA99,5.2,77.9,153.5,250.9,344.1,433.3,518.5,518.5,518.5
ZESE,14.0,52.0,133.9,289.6,498.5,760.7,1076.0,1076.0,1076.0
BDL OTHER,14.0,52.0,133.9,289.6,498.5,760.7,1076.0,1076.0,1076.0
BDM OTHER,4.3,73.9,151.4,260.4,376.0,498.1,626.6,626.6,626.6
BDS OTHER,5.5,18.6,43.4,86.0,139.5,139.5,139.5,139.5,139.5
CEL OTHER,3.0,38.9,85.3,158.5,244.9,244.9,244.9,244.9,244.9
CEM OTHER,0.8,7.9,29.7,72.4,120.2,161.9,186.4,186.4,186.4
CES OTHER,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9
BEL OTHER,5.2,77.9,153.5,250.9,344.1,433.3,518.5,518.5,518.5
BEM OTHER,2.6,6.3,59.4,179.9,328.4,473.4,583.4,627.0,627.0
BES OTHER,4.7,1.3,14.5,67.6,67.6,67.6,67.6,67.6,67.6
PEL OTHER,9.9,57.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6
PEM OTHER,6.2,27.2,37.7,37.7,37.7,37.7,37.7,37.7,37.7
PES OTHER,12.5,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
