,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,-0.001,-0.001,-0.004,-0.013,-0.031,-0.055,-0.085,-0.123,-0.167
ACRU,-0.001,-0.013,-0.024,-0.039,-0.058,-0.079,-0.102,-0.102,-0.102
ACSA1,-0.001,-0.014,-0.029,-0.054,-0.087,-0.125,-0.169,-0.219,-0.275
ACSA2,-0.001,-0.013,-0.035,-0.078,-0.143,-0.224,-0.325,-0.443,-0.580
AEHI,-0.002,-0.005,-0.015,-0.036,-0.068,-0.110,-0.161,-0.223,-0.223
BUCA,-0.035,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066
FRPE,0.000,0.003,0.009,0.017,0.022,0.026,0.030,0.033,0.036
GIBI,-0.001,-0.004,-0.014,-0.041,-0.087,-0.148,-0.226,-0.321,-0.432
GLTR,-0.001,-0.021,-0.051,-0.111,-0.196,-0.303,-0.303,-0.303,-0.303
ILOP,0.001,0.002,0.004,0.008,0.008,0.008,0.008,0.008,0.008
JUVI,0.000,-0.002,-0.009,-0.021,-0.036,-0.047,-0.051,-0.051,-0.051
LIST,-0.011,-0.076,-0.228,-0.548,-1.011,-1.611,-2.351,-2.351,-2.351
MA2,0.000,0.002,0.005,0.008,0.009,0.009,0.009,0.009,0.009
MAGR,-0.002,-0.005,-0.066,-0.203,-0.376,-0.543,-0.669,-0.716,-0.716
PHCA,-0.020,-0.114,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209
PICO5,-0.003,-0.037,-0.145,-0.376,-0.376,-0.376,-0.376,-0.376,-0.376
PIST,-0.009,-0.118,-0.258,-0.477,-0.739,-0.739,-0.739,-0.739,-0.739
PLAC,-0.005,-0.047,-0.108,-0.217,-0.360,-0.535,-0.741,-0.979,-1.249
PRSE2,0.001,0.003,0.005,0.008,0.009,0.009,0.009,0.009,0.009
PYCA,0.000,0.002,0.007,0.016,0.022,0.022,0.022,0.022,0.022
QUPA,-0.011,-0.040,-0.093,-0.181,-0.296,-0.433,-0.594,-0.781,-0.991
QUPH,-0.024,-0.095,-0.260,-0.592,-1.055,-1.647,-2.367,-3.217,-4.196
QURU,-0.008,-0.050,-0.108,-0.205,-0.325,-0.466,-0.629,-0.814,-1.020
SAPA,-0.016,-0.072,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100
TICO,-0.001,-0.020,-0.042,-0.077,-0.124,-0.124,-0.124,-0.124,-0.124
TITO,-0.002,-0.006,-0.019,-0.046,-0.090,-0.148,-0.221,-0.221,-0.221
ULAM,0.001,0.003,0.008,0.017,0.023,0.029,0.034,0.038,0.041
ULPA99,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ZESE,0.003,0.007,0.013,0.019,0.022,0.026,0.029,0.032,0.032
BDL OTHER,0.003,0.007,0.013,0.019,0.022,0.026,0.029,0.032,0.032
BDM OTHER,-0.001,-0.013,-0.024,-0.039,-0.058,-0.079,-0.102,-0.102,-0.102
BDS OTHER,0.001,0.003,0.005,0.008,0.009,0.009,0.009,0.009,0.009
CEL OTHER,-0.009,-0.118,-0.258,-0.477,-0.739,-0.739,-0.739,-0.739,-0.739
CEM OTHER,0.000,-0.002,-0.009,-0.021,-0.036,-0.047,-0.051,-0.051,-0.051
CES OTHER,-0.003,-0.037,-0.145,-0.376,-0.376,-0.376,-0.376,-0.376,-0.376
BEL OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BEM OTHER,-0.002,-0.005,-0.066,-0.203,-0.376,-0.543,-0.669,-0.716,-0.716
BES OTHER,0.001,0.002,0.004,0.008,0.008,0.008,0.008,0.008,0.008
PEL OTHER,-0.020,-0.114,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209
PEM OTHER,-0.016,-0.072,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100,-0.100
PES OTHER,-0.035,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066
