,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0009,0.0083,0.0234,0.0485,0.0597,0.0733,0.0850,0.0948,0.1036
ACRU,0.0009,0.0085,0.0241,0.0500,0.0613,0.0751,0.0869,0.0869,0.0869
ACSA1,0.0015,0.0113,0.0286,0.0536,0.0644,0.0770,0.0875,0.0965,0.1044
ACSA2,0.0012,0.0090,0.0239,0.0469,0.0570,0.0694,0.0795,0.0882,0.0960
AEHI,0.0013,0.0084,0.0199,0.0371,0.0444,0.0537,0.0616,0.0685,0.0685
BUCA,0.0044,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109
FRPE,0.0012,0.0107,0.0294,0.0578,0.0702,0.0848,0.0968,0.1071,0.1155
GIBI,0.0005,0.0061,0.0193,0.0436,0.0548,0.0692,0.0812,0.0917,0.1011
GLTR,0.0016,0.0140,0.0369,0.0694,0.0830,0.0988,0.0988,0.0988,0.0988
ILOP,0.0019,0.0054,0.0138,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296
JUVI,0.0014,0.0049,0.0131,0.0362,0.0486,0.0689,0.0880,0.0880,0.0880
LIST,0.0004,0.0061,0.0216,0.0517,0.0658,0.0833,0.0982,0.0982,0.0982
MA2,0.0015,0.0084,0.0187,0.0338,0.0398,0.0398,0.0398,0.0398,0.0398
MAGR,0.0034,0.0085,0.0195,0.0461,0.0605,0.0819,0.1020,0.1198,0.1198
PHCA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PICO5,0.0008,0.0041,0.0121,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267
PIST,0.0005,0.0061,0.0192,0.0437,0.0551,0.0551,0.0551,0.0551,0.0551
PLAC,0.0011,0.0101,0.0285,0.0567,0.0692,0.0838,0.0960,0.1063,0.1149
PRSE2,0.0022,0.0090,0.0178,0.0295,0.0340,0.0340,0.0340,0.0340,0.0340
PYCA,0.0009,0.0072,0.0241,0.0608,0.0786,0.0786,0.0786,0.0786,0.0786
QUPA,0.0045,0.0107,0.0236,0.0513,0.0657,0.0847,0.1018,0.1160,0.1280
QUPH,0.0009,0.0090,0.0264,0.0545,0.0672,0.0821,0.0946,0.1054,0.1141
QURU,0.0012,0.0113,0.0314,0.0617,0.0746,0.0901,0.1030,0.1133,0.1221
SAPA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TICO,0.0005,0.0058,0.0193,0.0450,0.0570,0.0570,0.0570,0.0570,0.0570
TITO,0.0006,0.0067,0.0208,0.0465,0.0584,0.0730,0.0856,0.0856,0.0856
ULAM,0.0024,0.0093,0.0250,0.0574,0.0734,0.0933,0.1095,0.1219,0.1312
ULPA99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZESE,0.0083,0.0234,0.0430,0.0641,0.0733,0.0850,0.0948,0.1036,0.1017
BDL OTHER,0.0083,0.0234,0.0430,0.0641,0.0733,0.0850,0.0948,0.1036,0.1017
BDM OTHER,0.0009,0.0085,0.0241,0.0500,0.0613,0.0751,0.0869,0.0869,0.0869
BDS OTHER,0.0022,0.0090,0.0178,0.0295,0.0340,0.0340,0.0340,0.0340,0.0340
CEL OTHER,0.0005,0.0061,0.0192,0.0437,0.0551,0.0551,0.0551,0.0551,0.0551
CEM OTHER,0.0014,0.0049,0.0131,0.0362,0.0486,0.0689,0.0880,0.0880,0.0880
CES OTHER,0.0008,0.0041,0.0121,0.0267,0.0267,0.0267,0.0267,0.0267,0.0267
BEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BEM OTHER,0.0034,0.0085,0.0195,0.0461,0.0605,0.0819,0.1020,0.1198,0.1198
BES OTHER,0.0019,0.0054,0.0138,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296
PEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PES OTHER,0.0044,0.0110,0.0110,0.0110,0.0110,0.0110,0.0110,0.0110,0.0110
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
