,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0000,0.0022,0.0059,0.0120,0.0156,0.0195,0.0230,0.0260,0.0287
ACRU,0.0002,0.0022,0.0063,0.0127,0.0163,0.0202,0.0237,0.0237,0.0237
ACSA1,0.0004,0.0029,0.0075,0.0138,0.0173,0.0210,0.0242,0.0269,0.0293
ACSA2,0.0003,0.0024,0.0063,0.0121,0.0154,0.0189,0.0220,0.0246,0.0270
AEHI,0.0004,0.0022,0.0051,0.0094,0.0117,0.0142,0.0165,0.0184,0.0184
BUCA,0.0012,0.0026,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
FRPE,0.0003,0.0028,0.0077,0.0148,0.0189,0.0233,0.0270,0.0302,0.0330
GIBI,0.0001,0.0015,0.0048,0.0108,0.0143,0.0182,0.0217,0.0247,0.0275
GLTR,0.0004,0.0034,0.0096,0.0176,0.0223,0.0270,0.0270,0.0270,0.0270
ILOP,0.0005,0.0014,0.0032,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
JUVI,0.0004,0.0011,0.0029,0.0080,0.0117,0.0169,0.0224,0.0224,0.0224
LIST,0.0001,0.0015,0.0057,0.0132,0.0178,0.0230,0.0275,0.0275,0.0275
MA2,0.0004,0.0022,0.0049,0.0087,0.0106,0.0106,0.0106,0.0106,0.0106
MAGR,0.0010,0.0020,0.0043,0.0101,0.0142,0.0199,0.0254,0.0307,0.0307
PHCA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PICO5,0.0002,0.0010,0.0027,0.0060,0.0060,0.0060,0.0060,0.0060,0.0060
PIST,0.0001,0.0013,0.0042,0.0100,0.0137,0.0137,0.0137,0.0137,0.0137
PLAC,0.0003,0.0024,0.0074,0.0144,0.0185,0.0228,0.0264,0.0296,0.0323
PRSE2,0.0006,0.0023,0.0046,0.0075,0.0090,0.0090,0.0090,0.0090,0.0090
PYCA,0.0002,0.0016,0.0055,0.0137,0.0191,0.0191,0.0191,0.0191,0.0191
QUPA,0.0012,0.0026,0.0054,0.0118,0.0163,0.0220,0.0273,0.0319,0.0359
QUPH,0.0002,0.0021,0.0060,0.0126,0.0164,0.0207,0.0243,0.0274,0.0301
QURU,0.0003,0.0028,0.0084,0.0159,0.0204,0.0250,0.0289,0.0321,0.0350
SAPA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TICO,0.0001,0.0013,0.0049,0.0113,0.0150,0.0150,0.0150,0.0150,0.0150
TITO,0.0002,0.0017,0.0053,0.0116,0.0152,0.0193,0.0230,0.0230,0.0230
ULAM,0.0007,0.0023,0.0066,0.0146,0.0200,0.0260,0.0309,0.0350,0.0381
ULPA99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZESE,0.0022,0.0060,0.0111,0.0163,0.0195,0.0230,0.0260,0.0287,0.0284
BDL OTHER,0.0022,0.0060,0.0111,0.0163,0.0195,0.0230,0.0260,0.0287,0.0284
BDM OTHER,0.0002,0.0022,0.0063,0.0127,0.0163,0.0202,0.0237,0.0237,0.0237
BDS OTHER,0.0006,0.0023,0.0046,0.0075,0.0090,0.0090,0.0090,0.0090,0.0090
CEL OTHER,0.0001,0.0013,0.0042,0.0100,0.0137,0.0137,0.0137,0.0137,0.0137
CEM OTHER,0.0004,0.0011,0.0029,0.0080,0.0117,0.0169,0.0224,0.0224,0.0224
CES OTHER,0.0002,0.0010,0.0027,0.0060,0.0060,0.0060,0.0060,0.0060,0.0060
BEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BEM OTHER,0.0010,0.0020,0.0043,0.0101,0.0142,0.0199,0.0254,0.0307,0.0307
BES OTHER,0.0005,0.0014,0.0032,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
PEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PES OTHER,0.0012,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
