,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0030,0.0287,0.0852,0.1987,0.2461,0.3154,0.3813,0.4398,0.4936
ACRU,0.0029,0.0301,0.0902,0.2073,0.2544,0.3259,0.3957,0.3957,0.3957
ACSA1,0.0052,0.0405,0.1113,0.2242,0.2710,0.3386,0.3989,0.4526,0.5032
ACSA2,0.0038,0.0328,0.0899,0.1956,0.2365,0.2971,0.3530,0.4032,0.4492
AEHI,0.0045,0.0300,0.0724,0.1525,0.1800,0.2227,0.2614,0.2947,0.2947
BUCA,0.0152,0.0385,0.0374,0.0374,0.0374,0.0374,0.0374,0.0374,0.0374
FRPE,0.0043,0.0392,0.1127,0.2422,0.2988,0.3820,0.4542,0.5188,0.5778
GIBI,0.0018,0.0228,0.0708,0.1789,0.2216,0.2901,0.3569,0.4174,0.4754
GLTR,0.0054,0.0505,0.1437,0.2931,0.3667,0.4607,0.4607,0.4607,0.4607
ILOP,0.0060,0.0205,0.0460,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103
JUVI,0.0044,0.0176,0.0456,0.1460,0.1907,0.2845,0.3923,0.3923,0.3923
LIST,0.0014,0.0245,0.0812,0.2181,0.2791,0.3754,0.4637,0.4637,0.4637
MA2,0.0050,0.0295,0.0658,0.1336,0.1542,0.1542,0.1542,0.1542,0.1542
MAGR,0.0116,0.0285,0.0666,0.1856,0.2427,0.3556,0.4768,0.6023,0.6023
PHCA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PICO5,0.0027,0.0146,0.0408,0.0960,0.0960,0.0960,0.0960,0.0960,0.0960
PIST,0.0018,0.0208,0.0673,0.1781,0.2239,0.2239,0.2239,0.2239,0.2239
PLAC,0.0035,0.0367,0.1099,0.2381,0.2938,0.3761,0.4479,0.5143,0.5746
PRSE2,0.0076,0.0313,0.0626,0.1130,0.1305,0.1305,0.1305,0.1305,0.1305
PYCA,0.0029,0.0248,0.0853,0.2482,0.3352,0.3352,0.3352,0.3352,0.3352
QUPA,0.0158,0.0371,0.0838,0.2096,0.2710,0.3771,0.4818,0.5793,0.6674
QUPH,0.0028,0.0303,0.0960,0.2224,0.2768,0.3605,0.4338,0.5024,0.5641
QURU,0.0040,0.0406,0.1238,0.2607,0.3250,0.4132,0.4931,0.5638,0.6290
SAPA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TICO,0.0014,0.0223,0.0720,0.1878,0.2353,0.2353,0.2353,0.2353,0.2353
TITO,0.0019,0.0253,0.0774,0.1932,0.2401,0.3141,0.3871,0.3871,0.3871
ULAM,0.0096,0.0347,0.0969,0.2444,0.3184,0.4352,0.5396,0.6305,0.7031
ULPA99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZESE,0.0301,0.0834,0.1690,0.2695,0.3154,0.3813,0.4398,0.4936,0.4895
BDL OTHER,0.0301,0.0834,0.1690,0.2695,0.3154,0.3813,0.4398,0.4936,0.4895
BDM OTHER,0.0029,0.0301,0.0902,0.2073,0.2544,0.3259,0.3957,0.3957,0.3957
BDS OTHER,0.0076,0.0313,0.0626,0.1130,0.1305,0.1305,0.1305,0.1305,0.1305
CEL OTHER,0.0018,0.0208,0.0673,0.1781,0.2239,0.2239,0.2239,0.2239,0.2239
CEM OTHER,0.0044,0.0176,0.0456,0.1460,0.1907,0.2845,0.3923,0.3923,0.3923
CES OTHER,0.0027,0.0146,0.0408,0.0960,0.0960,0.0960,0.0960,0.0960,0.0960
BEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BEM OTHER,0.0116,0.0285,0.0666,0.1856,0.2427,0.3556,0.4768,0.6023,0.6023
BES OTHER,0.0060,0.0205,0.0460,0.1103,0.1103,0.1103,0.1103,0.1103,0.1103
PEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PES OTHER,0.0147,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
