,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0005,0.0050,0.0140,0.0281,0.0352,0.0431,0.0498,0.0554,0.0603
ACRU,0.0005,0.0051,0.0144,0.0289,0.0362,0.0442,0.0509,0.0509,0.0509
ACSA1,0.0009,0.0068,0.0171,0.0311,0.0380,0.0453,0.0513,0.0564,0.0608
ACSA2,0.0007,0.0054,0.0142,0.0272,0.0337,0.0409,0.0467,0.0517,0.0561
AEHI,0.0008,0.0050,0.0119,0.0216,0.0263,0.0318,0.0363,0.0404,0.0404
BUCA,0.0026,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065
FRPE,0.0007,0.0064,0.0175,0.0335,0.0414,0.0497,0.0566,0.0623,0.0670
GIBI,0.0003,0.0036,0.0115,0.0252,0.0324,0.0408,0.0477,0.0536,0.0589
GLTR,0.0010,0.0084,0.0220,0.0402,0.0487,0.0576,0.0576,0.0576,0.0576
ILOP,0.0011,0.0033,0.0082,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176
JUVI,0.0009,0.0029,0.0078,0.0206,0.0288,0.0405,0.0515,0.0515,0.0515
LIST,0.0003,0.0037,0.0129,0.0298,0.0388,0.0489,0.0573,0.0573,0.0573
MA2,0.0009,0.0050,0.0112,0.0197,0.0237,0.0237,0.0237,0.0237,0.0237
MAGR,0.0021,0.0051,0.0116,0.0264,0.0356,0.0479,0.0592,0.0690,0.0690
PHCA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PICO5,0.0005,0.0025,0.0073,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159
PIST,0.0003,0.0036,0.0114,0.0252,0.0326,0.0326,0.0326,0.0326,0.0326
PLAC,0.0007,0.0061,0.0169,0.0328,0.0408,0.0492,0.0560,0.0618,0.0666
PRSE2,0.0013,0.0054,0.0107,0.0173,0.0203,0.0203,0.0203,0.0203,0.0203
PYCA,0.0006,0.0043,0.0144,0.0349,0.0461,0.0461,0.0461,0.0461,0.0461
QUPA,0.0027,0.0064,0.0141,0.0295,0.0386,0.0496,0.0593,0.0671,0.0737
QUPH,0.0005,0.0054,0.0157,0.0315,0.0395,0.0481,0.0552,0.0612,0.0660
QURU,0.0007,0.0068,0.0187,0.0357,0.0439,0.0528,0.0600,0.0657,0.0705
SAPA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TICO,0.0003,0.0035,0.0115,0.0259,0.0337,0.0337,0.0337,0.0337,0.0337
TITO,0.0003,0.0040,0.0124,0.0269,0.0345,0.0429,0.0501,0.0501,0.0501
ULAM,0.0015,0.0056,0.0149,0.0331,0.0432,0.0545,0.0636,0.0704,0.0755
ULPA99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZESE,0.0050,0.0140,0.0255,0.0373,0.0431,0.0498,0.0554,0.0603,0.0592
BDL OTHER,0.0050,0.0140,0.0255,0.0373,0.0431,0.0498,0.0554,0.0603,0.0592
BDM OTHER,0.0005,0.0051,0.0144,0.0289,0.0362,0.0442,0.0509,0.0509,0.0509
BDS OTHER,0.0013,0.0054,0.0107,0.0173,0.0203,0.0203,0.0203,0.0203,0.0203
CEL OTHER,0.0003,0.0036,0.0114,0.0252,0.0326,0.0326,0.0326,0.0326,0.0326
CEM OTHER,0.0009,0.0029,0.0078,0.0206,0.0288,0.0405,0.0515,0.0515,0.0515
CES OTHER,0.0005,0.0025,0.0073,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159
BEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BEM OTHER,0.0021,0.0051,0.0116,0.0264,0.0356,0.0479,0.0592,0.0690,0.0690
BES OTHER,0.0011,0.0033,0.0082,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176
PEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PES OTHER,0.0026,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,VOCs Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
