,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0000,0.0013,0.0036,0.0071,0.0093,0.0115,0.0135,0.0152,0.0167
ACRU,0.0001,0.0014,0.0038,0.0075,0.0097,0.0119,0.0139,0.0139,0.0139
ACSA1,0.0003,0.0018,0.0045,0.0081,0.0103,0.0124,0.0142,0.0157,0.0170
ACSA2,0.0002,0.0014,0.0038,0.0072,0.0092,0.0112,0.0130,0.0145,0.0158
AEHI,0.0002,0.0013,0.0031,0.0055,0.0070,0.0085,0.0098,0.0109,0.0109
BUCA,0.0008,0.0016,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
FRPE,0.0002,0.0017,0.0047,0.0087,0.0112,0.0137,0.0158,0.0175,0.0190
GIBI,0.0001,0.0009,0.0029,0.0063,0.0085,0.0108,0.0127,0.0144,0.0159
GLTR,0.0003,0.0021,0.0057,0.0103,0.0131,0.0157,0.0157,0.0157,0.0157
ILOP,0.0003,0.0008,0.0019,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040
JUVI,0.0002,0.0007,0.0017,0.0046,0.0069,0.0099,0.0130,0.0130,0.0130
LIST,0.0001,0.0009,0.0034,0.0077,0.0106,0.0136,0.0161,0.0161,0.0161
MA2,0.0003,0.0014,0.0030,0.0052,0.0064,0.0064,0.0064,0.0064,0.0064
MAGR,0.0006,0.0012,0.0025,0.0058,0.0082,0.0114,0.0145,0.0172,0.0172
PHCA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PICO5,0.0001,0.0006,0.0016,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036
PIST,0.0001,0.0008,0.0025,0.0058,0.0081,0.0081,0.0081,0.0081,0.0081
PLAC,0.0002,0.0015,0.0045,0.0085,0.0109,0.0134,0.0154,0.0171,0.0186
PRSE2,0.0004,0.0014,0.0028,0.0045,0.0054,0.0054,0.0054,0.0054,0.0054
PYCA,0.0002,0.0010,0.0033,0.0079,0.0111,0.0111,0.0111,0.0111,0.0111
QUPA,0.0007,0.0016,0.0032,0.0068,0.0096,0.0128,0.0157,0.0183,0.0204
QUPH,0.0001,0.0013,0.0036,0.0073,0.0096,0.0120,0.0140,0.0156,0.0171
QURU,0.0002,0.0017,0.0050,0.0094,0.0121,0.0146,0.0168,0.0186,0.0201
SAPA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TICO,0.0001,0.0008,0.0030,0.0066,0.0089,0.0089,0.0089,0.0089,0.0089
TITO,0.0001,0.0010,0.0032,0.0068,0.0090,0.0114,0.0134,0.0134,0.0134
ULAM,0.0004,0.0013,0.0040,0.0086,0.0118,0.0152,0.0179,0.0201,0.0217
ULPA99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZESE,0.0014,0.0037,0.0066,0.0096,0.0115,0.0135,0.0152,0.0167,0.0165
BDL OTHER,0.0014,0.0037,0.0066,0.0096,0.0115,0.0135,0.0152,0.0167,0.0165
BDM OTHER,0.0001,0.0014,0.0038,0.0075,0.0097,0.0119,0.0139,0.0139,0.0139
BDS OTHER,0.0004,0.0014,0.0028,0.0045,0.0054,0.0054,0.0054,0.0054,0.0054
CEL OTHER,0.0001,0.0008,0.0025,0.0058,0.0081,0.0081,0.0081,0.0081,0.0081
CEM OTHER,0.0002,0.0007,0.0017,0.0046,0.0069,0.0099,0.0130,0.0130,0.0130
CES OTHER,0.0001,0.0006,0.0016,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036
BEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BEM OTHER,0.0006,0.0012,0.0025,0.0058,0.0082,0.0114,0.0145,0.0172,0.0172
BES OTHER,0.0003,0.0008,0.0019,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040
PEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PES OTHER,0.0007,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,VOCs Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
