,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACPL,0.0003,0.0027,0.0074,0.0146,0.0190,0.0236,0.0276,0.0310,0.0340
ACRU,0.0003,0.0028,0.0079,0.0154,0.0199,0.0244,0.0284,0.0284,0.0284
ACSA1,0.0005,0.0037,0.0093,0.0167,0.0211,0.0254,0.0290,0.0321,0.0347
ACSA2,0.0004,0.0029,0.0078,0.0147,0.0188,0.0230,0.0265,0.0296,0.0322
AEHI,0.0005,0.0027,0.0064,0.0114,0.0143,0.0174,0.0200,0.0223,0.0223
BUCA,0.0016,0.0033,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
FRPE,0.0004,0.0035,0.0096,0.0179,0.0230,0.0281,0.0322,0.0358,0.0388
GIBI,0.0002,0.0019,0.0060,0.0130,0.0175,0.0221,0.0261,0.0296,0.0326
GLTR,0.0006,0.0043,0.0118,0.0212,0.0269,0.0321,0.0321,0.0321,0.0321
ILOP,0.0007,0.0017,0.0040,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084
JUVI,0.0005,0.0014,0.0036,0.0095,0.0143,0.0205,0.0267,0.0267,0.0267
LIST,0.0001,0.0019,0.0071,0.0158,0.0217,0.0277,0.0328,0.0328,0.0328
MA2,0.0005,0.0028,0.0062,0.0106,0.0131,0.0131,0.0131,0.0131,0.0131
MAGR,0.0012,0.0025,0.0054,0.0121,0.0172,0.0237,0.0299,0.0355,0.0355
PHCA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PICO5,0.0003,0.0013,0.0034,0.0074,0.0074,0.0074,0.0074,0.0074,0.0074
PIST,0.0002,0.0016,0.0052,0.0120,0.0167,0.0167,0.0167,0.0167,0.0167
PLAC,0.0004,0.0030,0.0092,0.0174,0.0224,0.0274,0.0315,0.0350,0.0380
PRSE2,0.0008,0.0029,0.0058,0.0092,0.0111,0.0111,0.0111,0.0111,0.0111
PYCA,0.0003,0.0020,0.0068,0.0164,0.0230,0.0230,0.0230,0.0230,0.0230
QUPA,0.0015,0.0033,0.0067,0.0141,0.0198,0.0263,0.0323,0.0374,0.0417
QUPH,0.0003,0.0027,0.0075,0.0151,0.0199,0.0248,0.0288,0.0322,0.0351
QURU,0.0004,0.0035,0.0103,0.0192,0.0247,0.0299,0.0343,0.0379,0.0410
SAPA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
TICO,0.0001,0.0016,0.0062,0.0136,0.0184,0.0184,0.0184,0.0184,0.0184
TITO,0.0002,0.0021,0.0067,0.0140,0.0186,0.0233,0.0275,0.0275,0.0275
ULAM,0.0008,0.0028,0.0082,0.0176,0.0242,0.0310,0.0365,0.0409,0.0442
ULPA99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ZESE,0.0028,0.0075,0.0137,0.0197,0.0236,0.0276,0.0310,0.0340,0.0337
BDL OTHER,0.0028,0.0075,0.0137,0.0197,0.0236,0.0276,0.0310,0.0340,0.0337
BDM OTHER,0.0003,0.0028,0.0079,0.0154,0.0199,0.0244,0.0284,0.0284,0.0284
BDS OTHER,0.0008,0.0029,0.0058,0.0092,0.0111,0.0111,0.0111,0.0111,0.0111
CEL OTHER,0.0002,0.0016,0.0052,0.0120,0.0167,0.0167,0.0167,0.0167,0.0167
CEM OTHER,0.0005,0.0014,0.0036,0.0095,0.0143,0.0205,0.0267,0.0267,0.0267
CES OTHER,0.0003,0.0013,0.0034,0.0074,0.0074,0.0074,0.0074,0.0074,0.0074
BEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BEM OTHER,0.0012,0.0025,0.0054,0.0121,0.0172,0.0237,0.0299,0.0355,0.0355
BES OTHER,0.0007,0.0017,0.0040,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084
PEL OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PES OTHER,0.0015,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,VOCs Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
