,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.0003,0.0022,0.0071,0.0164,0.0255,0.0344,0.0419,0.0484,0.0484
ACPL,0.0004,0.0030,0.0090,0.0211,0.0316,0.0411,0.0488,0.0538,0.0538
ACRU,0.0005,0.0034,0.0104,0.0236,0.0346,0.0444,0.0520,0.0520,0.0520
ACSA2,0.0002,0.0018,0.0070,0.0177,0.0286,0.0407,0.0524,0.0524,0.0524
BEPE,0.0005,0.0031,0.0086,0.0177,0.0177,0.0177,0.0177,0.0177,0.0177
CABEF,0.0001,0.0019,0.0070,0.0070,0.0070,0.0070,0.0070,0.0070,0.0070
CADE2,0.0001,0.0004,0.0009,0.0019,0.0029,0.0029,0.0029,0.0029,0.0029
CRLA80,0.0004,0.0035,0.0092,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157
FASYAT,0.0004,0.0036,0.0119,0.0266,0.0381,0.0484,0.0484,0.0484,0.0484
FRLA,0.0003,0.0022,0.0072,0.0172,0.0272,0.0378,0.0482,0.0482,0.0482
ILOP,0.0005,0.0021,0.0054,0.0138,0.0230,0.0230,0.0230,0.0230,0.0230
LIST,0.0003,0.0029,0.0084,0.0194,0.0293,0.0293,0.0293,0.0293,0.0293
MOAL,0.0007,0.0055,0.0167,0.0350,0.0484,0.0484,0.0484,0.0484,0.0484
PICO5,0.0003,0.0016,0.0048,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112
POTR2,0.0007,0.0023,0.0054,0.0116,0.0172,0.0248,0.0323,0.0401,0.0483
PRCEKW,0.0003,0.0031,0.0088,0.0159,0.0159,0.0159,0.0159,0.0159,0.0159
PRSE2,0.0003,0.0015,0.0048,0.0116,0.0178,0.0247,0.0304,0.0349,0.0349
PSME,0.0004,0.0025,0.0077,0.0173,0.0260,0.0341,0.0406,0.0456,0.0456
PYAN,0.0004,0.0038,0.0074,0.0074,0.0074,0.0074,0.0074,0.0074,0.0074
PYKA,0.0005,0.0034,0.0095,0.0190,0.0250,0.0273,0.0273,0.0273,0.0273
QUAG,0.0003,0.0024,0.0070,0.0169,0.0269,0.0375,0.0478,0.0570,0.0654
QURU,0.0005,0.0035,0.0110,0.0259,0.0388,0.0512,0.0610,0.0690,0.0690
TIAM,0.0002,0.0024,0.0078,0.0187,0.0281,0.0363,0.0417,0.0417,0.0417
TICO,0.0002,0.0023,0.0079,0.0192,0.0293,0.0386,0.0459,0.0459,0.0459
ULAM,0.0007,0.0038,0.0111,0.0253,0.0375,0.0499,0.0614,0.0720,0.0720
PHCA,0.0009,0.0053,0.0124,0.0232,0.0238,0.0239,0.0236,0.0234,0.0233
PHDA4,0.0003,0.0021,0.0037,0.0050,0.0059,0.0058,0.0057,0.0057,0.0057
WARO,0.0001,0.0007,0.0016,0.0028,0.0033,0.0039,0.0045,0.0048,0.0048
BDL OTHER,0.0003,0.0022,0.0071,0.0164,0.0255,0.0344,0.0419,0.0484,0.0484
BDM OTHER,0.0002,0.0023,0.0079,0.0192,0.0293,0.0386,0.0459,0.0459,0.0459
BDS OTHER,0.0003,0.0015,0.0048,0.0116,0.0178,0.0247,0.0304,0.0349,0.0349
BEL OTHER,0.0003,0.0024,0.0070,0.0169,0.0269,0.0375,0.0478,0.0570,0.0654
BEM OTHER,0.0005,0.0021,0.0054,0.0138,0.0230,0.0230,0.0230,0.0230,0.0230
BES OTHER,0.0005,0.0034,0.0095,0.0190,0.0250,0.0273,0.0273,0.0273,0.0273
CEL OTHER,0.0004,0.0025,0.0077,0.0173,0.0260,0.0341,0.0406,0.0456,0.0456
CEM OTHER,0.0001,0.0004,0.0009,0.0019,0.0029,0.0029,0.0029,0.0029,0.0029
CES OTHER,0.0003,0.0016,0.0048,0.0112,0.0112,0.0112,0.0112,0.0112,0.0112
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
