,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.001,0.006,0.021,0.050,0.085,0.122,0.158,0.190,0.190
ACPL,0.002,0.009,0.030,0.071,0.118,0.167,0.210,0.245,0.245
ACRU,0.002,0.011,0.035,0.079,0.130,0.181,0.225,0.225,0.225
ACSA2,0.001,0.005,0.021,0.054,0.100,0.155,0.217,0.217,0.217
BEPE,0.002,0.008,0.025,0.058,0.058,0.058,0.058,0.058,0.058
CABEF,0.000,0.005,0.020,0.020,0.020,0.020,0.020,0.020,0.020
CADE2,0.001,0.003,0.005,0.009,0.013,0.013,0.013,0.013,0.013
CRLA80,0.002,0.011,0.032,0.053,0.053,0.053,0.053,0.053,0.053
FASYAT,0.002,0.014,0.045,0.103,0.169,0.230,0.230,0.230,0.230
FRLA,0.001,0.007,0.021,0.051,0.091,0.139,0.193,0.193,0.193
ILOP,0.005,0.014,0.038,0.087,0.156,0.156,0.156,0.156,0.156
LIST,0.001,0.008,0.025,0.058,0.099,0.099,0.099,0.099,0.099
MOAL,0.003,0.018,0.058,0.127,0.197,0.197,0.197,0.197,0.197
PICO5,0.002,0.011,0.033,0.078,0.078,0.078,0.078,0.078,0.078
POTR2,0.003,0.006,0.015,0.030,0.052,0.079,0.112,0.151,0.195
PRCEKW,0.002,0.011,0.031,0.057,0.057,0.057,0.057,0.057,0.057
PRSE2,0.001,0.005,0.017,0.038,0.062,0.087,0.109,0.127,0.127
PSME,0.003,0.015,0.046,0.105,0.173,0.241,0.303,0.354,0.354
PYAN,0.002,0.012,0.024,0.024,0.024,0.024,0.024,0.024,0.024
PYKA,0.005,0.024,0.070,0.140,0.195,0.217,0.217,0.217,0.217
QUAG,0.003,0.015,0.050,0.120,0.212,0.318,0.432,0.548,0.661
QURU,0.002,0.013,0.045,0.106,0.179,0.254,0.323,0.380,0.380
TIAM,0.001,0.007,0.025,0.059,0.098,0.133,0.162,0.162,0.162
TICO,0.001,0.007,0.025,0.060,0.102,0.143,0.179,0.179,0.179
ULAM,0.002,0.011,0.033,0.077,0.133,0.197,0.263,0.329,0.329
PHCA,0.008,0.040,0.098,0.178,0.178,0.178,0.178,0.178,0.178
PHDA4,0.003,0.015,0.025,0.033,0.038,0.038,0.038,0.038,0.038
WARO,0.001,0.004,0.010,0.017,0.024,0.029,0.034,0.036,0.036
BDL OTHER,0.001,0.006,0.021,0.050,0.085,0.122,0.158,0.190,0.190
BDM OTHER,0.001,0.007,0.025,0.060,0.102,0.143,0.179,0.179,0.179
BDS OTHER,0.001,0.005,0.017,0.038,0.062,0.087,0.109,0.127,0.127
BEL OTHER,0.003,0.015,0.050,0.120,0.212,0.318,0.432,0.548,0.661
BEM OTHER,0.005,0.014,0.038,0.087,0.156,0.156,0.156,0.156,0.156
BES OTHER,0.005,0.024,0.070,0.140,0.195,0.217,0.217,0.217,0.217
CEL OTHER,0.003,0.015,0.046,0.105,0.173,0.241,0.303,0.354,0.354
CEM OTHER,0.001,0.003,0.005,0.009,0.013,0.013,0.013,0.013,0.013
CES OTHER,0.002,0.011,0.033,0.078,0.078,0.078,0.078,0.078,0.078
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Deposition (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
