,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.0017,0.0128,0.0424,0.0977,0.1513,0.2042,0.2495,0.2895,0.2895
ACPL,0.0023,0.0174,0.0531,0.1252,0.1877,0.2451,0.2921,0.3228,0.3228
ACRU,0.0030,0.0198,0.0609,0.1398,0.2055,0.2652,0.3111,0.3111,0.3111
ACSA2,0.0009,0.0108,0.0412,0.1046,0.1693,0.2420,0.3130,0.3130,0.3130
BEPE,0.0027,0.0185,0.0512,0.1047,0.1047,0.1047,0.1047,0.1047,0.1047
CABEF,0.0008,0.0113,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415,0.0415
CADE2,0.0008,0.0027,0.0058,0.0121,0.0180,0.0180,0.0180,0.0180,0.0180
CRLA80,0.0025,0.0209,0.0553,0.0945,0.0945,0.0945,0.0945,0.0945,0.0945
FASYAT,0.0025,0.0215,0.0706,0.1579,0.2270,0.2895,0.2895,0.2895,0.2895
FRLA,0.0019,0.0134,0.0442,0.1036,0.1634,0.2276,0.2915,0.2915,0.2915
ILOP,0.0026,0.0123,0.0326,0.0839,0.1401,0.1401,0.1401,0.1401,0.1401
LIST,0.0018,0.0172,0.0501,0.1150,0.1741,0.1741,0.1741,0.1741,0.1741
MOAL,0.0041,0.0322,0.0986,0.2080,0.2891,0.2891,0.2891,0.2891,0.2891
PICO5,0.0015,0.0099,0.0287,0.0678,0.0678,0.0678,0.0678,0.0678,0.0678
POTR2,0.0042,0.0142,0.0326,0.0697,0.1022,0.1473,0.1918,0.2385,0.2882
PRCEKW,0.0019,0.0182,0.0530,0.0954,0.0954,0.0954,0.0954,0.0954,0.0954
PRSE2,0.0016,0.0088,0.0282,0.0693,0.1067,0.1488,0.1833,0.2105,0.2105
PSME,0.0020,0.0152,0.0472,0.1050,0.1568,0.2046,0.2433,0.2739,0.2739
PYAN,0.0025,0.0222,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432
PYKA,0.0029,0.0201,0.0561,0.1133,0.1495,0.1639,0.1639,0.1639,0.1639
QUAG,0.0018,0.0147,0.0414,0.1005,0.1603,0.2249,0.2879,0.3450,0.3975
QURU,0.0026,0.0205,0.0648,0.1539,0.2312,0.3060,0.3667,0.4163,0.4163
TIAM,0.0012,0.0140,0.0463,0.1109,0.1673,0.2161,0.2489,0.2489,0.2489
TICO,0.0011,0.0138,0.0467,0.1145,0.1745,0.2304,0.2743,0.2743,0.2743
ULAM,0.0039,0.0227,0.0660,0.1497,0.2222,0.2976,0.3684,0.4343,0.4343
PHCA,0.0049,0.0304,0.0736,0.1381,0.1408,0.1408,0.1384,0.1368,0.1360
PHDA4,0.0016,0.0123,0.0217,0.0296,0.0345,0.0334,0.0329,0.0329,0.0329
WARO,0.0007,0.0044,0.0091,0.0160,0.0190,0.0219,0.0255,0.0274,0.0274
BDL OTHER,0.0018,0.0128,0.0424,0.0977,0.1513,0.2042,0.2495,0.2895,0.2895
BDM OTHER,0.0011,0.0138,0.0467,0.1145,0.1745,0.2304,0.2743,0.2743,0.2743
BDS OTHER,0.0016,0.0088,0.0282,0.0693,0.1067,0.1488,0.1833,0.2105,0.2105
BEL OTHER,0.0018,0.0147,0.0414,0.1005,0.1603,0.2249,0.2879,0.3450,0.3975
BEM OTHER,0.0026,0.0123,0.0326,0.0839,0.1401,0.1401,0.1401,0.1401,0.1401
BES OTHER,0.0029,0.0201,0.0561,0.1133,0.1495,0.1639,0.1639,0.1639,0.1639
CEL OTHER,0.0020,0.0152,0.0472,0.1050,0.1568,0.2046,0.2433,0.2739,0.2739
CEM OTHER,0.0008,0.0027,0.0058,0.0121,0.0180,0.0180,0.0180,0.0180,0.0180
CES OTHER,0.0015,0.0099,0.0287,0.0678,0.0678,0.0678,0.0678,0.0678,0.0678
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
