,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.000,0.001,0.004,0.009,0.015,0.021,0.027,0.032,0.032
ACPL,0.000,0.002,0.005,0.012,0.020,0.028,0.036,0.042,0.042
ACRU,0.000,0.002,0.006,0.013,0.022,0.031,0.038,0.038,0.038
ACSA2,0.000,0.001,0.004,0.009,0.017,0.026,0.037,0.037,0.037
BEPE,0.000,0.001,0.004,0.010,0.010,0.010,0.010,0.010,0.010
CABEF,0.000,0.001,0.003,0.003,0.003,0.003,0.003,0.003,0.003
CADE2,0.000,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.002
CRLA80,0.000,0.002,0.005,0.009,0.009,0.009,0.009,0.009,0.009
FASYAT,0.000,0.002,0.007,0.016,0.026,0.035,0.035,0.035,0.035
FRLA,0.000,0.001,0.004,0.009,0.015,0.023,0.032,0.032,0.032
ILOP,0.001,0.002,0.005,0.012,0.022,0.022,0.022,0.022,0.022
LIST,0.000,0.001,0.004,0.010,0.017,0.017,0.017,0.017,0.017
MOAL,0.000,0.003,0.010,0.021,0.033,0.033,0.033,0.033,0.033
PICO5,0.000,0.002,0.005,0.011,0.011,0.011,0.011,0.011,0.011
POTR2,0.000,0.001,0.002,0.005,0.009,0.013,0.019,0.026,0.033
PRCEKW,0.000,0.002,0.005,0.010,0.010,0.010,0.010,0.010,0.010
PRSE2,0.000,0.001,0.003,0.006,0.010,0.015,0.018,0.021,0.021
PSME,0.000,0.002,0.007,0.015,0.025,0.035,0.044,0.051,0.051
PYAN,0.000,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.004
PYKA,0.001,0.003,0.010,0.020,0.028,0.031,0.031,0.031,0.031
QUAG,0.000,0.002,0.007,0.017,0.030,0.046,0.062,0.079,0.095
QURU,0.000,0.002,0.007,0.016,0.027,0.038,0.049,0.058,0.058
TIAM,0.000,0.001,0.004,0.010,0.016,0.022,0.027,0.027,0.027
TICO,0.000,0.001,0.004,0.010,0.017,0.024,0.030,0.030,0.030
ULAM,0.000,0.002,0.006,0.013,0.022,0.033,0.044,0.055,0.055
PHCA,0.001,0.006,0.014,0.026,0.026,0.026,0.026,0.026,0.026
PHDA4,0.000,0.002,0.004,0.005,0.006,0.006,0.006,0.006,0.006
WARO,0.000,0.001,0.001,0.002,0.003,0.004,0.005,0.005,0.005
BDL OTHER,0.000,0.001,0.004,0.009,0.015,0.021,0.027,0.032,0.032
BDM OTHER,0.000,0.001,0.004,0.010,0.017,0.024,0.030,0.030,0.030
BDS OTHER,0.000,0.001,0.003,0.006,0.010,0.015,0.018,0.021,0.021
BEL OTHER,0.000,0.002,0.007,0.017,0.030,0.046,0.062,0.079,0.095
BEM OTHER,0.001,0.002,0.005,0.012,0.022,0.022,0.022,0.022,0.022
BES OTHER,0.001,0.003,0.010,0.020,0.028,0.031,0.031,0.031,0.031
CEL OTHER,0.000,0.002,0.007,0.015,0.025,0.035,0.044,0.051,0.051
CEM OTHER,0.000,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.002
CES OTHER,0.000,0.002,0.005,0.011,0.011,0.011,0.011,0.011,0.011
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Deposition (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
