,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.000,-0.008,-0.034,-0.092,-0.169,-0.257,-0.348,-0.433,-0.433
ACPL,-0.001,-0.021,-0.055,-0.117,-0.187,-0.258,-0.321,-0.368,-0.368
ACRU,-0.001,-0.018,-0.053,-0.116,-0.187,-0.250,-0.293,-0.293,-0.293
ACSA2,-0.001,-0.021,-0.089,-0.234,-0.414,-0.600,-0.765,-0.765,-0.765
BEPE,0.000,-0.001,-0.005,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013
CABEF,-0.001,-0.020,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081
CADE2,0.000,-0.003,-0.011,-0.027,-0.044,-0.044,-0.044,-0.044,-0.044
CRLA80,-0.001,-0.015,-0.055,-0.127,-0.127,-0.127,-0.127,-0.127,-0.127
FASYAT,-0.006,-0.057,-0.212,-0.513,-0.854,-1.157,-1.157,-1.157,-1.157
FRLA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ILOP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIST,-0.024,-0.234,-0.882,-2.161,-3.625,-3.625,-3.625,-3.625,-3.625
MOAL,-0.001,-0.010,-0.039,-0.103,-0.191,-0.191,-0.191,-0.191,-0.191
PICO5,-0.004,-0.045,-0.178,-0.459,-0.459,-0.459,-0.459,-0.459,-0.459
POTR2,-0.019,-0.089,-0.267,-0.620,-1.079,-1.614,-2.195,-2.792,-3.375
PRCEKW,0.000,0.000,-0.002,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003
PRSE2,0.000,0.000,-0.001,-0.002,-0.003,-0.005,-0.007,-0.009,-0.009
PSME,-0.014,-0.079,-0.259,-0.635,-1.137,-1.737,-2.404,-3.110,-3.110
PYAN,0.000,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001
PYKA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
QUAG,-0.029,-0.212,-0.577,-1.095,-1.608,-2.105,-2.585,-3.049,-3.497
QURU,-0.003,-0.035,-0.143,-0.383,-0.707,-1.089,-1.502,-1.921,-1.921
TIAM,-0.002,-0.016,-0.062,-0.152,-0.260,-0.365,-0.448,-0.448,-0.448
TICO,-0.012,-0.118,-0.447,-1.100,-1.855,-2.556,-3.047,-3.047,-3.047
ULAM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PHCA,-0.016,-0.095,-0.175,-0.175,-0.175,-0.175,-0.175,-0.175,-0.175
PHDA4,-0.008,-0.024,-0.040,-0.055,-0.070,-0.086,-0.103,-0.103,-0.103
WARO,-0.001,-0.006,-0.014,-0.024,-0.036,-0.047,-0.057,-0.064,-0.064
BDL OTHER,0.000,-0.008,-0.034,-0.092,-0.169,-0.257,-0.348,-0.433,-0.433
BDM OTHER,-0.012,-0.118,-0.447,-1.100,-1.855,-2.556,-3.047,-3.047,-3.047
BDS OTHER,0.000,0.000,-0.001,-0.002,-0.003,-0.005,-0.007,-0.009,-0.009
BEL OTHER,-0.029,-0.212,-0.577,-1.095,-1.608,-2.105,-2.585,-3.049,-3.497
BEM OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BES OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CEL OTHER,-0.014,-0.079,-0.259,-0.635,-1.137,-1.737,-2.404,-3.110,-3.110
CEM OTHER,0.000,-0.003,-0.011,-0.027,-0.044,-0.044,-0.044,-0.044,-0.044
CES OTHER,-0.004,-0.045,-0.178,-0.459,-0.459,-0.459,-0.459,-0.459,-0.459
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,BVOCs (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
