,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.1,4.6,15.2,35.0,54.0,72.5,88.4,102.3,102.3
ACPL,0.8,6.2,18.9,44.6,66.7,86.8,103.2,113.8,113.8
ACRU,1.1,7.1,21.8,49.9,73.0,93.8,109.9,109.9,109.9
ACSA2,0.3,3.8,14.8,37.4,60.3,85.8,110.4,110.4,110.4
BEPE,0.9,6.6,18.4,37.5,37.5,37.5,37.5,37.5,37.5
CABEF,0.3,4.0,14.9,14.9,14.9,14.9,14.9,14.9,14.9
CADE2,0.3,0.9,2.1,4.4,6.6,6.6,6.6,6.6,6.6
CRLA80,0.9,7.3,19.5,33.5,33.5,33.5,33.5,33.5,33.5
FASYAT,0.9,7.6,25.3,56.3,80.6,102.4,102.4,102.4,102.4
FRLA,0.7,4.8,15.8,37.0,58.2,80.6,102.8,102.8,102.8
ILOP,0.9,4.2,11.5,29.8,49.9,49.9,49.9,49.9,49.9
LIST,0.6,6.0,17.9,41.1,62.0,62.0,62.0,62.0,62.0
MOAL,1.4,11.4,35.1,73.8,102.2,102.2,102.2,102.2,102.2
PICO5,0.5,3.3,10.1,24.0,24.0,24.0,24.0,24.0,24.0
POTR2,1.5,5.0,11.8,25.1,36.8,52.7,68.3,84.7,101.9
PRCEKW,0.7,6.4,18.7,33.8,33.8,33.8,33.8,33.8,33.8
PRSE2,0.5,3.1,9.9,24.4,37.7,52.5,64.6,74.1,74.1
PSME,0.7,5.3,16.8,37.5,55.9,72.7,86.2,96.8,96.8
PYAN,0.9,7.8,15.3,15.3,15.3,15.3,15.3,15.3,15.3
PYKA,1.0,7.1,19.8,40.1,52.8,57.9,57.9,57.9,57.9
QUAG,0.6,5.1,14.6,35.5,56.5,79.1,101.1,120.9,139.1
QURU,0.9,7.2,23.0,54.7,81.8,108.0,129.2,146.4,146.4
TIAM,0.4,4.9,16.5,39.6,59.6,76.7,88.2,88.2,88.2
TICO,0.4,4.8,16.6,40.8,62.1,81.7,97.1,97.1,97.1
ULAM,1.4,8.1,23.7,53.5,79.0,105.3,129.9,152.8,152.8
PHCA,1.7,10.7,25.9,48.7,49.9,50.0,49.1,48.5,48.2
PHDA4,0.6,4.2,7.6,10.5,12.3,11.9,11.7,11.7,11.7
WARO,0.2,1.5,3.3,5.6,6.7,7.7,9.0,9.6,9.6
BDL OTHER,0.6,4.6,15.2,35.0,54.0,72.5,88.4,102.3,102.3
BDM OTHER,0.4,4.8,16.6,40.8,62.1,81.7,97.1,97.1,97.1
BDS OTHER,0.5,3.1,9.9,24.4,37.7,52.5,64.6,74.1,74.1
BEL OTHER,0.6,5.1,14.6,35.5,56.5,79.1,101.1,120.9,139.1
BEM OTHER,0.9,4.2,11.5,29.8,49.9,49.9,49.9,49.9,49.9
BES OTHER,1.0,7.1,19.8,40.1,52.8,57.9,57.9,57.9,57.9
CEL OTHER,0.7,5.3,16.8,37.5,55.9,72.7,86.2,96.8,96.8
CEM OTHER,0.3,0.9,2.1,4.4,6.6,6.6,6.6,6.6,6.6
CES OTHER,0.5,3.3,10.1,24.0,24.0,24.0,24.0,24.0,24.0
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Net Avoided CO2 from Reduced Energy Use (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
