,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,1.2,8.8,29.5,68.5,105.7,142.6,174.7,203.1,203.1
ACPL,1.6,11.9,36.9,87.4,130.9,171.6,205.0,227.0,227.0
ACRU,2.1,13.6,42.5,97.6,143.5,185.8,218.5,218.5,218.5
ACSA2,0.7,7.7,28.7,73.3,118.1,169.3,219.8,219.8,219.8
BEPE,1.9,12.8,35.9,73.4,73.4,73.4,73.4,73.4,73.4
CABEF,0.5,8.1,29.0,29.0,29.0,29.0,29.0,29.0,29.0
CADE2,0.6,2.0,4.2,8.7,12.9,12.9,12.9,12.9,12.9
CRLA80,1.7,14.4,38.5,66.0,66.0,66.0,66.0,66.0,66.0
FASYAT,1.7,14.9,49.4,110.5,159.0,203.3,203.3,203.3,203.3
FRLA,1.3,9.2,30.8,72.9,114.5,159.6,204.9,204.9,204.9
ILOP,1.8,8.5,22.4,58.8,98.5,98.5,98.5,98.5,98.5
LIST,1.3,11.9,35.0,80.6,121.7,121.7,121.7,121.7,121.7
MOAL,2.8,22.2,68.7,145.5,202.8,202.8,202.8,202.8,202.8
PICO5,1.0,7.1,19.8,47.3,47.3,47.3,47.3,47.3,47.3
POTR2,2.9,9.9,23.0,49.2,72.2,103.2,134.2,167.2,202.2
PRCEKW,1.3,12.4,36.8,66.5,66.5,66.5,66.5,66.5,66.5
PRSE2,1.1,6.2,19.3,48.0,74.2,103.4,127.5,146.7,146.7
PSME,1.4,10.5,33.0,74.1,110.0,143.4,170.9,192.5,192.5
PYAN,1.7,15.3,29.9,29.9,29.9,29.9,29.9,29.9,29.9
PYKA,2.0,13.7,38.9,78.6,103.8,113.9,113.9,113.9,113.9
QUAG,1.2,10.1,28.6,69.8,111.2,156.7,201.3,242.7,280.6
QURU,1.8,14.1,45.0,107.2,161.6,214.8,259.1,294.5,294.5
TIAM,0.9,9.8,32.2,77.6,116.9,151.3,174.5,174.5,174.5
TICO,0.8,9.5,32.5,80.1,122.0,161.4,192.7,192.7,192.7
ULAM,2.7,15.8,46.4,104.8,155.5,209.1,260.3,307.2,307.2
PHCA,3.4,20.6,51.0,95.6,97.6,97.6,95.6,94.4,93.9
PHDA4,1.1,8.5,14.8,20.4,23.7,22.8,22.5,22.5,22.5
WARO,0.4,3.2,6.3,10.7,12.8,14.9,17.3,18.5,18.5
BDL OTHER,1.2,8.8,29.5,68.5,105.7,142.6,174.7,203.1,203.1
BDM OTHER,0.8,9.5,32.5,80.1,122.0,161.4,192.7,192.7,192.7
BDS OTHER,1.1,6.2,19.3,48.0,74.2,103.4,127.5,146.7,146.7
BEL OTHER,1.2,10.1,28.6,69.8,111.2,156.7,201.3,242.7,280.6
BEM OTHER,1.8,8.5,22.4,58.8,98.5,98.5,98.5,98.5,98.5
BES OTHER,2.0,13.7,38.9,78.6,103.8,113.9,113.9,113.9,113.9
CEL OTHER,1.4,10.5,33.0,74.1,110.0,143.4,170.9,192.5,192.5
CEM OTHER,0.6,2.0,4.2,8.7,12.9,12.9,12.9,12.9,12.9
CES OTHER,1.0,7.1,19.8,47.3,47.3,47.3,47.3,47.3,47.3
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Net Avoided CO2 from Reduced Energy Use (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
