,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACMA,9.6,29.9,79.0,145.7,218.1,285.1,349.1,405.5,0.0,,,,
ACPL,6.5,32.5,76.9,144.8,217.1,282.1,345.9,393.5,0.0,,,,
ACRU,4.8,20.6,50.3,101.6,162.2,228.7,319.0,0.0,0.0,,,,
ACSA2,11.0,39.5,86.6,151.5,208.8,238.3,218.9,0.0,0.0,,,,
BEPE,5.1,16.7,37.4,61.2,0.0,0.0,0.0,0.0,0.0,,,,
CABEF,2.4,18.1,70.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,
CADE2,0.3,4.4,25.8,78.5,159.0,0.0,0.0,0.0,0.0,,,,
CRLA80,1.1,5.7,15.8,28.6,0.0,0.0,0.0,0.0,0.0,,,,
FASYAT,8.6,40.4,127.1,304.7,508.7,842.6,0.0,0.0,0.0,,,,
FRLA,4.4,25.1,68.0,133.3,204.6,274.5,336.2,0.0,0.0,,,,
ILOP,2.7,12.4,36.9,87.0,152.9,0.0,0.0,0.0,0.0,,,,
LIST,2.1,11.1,37.0,85.4,139.3,0.0,0.0,0.0,0.0,,,,
MOAL,3.8,16.7,42.3,72.0,54.3,0.0,0.0,0.0,0.0,,,,
PICO5,0.7,5.6,14.1,13.4,0.0,0.0,0.0,0.0,0.0,,,,
POTR2,1.8,13.2,46.5,123.1,218.1,318.9,415.3,507.6,570.6,,,,
PRCEKW,3.9,23.4,62.0,119.5,0.0,0.0,0.0,0.0,0.0,,,,
PRSE2,2.5,23.6,93.2,256.9,525.7,890.6,1319.3,1888.9,0.0,,,,
PSME,1.8,9.3,31.7,68.7,110.6,148.7,175.2,184.4,0.0,,,,
PYAN,2.0,8.1,16.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
PYKA,6.4,21.0,52.4,113.1,201.0,336.1,0.0,0.0,0.0,,,,
QUAG,5.2,28.3,72.2,130.1,188.3,251.2,312.3,366.0,422.6,,,,
QURU,9.4,34.4,97.5,184.2,265.8,327.9,340.6,251.2,0.0,,,,
TIAM,4.1,21.8,53.8,104.1,145.6,167.7,137.7,0.0,0.0,,,,
TICO,2.7,13.3,40.5,99.3,173.3,273.5,404.0,0.0,0.0,,,,
ULAM,3.1,20.4,53.8,111.3,177.4,248.9,330.8,414.9,0.0,,,,
PHCA,7.8,7.2,6.5,5.8,4.9,3.8,2.3,0.0,0.0,,,,
PHDA4,5.9,7.1,7.7,7.7,7.2,6.2,3.4,0.0,0.0,,,,
WARO,14.2,14.1,13.7,13.1,12.4,11.4,10.1,8.8,6.5,,,,
BDL OTHER,9.6,29.9,79.0,145.7,218.1,285.1,349.1,405.5,0.0,,,,
BDM OTHER,2.7,13.3,40.5,99.3,173.3,273.5,404.0,0.0,0.0,,,,
BDS OTHER,2.5,23.6,93.2,256.9,525.7,890.6,1319.3,1888.9,0.0,,,,
BEL OTHER,5.2,28.3,72.2,130.1,188.3,251.2,312.3,366.0,422.6,,,,
BEM OTHER,2.7,12.4,36.9,87.0,152.9,0.0,0.0,0.0,0.0,,,,
BES OTHER,6.4,21.0,52.4,113.1,201.0,336.1,0.0,0.0,0.0,,,,
CEL OTHER,1.8,9.3,31.7,68.7,110.6,148.7,175.2,184.4,0.0,,,,
CEM OTHER,0.3,4.4,25.8,78.5,159.0,0.0,0.0,0.0,0.0,,,,
CES OTHER,0.7,5.6,14.1,13.4,0.0,0.0,0.0,0.0,0.0,,,,
,2,3,4,5,6,7,8,9,10,,,,
,,,,,,,,,,,,,
0,CO2 Sequestered less Releases(kg/tree),,,,,,0,,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,,
