,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACMA,1.3,7.6,24.9,58.8,100.1,143.7,185.6,222.5,222.5,,,
ACPL,1.9,11.0,35.8,83.3,139.0,195.5,246.5,287.0,287.0,,,
ACRU,2.4,12.8,40.5,92.6,152.6,211.9,263.5,263.5,263.5,,,
ACSA2,0.8,6.4,24.2,63.3,116.8,181.6,254.7,254.7,254.7,,,
BEPE,2.2,9.8,29.7,68.3,68.3,68.3,68.3,68.3,68.3,,,
CABEF,0.5,6.2,23.9,23.9,23.9,23.9,23.9,23.9,23.9,,,
CADE2,0.8,1.5,2.9,5.2,7.6,7.6,7.6,7.6,7.6,,,
CRLA80,2.2,13.7,38.7,64.4,64.4,64.4,64.4,64.4,64.4,,,
FASYAT,2.1,13.4,44.2,101.6,166.0,226.6,226.6,226.6,226.6,,,
FRLA,1.8,8.1,25.6,61.6,109.9,167.8,232.9,232.9,232.9,,,
ILOP,2.7,8.1,21.6,49.9,89.8,89.8,89.8,89.8,89.8,,,
LIST,1.7,9.3,30.1,70.6,119.4,119.4,119.4,119.4,119.4,,,
MOAL,3.5,21.6,69.7,153.8,238.6,238.6,238.6,238.6,238.6,,,
PICO5,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
POTR2,3.4,7.6,17.1,35.8,61.1,93.1,131.7,176.9,228.5,,,
PRCEKW,1.8,12.4,36.9,67.0,67.0,67.0,67.0,67.0,67.0,,,
PRSE2,1.3,6.4,19.9,45.5,75.2,105.1,131.9,153.1,153.1,,,
PSME,1.9,8.8,26.7,60.2,99.3,138.9,174.7,203.5,203.5,,,
PYAN,2.4,15.0,29.1,29.1,29.1,29.1,29.1,29.1,29.1,,,
PYKA,2.8,14.0,40.5,80.8,112.2,125.2,125.2,125.2,125.2,,,
QUAG,1.7,8.7,28.5,69.1,121.9,182.9,248.5,315.4,380.8,,,
QURU,2.1,13.1,44.0,104.1,175.7,249.6,317.8,374.2,374.2,,,
TIAM,1.0,8.5,30.3,71.7,118.1,161.3,195.2,195.2,195.2,,,
TICO,1.0,8.3,30.1,72.9,123.0,172.9,216.6,216.6,216.6,,,
ULAM,3.0,13.2,40.0,93.3,161.0,237.5,317.9,397.7,397.7,,,
PHCA,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6,,,
PHDA4,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
WARO,0.4,2.5,5.9,9.8,13.6,16.9,19.4,20.7,20.7,,,
BDL OTHER,1.3,7.6,24.9,58.8,100.1,143.7,185.6,222.5,222.5,,,
BDM OTHER,1.0,8.3,30.1,72.9,123.0,172.9,216.6,216.6,216.6,,,
BDS OTHER,1.3,6.4,19.9,45.5,75.2,105.1,131.9,153.1,153.1,,,
BEL OTHER,1.7,8.7,28.5,69.1,121.9,182.9,248.5,315.4,380.8,,,
BEM OTHER,2.7,8.1,21.6,49.9,89.8,89.8,89.8,89.8,89.8,,,
BES OTHER,2.8,14.0,40.5,80.8,112.2,125.2,125.2,125.2,125.2,,,
CEL OTHER,1.9,8.8,26.7,60.2,99.3,138.9,174.7,203.5,203.5,,,
CEM OTHER,0.8,1.5,2.9,5.2,7.6,7.6,7.6,7.6,7.6,,,
CES OTHER,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
,3,4,5,6,7,8,9,10,11,,,
,,,,,,,,,,,,
,Leaf Surface Area (m2/tree),,,,,,0,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,
