,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,1.2,9.2,28.8,63.5,100.7,135.7,163.8,188.2,188.2
ACPL,1.4,13.2,35.9,83.4,126.0,161.5,189.4,207.5,207.5
ACRU,2.0,14.4,40.6,93.1,136.5,173.6,201.1,201.1,201.1
ACSA2,0.6,6.4,28.1,68.4,113.2,160.0,202.5,202.5,202.5
BEPE,1.9,12.9,33.3,68.0,68.0,68.0,68.0,68.0,68.0
CABEF,0.6,6.6,27.5,27.5,27.5,27.5,27.5,27.5,27.5
CADE2,0.6,1.3,3.4,6.5,10.4,10.4,10.4,10.4,10.4
CRLA80,1.8,15.0,37.5,62.7,62.7,62.7,62.7,62.7,62.7
FASYAT,1.8,15.0,46.3,103.9,149.0,187.5,187.5,187.5,187.5
FRLA,1.3,9.8,29.5,66.2,106.9,148.6,188.2,188.2,188.2
ILOP,1.9,9.0,23.5,54.9,90.2,90.2,90.2,90.2,90.2
LIST,1.3,12.1,32.9,75.0,115.0,115.0,115.0,115.0,115.0
MOAL,3.1,23.2,66.5,137.7,188.1,188.1,188.1,188.1,188.1
PICO5,1.1,5.8,20.2,45.5,45.5,45.5,45.5,45.5,45.5
POTR2,3.1,9.4,20.5,43.5,63.7,95.9,126.2,155.5,187.4
PRCEKW,1.3,13.7,36.3,64.3,64.3,64.3,64.3,64.3,64.3
PRSE2,1.2,5.8,20.7,48.5,72.9,101.9,125.0,141.9,141.9
PSME,1.3,10.8,30.8,66.0,101.9,133.8,157.0,176.7,176.7
PYAN,1.9,15.8,30.0,30.0,30.0,30.0,30.0,30.0,30.0
PYKA,2.0,15.1,38.9,78.1,102.6,112.1,112.1,112.1,112.1
QUAG,1.2,10.6,29.5,69.1,111.0,152.1,191.3,221.9,251.4
QURU,1.8,14.6,44.4,103.9,153.4,198.7,230.1,259.2,259.2
TIAM,0.7,9.6,31.5,73.2,110.8,141.7,162.5,162.5,162.5
TICO,0.6,9.6,31.7,75.7,115.5,151.0,177.2,177.2,177.2
ULAM,2.6,15.4,42.4,98.5,146.3,192.2,230.8,270.5,270.5
PHCA,3.7,23.6,51.3,96.3,97.4,97.6,97.1,96.4,96.0
PHDA4,1.2,9.0,16.0,20.9,24.9,24.4,24.3,24.3,24.3
WARO,0.5,2.4,6.2,12.7,14.7,16.8,19.7,21.4,21.4
BDL OTHER,1.2,9.2,28.8,63.5,100.7,135.7,163.8,188.2,188.2
BDM OTHER,0.6,9.6,31.7,75.7,115.5,151.0,177.2,177.2,177.2
BDS OTHER,1.2,5.8,20.7,48.5,72.9,101.9,125.0,141.9,141.9
BEL OTHER,1.2,10.6,29.5,69.1,111.0,152.1,191.3,221.9,251.4
BEM OTHER,1.9,9.0,23.5,54.9,90.2,90.2,90.2,90.2,90.2
BES OTHER,2.0,15.1,38.9,78.1,102.6,112.1,112.1,112.1,112.1
CEL OTHER,1.3,10.8,30.8,66.0,101.9,133.8,157.0,176.7,176.7
CEM OTHER,0.6,1.3,3.4,6.5,10.4,10.4,10.4,10.4,10.4
CES OTHER,1.1,5.8,20.2,45.5,45.5,45.5,45.5,45.5,45.5
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Electricity Benefits per Tree (kWh/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
