,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.1,5.0,16.6,38.2,59.0,79.2,96.5,111.7,111.7
ACPL,0.9,6.8,20.6,48.7,72.8,94.8,112.7,124.3,124.3
ACRU,1.1,7.7,23.8,54.4,79.7,102.5,120.0,120.0,120.0
ACSA2,0.4,4.1,16.1,40.9,65.8,93.7,120.6,120.6,120.6
BEPE,1.0,7.2,20.1,41.0,41.0,41.0,41.0,41.0,41.0
CABEF,0.3,4.4,16.3,16.3,16.3,16.3,16.3,16.3,16.3
CADE2,0.3,1.0,2.3,4.8,7.2,7.2,7.2,7.2,7.2
CRLA80,1.0,7.9,21.3,36.6,36.6,36.6,36.6,36.6,36.6
FASYAT,1.0,8.3,27.6,61.5,88.0,111.9,111.9,111.9,111.9
FRLA,0.7,5.2,17.2,40.4,63.5,88.0,112.3,112.3,112.3
ILOP,1.0,4.6,12.5,32.6,54.5,54.5,54.5,54.5,54.5
LIST,0.7,6.6,19.6,44.9,67.7,67.7,67.7,67.7,67.7
MOAL,1.6,12.4,38.3,80.6,111.6,111.6,111.6,111.6,111.6
PICO5,0.6,3.6,11.1,26.2,26.2,26.2,26.2,26.2,26.2
POTR2,1.6,5.5,12.9,27.5,40.2,57.6,74.6,92.5,111.3
PRCEKW,0.7,7.0,20.4,36.9,36.9,36.9,36.9,36.9,36.9
PRSE2,0.6,3.3,10.8,26.6,41.1,57.4,70.5,80.9,80.9
PSME,0.8,5.8,18.4,41.0,61.0,79.3,94.2,105.8,105.8
PYAN,1.0,8.5,16.7,16.7,16.7,16.7,16.7,16.7,16.7
PYKA,1.1,7.7,21.6,43.8,57.7,63.2,63.2,63.2,63.2
QUAG,0.7,5.6,16.0,38.8,61.7,86.4,110.4,132.0,152.0
QURU,1.0,7.9,25.1,59.7,89.4,117.9,141.1,159.9,159.9
TIAM,0.5,5.4,18.0,43.2,65.1,83.8,96.4,96.4,96.4
TICO,0.4,5.3,18.2,44.6,67.8,89.2,106.0,106.0,106.0
ULAM,1.5,8.8,25.9,58.5,86.2,115.0,141.9,166.8,166.8
PHCA,1.9,11.6,28.3,53.2,54.4,54.6,53.6,53.0,52.6
PHDA4,0.6,4.6,8.3,11.5,13.4,13.0,12.8,12.8,12.8
WARO,0.3,1.7,3.6,6.2,7.3,8.4,9.8,10.5,10.5
BDL OTHER,0.7,5.0,16.6,38.2,59.0,79.2,96.5,111.7,111.7
BDM OTHER,0.4,5.3,18.2,44.6,67.8,89.2,106.0,106.0,106.0
BDS OTHER,0.6,3.3,10.8,26.6,41.1,57.4,70.5,80.9,80.9
BEL OTHER,0.7,5.6,16.0,38.8,61.7,86.4,110.4,132.0,152.0
BEM OTHER,1.0,4.6,12.5,32.6,54.5,54.5,54.5,54.5,54.5
BES OTHER,1.1,7.7,21.6,43.8,57.7,63.2,63.2,63.2,63.2
CEL OTHER,0.8,5.8,18.4,41.0,61.0,79.3,94.2,105.8,105.8
CEM OTHER,0.3,1.0,2.3,4.8,7.2,7.2,7.2,7.2,7.2
CES OTHER,0.6,3.6,11.1,26.2,26.2,26.2,26.2,26.2,26.2
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Electricity Benefits per Tree (kWh/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
