,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,1.4,9.6,32.2,74.8,115.4,155.8,190.8,221.8,221.8
ACPL,1.8,13.0,40.3,95.5,143.0,187.3,223.9,247.9,247.9
ACRU,2.2,14.8,46.5,106.6,156.7,202.9,238.7,238.7,238.7
ACSA2,0.7,8.4,31.3,80.0,129.0,184.8,240.0,240.0,240.0
BEPE,2.0,14.0,39.2,80.2,80.2,80.2,80.2,80.2,80.2
CABEF,0.6,8.9,31.6,31.6,31.6,31.6,31.6,31.6,31.6
CADE2,0.6,2.1,4.5,9.5,14.1,14.1,14.1,14.1,14.1
CRLA80,1.9,15.7,42.0,72.1,72.1,72.1,72.1,72.1,72.1
FASYAT,1.9,16.2,53.9,120.6,173.6,222.0,222.0,222.0,222.0
FRLA,1.5,10.1,33.7,79.7,125.0,174.3,223.8,223.8,223.8
ILOP,1.9,9.2,24.4,64.3,107.5,107.5,107.5,107.5,107.5
LIST,1.4,13.0,38.2,88.0,132.9,132.9,132.9,132.9,132.9
MOAL,3.1,24.2,75.0,158.8,221.5,221.5,221.5,221.5,221.5
PICO5,1.1,7.7,21.7,51.6,51.6,51.6,51.6,51.6,51.6
POTR2,3.1,10.8,25.1,53.7,78.9,112.7,146.6,182.6,220.8
PRCEKW,1.4,13.6,40.2,72.7,72.7,72.7,72.7,72.7,72.7
PRSE2,1.2,6.8,21.1,52.4,81.0,112.9,139.2,160.2,160.2
PSME,1.5,11.5,36.1,80.9,120.1,156.6,186.6,210.2,210.2
PYAN,1.9,16.7,32.6,32.6,32.6,32.6,32.6,32.6,32.6
PYKA,2.2,15.0,42.4,85.9,113.4,124.4,124.4,124.4,124.4
QUAG,1.3,11.0,31.2,76.2,121.4,171.1,219.8,265.0,306.4
QURU,2.0,15.4,49.1,117.1,176.4,234.6,282.9,321.6,321.6
TIAM,1.0,10.7,35.1,84.7,127.6,165.2,190.6,190.6,190.6
TICO,0.9,10.4,35.5,87.4,133.2,176.2,210.4,210.4,210.4
ULAM,3.0,17.2,50.6,114.4,169.8,228.3,284.3,335.5,335.5
PHCA,3.7,22.5,55.7,104.4,106.6,106.6,104.4,103.1,102.5
PHDA4,1.2,9.2,16.2,22.2,25.8,24.9,24.5,24.5,24.5
WARO,0.5,3.5,6.9,11.7,14.0,16.3,18.9,20.2,20.2
BDL OTHER,1.4,9.6,32.2,74.8,115.4,155.8,190.8,221.8,221.8
BDM OTHER,0.9,10.4,35.5,87.4,133.2,176.2,210.4,210.4,210.4
BDS OTHER,1.2,6.8,21.1,52.4,81.0,112.9,139.2,160.2,160.2
BEL OTHER,1.3,11.0,31.2,76.2,121.4,171.1,219.8,265.0,306.4
BEM OTHER,1.9,9.2,24.4,64.3,107.5,107.5,107.5,107.5,107.5
BES OTHER,2.2,15.0,42.4,85.9,113.4,124.4,124.4,124.4,124.4
CEL OTHER,1.5,11.5,36.1,80.9,120.1,156.6,186.6,210.2,210.2
CEM OTHER,0.6,2.1,4.5,9.5,14.1,14.1,14.1,14.1,14.1
CES OTHER,1.1,7.7,21.7,51.6,51.6,51.6,51.6,51.6,51.6
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Electricity Benefits per Tree (kWh/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
