,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.9,6.4,21.0,48.4,75.0,101.2,123.7,143.5,143.5
ACPL,1.1,8.6,26.3,62.1,93.0,121.5,144.7,160.0,160.0
ACRU,1.5,9.8,30.2,69.3,101.8,131.4,154.2,154.2,154.2
ACSA2,0.5,5.3,20.4,51.8,83.9,120.0,155.1,155.1,155.1
BEPE,1.3,9.2,25.4,51.9,51.9,51.9,51.9,51.9,51.9
CABEF,0.4,5.6,20.5,20.5,20.5,20.5,20.5,20.5,20.5
CADE2,0.4,1.3,2.9,6.0,8.9,8.9,8.9,8.9,8.9
CRLA80,1.3,10.3,27.4,46.8,46.8,46.8,46.8,46.8,46.8
FASYAT,1.2,10.7,35.0,78.2,112.5,143.5,143.5,143.5,143.5
FRLA,1.0,6.7,21.9,51.4,81.0,112.8,144.5,144.5,144.5
ILOP,1.3,6.1,16.1,41.6,69.4,69.4,69.4,69.4,69.4
LIST,0.9,8.5,24.8,57.0,86.3,86.3,86.3,86.3,86.3
MOAL,2.0,16.0,48.9,103.1,143.3,143.3,143.3,143.3,143.3
PICO5,0.8,4.9,14.2,33.6,33.6,33.6,33.6,33.6,33.6
POTR2,2.1,7.0,16.2,34.5,50.7,73.0,95.1,118.2,142.8
PRCEKW,0.9,9.0,26.3,47.3,47.3,47.3,47.3,47.3,47.3
PRSE2,0.8,4.4,14.0,34.3,52.9,73.7,90.9,104.3,104.3
PSME,1.0,7.5,23.4,52.0,77.7,101.4,120.6,135.8,135.8
PYAN,1.2,11.0,21.4,21.4,21.4,21.4,21.4,21.4,21.4
PYKA,1.4,10.0,27.8,56.2,74.1,81.2,81.2,81.2,81.2
QUAG,0.9,7.3,20.5,49.8,79.5,111.5,142.7,171.0,197.1
QURU,1.3,10.2,32.1,76.3,114.6,151.7,181.8,206.3,206.3
TIAM,0.6,7.0,22.9,55.0,82.9,107.1,123.4,123.4,123.4
TICO,0.6,6.8,23.1,56.8,86.5,114.2,135.9,135.9,135.9
ULAM,1.9,11.2,32.7,74.2,110.1,147.5,182.6,215.3,215.3
PHCA,2.4,15.1,36.5,68.4,69.8,69.8,68.6,67.8,67.4
PHDA4,0.8,6.1,10.7,14.6,17.1,16.5,16.3,16.3,16.3
WARO,0.3,2.2,4.5,7.9,9.4,10.9,12.6,13.6,13.6
BDL OTHER,0.9,6.4,21.0,48.4,75.0,101.2,123.7,143.5,143.5
BDM OTHER,0.6,6.8,23.1,56.8,86.5,114.2,135.9,135.9,135.9
BDS OTHER,0.8,4.4,14.0,34.3,52.9,73.7,90.9,104.3,104.3
BEL OTHER,0.9,7.3,20.5,49.8,79.5,111.5,142.7,171.0,197.1
BEM OTHER,1.3,6.1,16.1,41.6,69.4,69.4,69.4,69.4,69.4
BES OTHER,1.4,10.0,27.8,56.2,74.1,81.2,81.2,81.2,81.2
CEL OTHER,1.0,7.5,23.4,52.0,77.7,101.4,120.6,135.8,135.8
CEM OTHER,0.4,1.3,2.9,6.0,8.9,8.9,8.9,8.9,8.9
CES OTHER,0.8,4.9,14.2,33.6,33.6,33.6,33.6,33.6,33.6
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Electricity Benefits per Tree (kWh/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
