,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.03,0.35,1.36,3.49,6.24,9.31,12.41,15.26,15.26
ACPL,0.08,0.78,2.24,4.92,8.04,11.20,14.04,16.19,16.19
ACRU,0.07,0.70,2.12,4.75,7.72,10.52,12.66,12.66,12.66
ACSA2,0.03,0.40,1.66,4.36,7.85,11.70,15.43,15.43,15.43
BEPE,0.08,0.49,1.76,4.55,4.55,4.55,4.55,4.55,4.55
CABEF,0.02,0.42,1.70,1.70,1.70,1.70,1.70,1.70,1.70
CADE2,0.02,0.10,0.32,0.73,1.18,1.18,1.18,1.18,1.18
CRLA80,0.06,0.49,1.61,3.25,3.25,3.25,3.25,3.25,3.25
FASYAT,0.08,0.64,2.27,5.43,9.01,12.26,12.26,12.26,12.26
FRLA,0.06,0.44,1.56,3.90,6.94,10.34,13.80,13.80,13.80
ILOP,0.06,0.15,0.58,1.85,4.19,4.19,4.19,4.19,4.19
LIST,0.07,0.53,1.91,4.61,7.76,7.76,7.76,7.76,7.76
MOAL,0.11,0.84,3.02,7.46,12.97,12.97,12.97,12.97,12.97
PICO5,0.05,0.38,1.40,3.52,3.52,3.52,3.52,3.52,3.52
POTR2,0.14,0.50,1.38,3.11,5.41,8.16,11.27,14.61,18.07
PRCEKW,0.06,0.55,1.83,3.47,3.47,3.47,3.47,3.47,3.47
PRSE2,0.03,0.20,0.69,1.71,3.02,4.51,6.08,7.62,7.62
PSME,0.13,0.66,2.13,5.12,9.00,13.44,18.16,22.80,22.80
PYAN,0.05,0.46,1.19,1.19,1.19,1.19,1.19,1.19,1.19
PYKA,0.26,0.93,2.21,4.12,6.01,7.63,7.63,7.63,7.63
QUAG,0.12,0.80,2.31,4.74,7.41,10.21,13.05,15.84,18.54
QURU,0.06,0.57,2.16,5.54,9.93,14.91,20.06,24.98,24.98
TIAM,0.06,0.51,1.88,4.59,7.75,10.81,13.23,13.23,13.23
TICO,0.05,0.46,1.72,4.22,7.14,9.93,12.09,12.09,12.09
ULAM,0.14,0.66,2.07,4.95,8.77,13.28,18.28,23.54,23.54
PHCA,0.21,1.18,2.45,3.31,3.32,3.33,3.34,3.35,3.35
PHDA4,0.08,0.30,0.50,0.67,0.83,0.93,1.04,1.04,1.04
WARO,0.02,0.11,0.26,0.45,0.65,0.84,1.00,1.11,1.11
BDL OTHER,0.03,0.35,1.36,3.49,6.24,9.31,12.41,15.26,15.26
BDM OTHER,0.05,0.46,1.72,4.22,7.14,9.93,12.09,12.09,12.09
BDS OTHER,0.03,0.20,0.69,1.71,3.02,4.51,6.08,7.62,7.62
BEL OTHER,0.12,0.80,2.31,4.74,7.41,10.21,13.05,15.84,18.54
BEM OTHER,0.06,0.15,0.58,1.85,4.19,4.19,4.19,4.19,4.19
BES OTHER,0.26,0.93,2.21,4.12,6.01,7.63,7.63,7.63,7.63
CEL OTHER,0.13,0.66,2.13,5.12,9.00,13.44,18.16,22.80,22.80
CEM OTHER,0.02,0.10,0.32,0.73,1.18,1.18,1.18,1.18,1.18
CES OTHER,0.05,0.38,1.40,3.52,3.52,3.52,3.52,3.52,3.52
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,H2O Interception per tree (m3),,,,,,Copied from C:\MyFiles\Guidelines\Santa Monica\SantaMonica_G\BasicData\SM Hydrology RU.xls,,
22.86,,,Midpoint of DBH class (cm),,,,,,
