,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACMA,1.3,27.0,116.9,315.0,577.6,877.4,1187.2,1479.9,1479.9,,,
ACPL,5.7,78.9,209.8,441.5,708.5,978.1,1217.6,1394.2,1394.2,,,
ACRU,4.0,61.1,180.6,397.2,637.1,854.0,1002.0,1002.0,1002.0,,,
ACSA2,1.8,38.8,165.9,434.4,767.6,1113.0,1417.9,1417.9,1417.9,,,
BEPE,4.9,40.7,159.3,438.6,438.6,438.6,438.6,438.6,438.6,,,
CABEF,1.2,45.3,183.9,183.9,183.9,183.9,183.9,183.9,183.9,,,
CADE2,0.6,5.9,22.3,54.8,91.9,91.9,91.9,91.9,91.9,,,
CRLA80,2.6,33.3,126.3,290.9,290.9,290.9,290.9,290.9,290.9,,,
FASYAT,6.2,56.2,207.7,503.4,837.5,1134.9,1134.9,1134.9,1134.9,,,
FRLA,4.2,41.0,157.4,400.6,707.4,1037.4,1350.3,1350.3,1350.3,,,
ILOP,1.3,1.3,14.5,67.6,183.0,183.0,183.0,183.0,183.0,,,
LIST,5.2,51.4,194.0,475.3,797.2,797.2,797.2,797.2,797.2,,,
MOAL,6.6,61.8,242.0,642.2,1195.2,1195.2,1195.2,1195.2,1195.2,,,
PICO5,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9,,,
POTR2,10.4,48.9,146.8,341.4,594.2,888.8,1208.6,1537.1,1858.0,,,
PRCEKW,3.1,42.1,149.4,292.3,292.3,292.3,292.3,292.3,292.3,,,
PRSE2,1.3,11.8,46.4,123.6,231.3,363.7,515.1,679.7,679.7,,,
PSME,7.4,40.3,131.7,322.2,577.2,881.7,1220.7,1579.0,1579.0,,,
PYAN,1.7,29.9,97.4,97.4,97.4,97.4,97.4,97.4,97.4,,,
PYKA,16.4,51.3,108.4,193.7,289.4,395.5,395.5,395.5,395.5,,,
QUAG,7.1,51.4,140.2,266.0,390.4,511.1,627.7,740.3,849.1,,,
QURU,3.5,45.7,188.8,505.3,933.6,1438.4,1984.9,2537.9,2537.9,,,
TIAM,5.3,49.5,186.0,460.0,785.3,1102.8,1353.4,1353.4,1353.4,,,
TICO,4.3,42.9,162.5,399.8,674.3,929.1,1107.6,1107.6,1107.6,,,
ULAM,11.5,58.5,185.7,449.6,805.8,1237.3,1727.2,2258.5,2258.5,,,
PHCA,9.9,57.6,105.6,105.6,105.6,105.6,105.6,105.6,105.6,,,
PHDA4,3.7,10.8,17.5,24.2,31.0,38.1,45.6,45.6,45.6,,,
WARO,0.7,4.6,11.2,19.5,28.6,37.7,45.7,51.8,51.8,,,
BDL OTHER,1.3,27.0,116.9,315.0,577.6,877.4,1187.2,1479.9,1479.9,,,
BDM OTHER,4.3,42.9,162.5,399.8,674.3,929.1,1107.6,1107.6,1107.6,,,
BDS OTHER,1.3,11.8,46.4,123.6,231.3,363.7,515.1,679.7,679.7,,,
BEL OTHER,7.1,51.4,140.2,266.0,390.4,511.1,627.7,740.3,849.1,,,
BEM OTHER,1.3,1.3,14.5,67.6,183.0,183.0,183.0,183.0,183.0,,,
BES OTHER,16.4,51.3,108.4,193.7,289.4,395.5,395.5,395.5,395.5,,,
CEL OTHER,7.4,40.3,131.7,322.2,577.2,881.7,1220.7,1579.0,1579.0,,,
CEM OTHER,0.6,5.9,22.3,54.8,91.9,91.9,91.9,91.9,91.9,,,
CES OTHER,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9,,,
,3,4,5,6,7,8,9,10,11,,,
,,,,,,,,,,,,
,Leaf Surface Area (m2/tree),,,,,,0,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,
