,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,8.1,38.8,104.5,255.5,413.1,538.8,621.7,662.4,662.4
ACPL,12.5,62.4,163.8,333.6,481.2,575.9,619.4,627.9,627.9
ACRU,16.1,80.7,201.6,392.2,542.7,631.7,671.1,671.1,671.1
ACSA2,4.7,25.0,113.7,295.4,492.7,645.8,721.5,721.5,721.5
BEPE,13.3,23.9,112.1,286.2,286.2,286.2,286.2,286.2,286.2
CABEF,2.3,13.7,97.3,97.3,97.3,97.3,97.3,97.3,97.3
CADE2,5.5,-6.9,-21.6,-34.4,-33.5,-33.5,-33.5,-33.5,-33.5
CRLA80,13.1,52.8,83.6,114.9,114.9,114.9,114.9,114.9,114.9
FASYAT,15.0,66.9,193.8,411.4,572.6,646.9,646.9,646.9,646.9
FRLA,9.4,8.5,7.9,125.3,270.9,374.3,392.5,392.5,392.5
ILOP,21.6,18.8,52.6,38.6,86.4,86.4,86.4,86.4,86.4
LIST,11.2,34.8,135.6,314.6,476.9,476.9,476.9,476.9,476.9
MOAL,25.7,112.2,323.6,550.3,656.9,656.9,656.9,656.9,656.9
PICO5,7.9,11.5,35.8,62.1,62.1,62.1,62.1,62.1,62.1
POTR2,23.7,0.0,47.2,132.2,251.7,384.4,513.3,622.9,702.4
PRCEKW,10.8,48.6,85.9,144.0,144.0,144.0,144.0,144.0,144.0
PRSE2,8.3,18.0,78.5,126.7,182.0,230.7,265.0,280.5,280.5
PSME,13.7,10.1,-9.4,92.0,237.5,369.1,464.9,522.4,522.4
PYAN,18.3,68.0,168.2,168.2,168.2,168.2,168.2,168.2,168.2
PYKA,18.8,51.1,150.0,269.2,316.9,300.4,300.4,300.4,300.4
QUAG,10.2,3.2,90.6,229.2,360.8,445.9,476.2,452.9,394.4
QURU,12.8,69.5,205.1,416.4,586.5,678.7,703.4,695.1,695.1
TIAM,5.6,27.4,127.5,280.1,425.3,530.2,594.8,594.8,594.8
TICO,5.1,28.5,124.1,282.8,435.2,545.7,614.1,614.1,614.1
ULAM,19.0,55.5,187.1,420.1,628.4,750.3,783.4,753.3,753.3
PHCA,35.1,144.2,204.1,334.0,406.0,477.9,524.0,552.9,568.0
PHDA4,11.8,48.7,62.4,108.4,154.2,163.5,165.8,165.8,165.8
WARO,1.1,-6.2,43.7,78.0,108.6,134.2,152.4,162.5,162.5
BDL OTHER,8.1,38.8,104.5,255.5,413.1,538.8,621.7,662.4,662.4
BDM OTHER,5.1,28.5,124.1,282.8,435.2,545.7,614.1,614.1,614.1
BDS OTHER,8.3,18.0,78.5,126.7,182.0,230.7,265.0,280.5,280.5
BEL OTHER,10.2,3.2,90.6,229.2,360.8,445.9,476.2,452.9,394.4
BEM OTHER,21.6,18.8,52.6,38.6,86.4,86.4,86.4,86.4,86.4
BES OTHER,18.8,51.1,150.0,269.2,316.9,300.4,300.4,300.4,300.4
CEL OTHER,13.7,10.1,-9.4,92.0,237.5,369.1,464.9,522.4,522.4
CEM OTHER,5.5,-6.9,-21.6,-34.4,-33.5,-33.5,-33.5,-33.5,-33.5
CES OTHER,7.9,11.5,35.8,62.1,62.1,62.1,62.1,62.1,62.1
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Natural Gas Benefits per tree (kBtu/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
