,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACMA,9.0,27.9,73.7,133.5,195.5,248.3,294.0,327.6,-80.1,,,,
ACPL,5.9,30.5,71.6,132.6,194.5,245.4,290.8,315.5,-80.1,,,,
ACRU,4.2,18.6,45.7,91.7,145.2,202.6,281.6,-37.4,-37.4,,,,
ACSA2,10.4,37.5,81.3,139.3,186.3,201.5,163.8,-57.2,-59.4,,,,
BEPE,4.5,15.9,35.6,56.3,-4.9,-4.9,-4.9,-4.9,-4.9,,,,
CABEF,1.8,17.3,68.4,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,,,,
CADE2,-0.3,3.8,24.8,76.1,153.9,-5.1,-5.1,-5.1,-5.1,,,,
CRLA80,0.6,4.0,11.8,20.5,-10.3,-10.3,-10.3,-10.3,-10.3,,,,
FASYAT,8.0,39.4,123.9,294.9,487.3,804.0,-38.6,-38.6,-38.6,,,,
FRLA,3.8,23.2,62.8,121.0,181.1,234.9,275.1,-63.2,-65.3,,,,
ILOP,2.1,10.5,32.0,75.9,132.6,-20.3,-20.3,-20.3,-20.3,,,,
LIST,1.5,10.4,35.6,81.6,131.2,-8.1,-8.1,-8.1,-8.1,,,,
MOAL,3.3,16.0,40.9,68.4,46.6,-7.7,-7.7,-7.7,-7.7,,,,
PICO5,0.2,5.0,13.2,11.4,-2.1,-2.1,-2.1,-2.1,-2.1,,,,
POTR2,1.1,11.4,42.3,113.4,199.8,288.0,367.7,439.1,477.5,,,,
PRCEKW,3.3,22.6,59.5,111.2,-8.3,-8.3,-8.3,-8.3,-8.3,,,,
PRSE2,1.9,21.7,88.0,243.8,499.5,844.9,1246.4,1780.2,-108.6,,,,
PSME,1.2,7.6,27.9,60.9,96.8,126.9,143.2,140.3,-46.2,,,,
PYAN,1.4,7.2,14.4,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,,,,
PYKA,5.8,20.1,50.1,106.8,187.6,312.3,-23.9,-23.9,-23.9,,,,
QUAG,4.6,26.3,67.0,118.4,167.5,218.6,265.0,301.1,337.2,,,,
QURU,8.8,32.5,92.4,172.1,242.7,289.3,281.4,165.7,-87.6,,,,
TIAM,3.6,20.0,49.2,93.9,126.6,136.3,89.8,-50.1,-52.2,,,,
TICO,2.1,11.5,36.0,89.1,154.3,242.1,356.0,-48.0,-48.0,,,,
ULAM,2.6,18.5,49.2,100.8,158.0,217.2,282.7,346.1,-70.9,,,,
PHCA,7.1,5.3,2.7,-0.4,-1.5,-2.8,-4.5,-6.9,-6.9,,,,
PHDA4,5.2,5.2,3.9,3.6,2.8,1.5,-1.4,-4.8,-4.8,,,,
WARO,13.0,11.8,9.3,6.2,5.1,3.8,2.5,1.1,-1.2,,,,
BDL OTHER,9.0,27.9,73.7,133.5,195.5,248.3,294.0,327.6,-80.1,,,,
BDM OTHER,2.1,11.5,36.0,89.1,154.3,242.1,356.0,-48.0,-48.0,,,,
BDS OTHER,1.9,21.7,88.0,243.8,499.5,844.9,1246.4,1780.2,-108.6,,,,
BEL OTHER,4.6,26.3,67.0,118.4,167.5,218.6,265.0,301.1,337.2,,,,
BEM OTHER,2.1,10.5,32.0,75.9,132.6,-20.3,-20.3,-20.3,-20.3,,,,
BES OTHER,5.8,20.1,50.1,106.8,187.6,312.3,-23.9,-23.9,-23.9,,,,
CEL OTHER,1.2,7.6,27.9,60.9,96.8,126.9,143.2,140.3,-46.2,,,,
CEM OTHER,-0.3,3.8,24.8,76.1,153.9,-5.1,-5.1,-5.1,-5.1,,,,
CES OTHER,0.2,5.0,13.2,11.4,-2.1,-2.1,-2.1,-2.1,-2.1,,,,
,2,3,4,5,6,7,8,9,10,,,,
,,,,,,,,,,,,,
0,CO2 Sequestered less Releases(kg/tree),,,,,,0,,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,,
