,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0,3,0,0,4,1,4,8,12
ACPL,0,84,5,15,36,53,94,48,20
ACRU,0,25,13,46,5,1,4,1,0
ACSA2,0,2,1,2,8,37,46,35,16
BEPE,0,53,69,523,378,7,0,0,0
CABEF,13,484,123,22,0,0,0,0,0
CADE2,0,0,1,15,58,12,0,0,0
CRLA80,1,8,51,264,73,8,0,0,0
FASYAT,0,9,2,33,32,12,1,2,0
FRLA,0,0,0,0,0,0,0,0,0
ILOP,0,0,0,0,0,0,0,0,0
LIST,0,219,159,288,32,3,0,1,0
MOAL,0,0,0,18,65,9,0,0,0
PICO5,0,0,0,0,0,0,0,0,0
POTR2,0,0,0,0,0,0,0,0,0
PRCEKW,2,727,281,477,144,13,1,0,0
PRSE2,2,222,303,645,305,68,6,0,0
PSME,0,3,0,1,1,0,1,1,1
PYAN,0,21,95,47,0,0,0,0,0
PYKA,0,0,0,0,0,0,0,0,0
QUAG,0,0,0,0,0,0,0,0,0
QURU,0,18,5,66,46,32,33,11,2
TIAM,0,1,0,7,33,43,37,8,2
TICO,0,15,5,79,51,3,1,2,1
ULAM,0,0,2,12,34,87,147,123,72
PHCA,0,0,0,0,0,0,0,0,0
PHDA4,0,0,0,0,0,0,0,0,0
WARO,0,0,0,0,0,0,0,0,0
BDL OTHER,0,72,7,5,29,45,30,51,35
BDM OTHER,7,267,96,160,124,80,23,14,3
BDS OTHER,0,616,396,366,40,1,1,1,0
BEL OTHER,0,0,0,0,0,0,0,0,0
BEM OTHER,0,0,0,0,0,0,0,0,0
BES OTHER,0,4,0,3,0,0,0,0,0
CEL OTHER,0,5,5,12,3,4,1,0,0
CEM OTHER,0,4,0,0,0,0,0,0,0
CES OTHER,0,8,1,2,0,0,0,0,0
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Tree Numbers,,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
