,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.0004,0.0032,0.0099,0.0219,0.0346,0.0465,0.0558,0.0638,0.0638
ACPL,0.0005,0.0046,0.0125,0.0287,0.0432,0.0551,0.0642,0.0700,0.0700
ACRU,0.0007,0.0050,0.0141,0.0320,0.0468,0.0591,0.0680,0.0680,0.0680
ACSA2,0.0002,0.0023,0.0097,0.0236,0.0389,0.0546,0.0685,0.0685,0.0685
BEPE,0.0007,0.0044,0.0115,0.0235,0.0235,0.0235,0.0235,0.0235,0.0235
CABEF,0.0002,0.0023,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095,0.0095
CADE2,0.0002,0.0005,0.0011,0.0021,0.0035,0.0035,0.0035,0.0035,0.0035
CRLA80,0.0006,0.0052,0.0130,0.0215,0.0215,0.0215,0.0215,0.0215,0.0215
FASYAT,0.0007,0.0052,0.0160,0.0357,0.0509,0.0636,0.0636,0.0636,0.0636
FRLA,0.0005,0.0034,0.0100,0.0226,0.0365,0.0505,0.0635,0.0635,0.0635
ILOP,0.0007,0.0031,0.0081,0.0187,0.0307,0.0307,0.0307,0.0307,0.0307
LIST,0.0004,0.0042,0.0114,0.0259,0.0395,0.0395,0.0395,0.0395,0.0395
MOAL,0.0011,0.0081,0.0231,0.0472,0.0638,0.0638,0.0638,0.0638,0.0638
PICO5,0.0004,0.0020,0.0070,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156
POTR2,0.0011,0.0032,0.0070,0.0149,0.0220,0.0330,0.0433,0.0531,0.0636
PRCEKW,0.0005,0.0048,0.0126,0.0221,0.0221,0.0221,0.0221,0.0221,0.0221
PRSE2,0.0004,0.0021,0.0072,0.0167,0.0251,0.0349,0.0426,0.0483,0.0483
PSME,0.0005,0.0037,0.0105,0.0225,0.0348,0.0456,0.0534,0.0599,0.0599
PYAN,0.0007,0.0055,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105
PYKA,0.0007,0.0053,0.0135,0.0269,0.0352,0.0383,0.0383,0.0383,0.0383
QUAG,0.0004,0.0037,0.0102,0.0238,0.0380,0.0518,0.0646,0.0742,0.0833
QURU,0.0006,0.0051,0.0154,0.0357,0.0524,0.0672,0.0771,0.0861,0.0861
TIAM,0.0002,0.0033,0.0109,0.0252,0.0381,0.0485,0.0554,0.0554,0.0554
TICO,0.0002,0.0033,0.0110,0.0261,0.0396,0.0516,0.0602,0.0602,0.0602
ULAM,0.0009,0.0053,0.0147,0.0339,0.0501,0.0652,0.0774,0.0896,0.0896
PHCA,0.0013,0.0083,0.0178,0.0331,0.0335,0.0337,0.0336,0.0334,0.0333
PHDA4,0.0004,0.0032,0.0055,0.0073,0.0087,0.0085,0.0085,0.0085,0.0085
WARO,0.0002,0.0008,0.0022,0.0044,0.0052,0.0059,0.0069,0.0075,0.0075
BDL OTHER,0.0004,0.0032,0.0099,0.0219,0.0346,0.0465,0.0558,0.0638,0.0638
BDM OTHER,0.0002,0.0033,0.0110,0.0261,0.0396,0.0516,0.0602,0.0602,0.0602
BDS OTHER,0.0004,0.0021,0.0072,0.0167,0.0251,0.0349,0.0426,0.0483,0.0483
BEL OTHER,0.0004,0.0037,0.0102,0.0238,0.0380,0.0518,0.0646,0.0742,0.0833
BEM OTHER,0.0007,0.0031,0.0081,0.0187,0.0307,0.0307,0.0307,0.0307,0.0307
BES OTHER,0.0007,0.0053,0.0135,0.0269,0.0352,0.0383,0.0383,0.0383,0.0383
CEL OTHER,0.0005,0.0037,0.0105,0.0225,0.0348,0.0456,0.0534,0.0599,0.0599
CEM OTHER,0.0002,0.0005,0.0011,0.0021,0.0035,0.0035,0.0035,0.0035,0.0035
CES OTHER,0.0004,0.0020,0.0070,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
