,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.0005,0.0033,0.0109,0.0254,0.0392,0.0528,0.0646,0.0749,0.0749
ACPL,0.0006,0.0045,0.0138,0.0324,0.0484,0.0633,0.0754,0.0833,0.0833
ACRU,0.0008,0.0051,0.0159,0.0362,0.0531,0.0686,0.0804,0.0804,0.0804
ACSA2,0.0003,0.0028,0.0106,0.0272,0.0439,0.0627,0.0810,0.0810,0.0810
BEPE,0.0007,0.0047,0.0132,0.0272,0.0272,0.0272,0.0272,0.0272,0.0272
CABEF,0.0002,0.0029,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107
CADE2,0.0002,0.0007,0.0014,0.0030,0.0045,0.0045,0.0045,0.0045,0.0045
CRLA80,0.0007,0.0053,0.0140,0.0240,0.0240,0.0240,0.0240,0.0240,0.0240
FASYAT,0.0007,0.0055,0.0183,0.0409,0.0588,0.0749,0.0749,0.0749,0.0749
FRLA,0.0005,0.0033,0.0111,0.0265,0.0418,0.0583,0.0746,0.0746,0.0746
ILOP,0.0007,0.0031,0.0082,0.0212,0.0355,0.0355,0.0355,0.0355,0.0355
LIST,0.0005,0.0044,0.0130,0.0299,0.0451,0.0451,0.0451,0.0451,0.0451
MOAL,0.0011,0.0083,0.0256,0.0539,0.0747,0.0747,0.0747,0.0747,0.0747
PICO5,0.0004,0.0026,0.0072,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171
POTR2,0.0011,0.0035,0.0084,0.0180,0.0267,0.0382,0.0497,0.0619,0.0747
PRCEKW,0.0005,0.0046,0.0134,0.0243,0.0243,0.0243,0.0243,0.0243,0.0243
PRSE2,0.0004,0.0023,0.0072,0.0176,0.0271,0.0377,0.0465,0.0534,0.0534
PSME,0.0005,0.0038,0.0118,0.0268,0.0401,0.0525,0.0627,0.0706,0.0706
PYAN,0.0007,0.0057,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113
PYKA,0.0008,0.0051,0.0144,0.0290,0.0382,0.0417,0.0417,0.0417,0.0417
QUAG,0.0005,0.0036,0.0105,0.0257,0.0410,0.0575,0.0736,0.0883,0.1016
QURU,0.0007,0.0053,0.0168,0.0397,0.0597,0.0791,0.0950,0.1076,0.1076
TIAM,0.0003,0.0036,0.0119,0.0287,0.0432,0.0559,0.0644,0.0644,0.0644
TICO,0.0003,0.0035,0.0120,0.0296,0.0451,0.0595,0.0710,0.0710,0.0710
ULAM,0.0010,0.0058,0.0172,0.0389,0.0577,0.0773,0.0957,0.1124,0.1124
PHCA,0.0013,0.0078,0.0189,0.0353,0.0363,0.0365,0.0360,0.0356,0.0355
PHDA4,0.0004,0.0032,0.0055,0.0076,0.0090,0.0087,0.0086,0.0086,0.0086
WARO,0.0002,0.0011,0.0024,0.0041,0.0049,0.0058,0.0067,0.0072,0.0072
BDL OTHER,0.0005,0.0033,0.0109,0.0254,0.0392,0.0528,0.0646,0.0749,0.0749
BDM OTHER,0.0003,0.0035,0.0120,0.0296,0.0451,0.0595,0.0710,0.0710,0.0710
BDS OTHER,0.0004,0.0023,0.0072,0.0176,0.0271,0.0377,0.0465,0.0534,0.0534
BEL OTHER,0.0005,0.0036,0.0105,0.0257,0.0410,0.0575,0.0736,0.0883,0.1016
BEM OTHER,0.0007,0.0031,0.0082,0.0212,0.0355,0.0355,0.0355,0.0355,0.0355
BES OTHER,0.0008,0.0051,0.0144,0.0290,0.0382,0.0417,0.0417,0.0417,0.0417
CEL OTHER,0.0005,0.0038,0.0118,0.0268,0.0401,0.0525,0.0627,0.0706,0.0706
CEM OTHER,0.0002,0.0007,0.0014,0.0030,0.0045,0.0045,0.0045,0.0045,0.0045
CES OTHER,0.0004,0.0026,0.0072,0.0171,0.0171,0.0171,0.0171,0.0171,0.0171
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,PM10 Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
