,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.0002,0.0101,0.0335,0.0770,0.1190,0.1598,0.1948,0.2254,0.2254
ACPL,0.0018,0.0136,0.0417,0.0983,0.1469,0.1912,0.2273,0.2508,0.2508
ACRU,0.0023,0.0156,0.0480,0.1098,0.1607,0.2068,0.2420,0.2420,0.2420
ACSA2,0.0007,0.0084,0.0326,0.0825,0.1328,0.1890,0.2433,0.2433,0.2433
BEPE,0.0021,0.0146,0.0406,0.0827,0.0827,0.0827,0.0827,0.0827,0.0827
CABEF,0.0006,0.0088,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329,0.0329
CADE2,0.0006,0.0020,0.0046,0.0097,0.0144,0.0144,0.0144,0.0144,0.0144
CRLA80,0.0020,0.0160,0.0429,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738
FASYAT,0.0019,0.0168,0.0557,0.1242,0.1776,0.2257,0.2257,0.2257,0.2257
FRLA,0.0015,0.0105,0.0347,0.0815,0.1281,0.1776,0.2265,0.2265,0.2265
ILOP,0.0020,0.0093,0.0253,0.0657,0.1099,0.1099,0.1099,0.1099,0.1099
LIST,0.0014,0.0133,0.0395,0.0907,0.1367,0.1367,0.1367,0.1367,0.1367
MOAL,0.0032,0.0250,0.0773,0.1626,0.2251,0.2251,0.2251,0.2251,0.2251
PICO5,0.0012,0.0073,0.0223,0.0529,0.0529,0.0529,0.0529,0.0529,0.0529
POTR2,0.0032,0.0111,0.0260,0.0554,0.0811,0.1162,0.1506,0.1865,0.2245
PRCEKW,0.0014,0.0142,0.0411,0.0744,0.0744,0.0744,0.0744,0.0744,0.0744
PRSE2,0.0012,0.0068,0.0218,0.0537,0.0830,0.1157,0.1423,0.1632,0.1632
PSME,0.0015,0.0117,0.0371,0.0827,0.1231,0.1601,0.1900,0.2134,0.2134
PYAN,0.0019,0.0171,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338
PYKA,0.0023,0.0156,0.0436,0.0883,0.1164,0.1275,0.1275,0.1275,0.1275
QUAG,0.0014,0.0112,0.0322,0.0782,0.1246,0.1743,0.2226,0.2662,0.3065
QURU,0.0020,0.0159,0.0507,0.1205,0.1803,0.2379,0.2846,0.3226,0.3226
TIAM,0.0010,0.0108,0.0363,0.0872,0.1313,0.1690,0.1944,0.1944,0.1944
TICO,0.0009,0.0106,0.0366,0.0900,0.1368,0.1800,0.2139,0.2139,0.2139
ULAM,0.0030,0.0178,0.0523,0.1179,0.1740,0.2321,0.2863,0.3366,0.3366
PHCA,0.0038,0.0235,0.0571,0.1074,0.1099,0.1101,0.1082,0.1069,0.1062
PHDA4,0.0012,0.0093,0.0168,0.0232,0.0271,0.0262,0.0257,0.0257,0.0257
WARO,0.0005,0.0034,0.0072,0.0124,0.0147,0.0170,0.0198,0.0212,0.0212
BDL OTHER,0.0014,0.0101,0.0335,0.0770,0.1190,0.1598,0.1948,0.2254,0.2254
BDM OTHER,0.0009,0.0106,0.0366,0.0900,0.1368,0.1800,0.2139,0.2139,0.2139
BDS OTHER,0.0012,0.0068,0.0218,0.0537,0.0830,0.1157,0.1423,0.1632,0.1632
BEL OTHER,0.0014,0.0112,0.0322,0.0782,0.1246,0.1743,0.2226,0.2662,0.3065
BEM OTHER,0.0020,0.0093,0.0253,0.0657,0.1099,0.1099,0.1099,0.1099,0.1099
BES OTHER,0.0023,0.0156,0.0436,0.0883,0.1164,0.1275,0.1275,0.1275,0.1275
CEL OTHER,0.0015,0.0117,0.0371,0.0827,0.1231,0.1601,0.1900,0.2134,0.2134
CEM OTHER,0.0006,0.0020,0.0046,0.0097,0.0144,0.0144,0.0144,0.0144,0.0144
CES OTHER,0.0012,0.0073,0.0223,0.0529,0.0529,0.0529,0.0529,0.0529,0.0529
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
