,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.0027,0.0194,0.0649,0.1509,0.2328,0.3143,0.3850,0.4476,0.4476
ACPL,0.0035,0.0261,0.0814,0.1927,0.2884,0.3780,0.4518,0.5002,0.5002
ACRU,0.0045,0.0299,0.0938,0.2151,0.3163,0.4094,0.4815,0.4815,0.4815
ACSA2,0.0014,0.0169,0.0631,0.1615,0.2603,0.3730,0.4843,0.4843,0.4843
BEPE,0.0041,0.0283,0.0792,0.1618,0.1618,0.1618,0.1618,0.1618,0.1618
CABEF,0.0012,0.0179,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638,0.0638
CADE2,0.0012,0.0043,0.0091,0.0192,0.0284,0.0284,0.0284,0.0284,0.0284
CRLA80,0.0038,0.0316,0.0848,0.1455,0.1455,0.1455,0.1455,0.1455,0.1455
FASYAT,0.0038,0.0328,0.1088,0.2434,0.3503,0.4479,0.4479,0.4479,0.4479
FRLA,0.0029,0.0203,0.0679,0.1607,0.2522,0.3516,0.4514,0.4514,0.4514
ILOP,0.0039,0.0186,0.0493,0.1296,0.2169,0.2169,0.2169,0.2169,0.2169
LIST,0.0028,0.0262,0.0771,0.1775,0.2683,0.2683,0.2683,0.2683,0.2683
MOAL,0.0062,0.0488,0.1513,0.3205,0.4469,0.4469,0.4469,0.4469,0.4469
PICO5,0.0023,0.0156,0.0437,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042
POTR2,0.0063,0.0218,0.0507,0.1084,0.1591,0.2275,0.2958,0.3684,0.4455
PRCEKW,0.0028,0.0274,0.0811,0.1466,0.1466,0.1466,0.1466,0.1466,0.1466
PRSE2,0.0024,0.0136,0.0425,0.1057,0.1634,0.2277,0.2808,0.3233,0.3233
PSME,0.0031,0.0231,0.0728,0.1633,0.2423,0.3160,0.3765,0.4241,0.4241
PYAN,0.0038,0.0337,0.0659,0.0659,0.0659,0.0659,0.0659,0.0659,0.0659
PYKA,0.0045,0.0302,0.0856,0.1732,0.2287,0.2510,0.2510,0.2510,0.2510
QUAG,0.0027,0.0222,0.0629,0.1538,0.2449,0.3452,0.4435,0.5347,0.6181
QURU,0.0040,0.0312,0.0991,0.2362,0.3560,0.4733,0.5708,0.6489,0.6489
TIAM,0.0019,0.0215,0.0709,0.1709,0.2576,0.3334,0.3845,0.3845,0.3845
TICO,0.0018,0.0210,0.0716,0.1764,0.2688,0.3556,0.4246,0.4246,0.4246
ULAM,0.0060,0.0348,0.1022,0.2309,0.3426,0.4607,0.5736,0.6769,0.6769
PHCA,0.0074,0.0454,0.1124,0.2106,0.2151,0.2150,0.2108,0.2081,0.2069
PHDA4,0.0024,0.0186,0.0326,0.0449,0.0521,0.0503,0.0495,0.0495,0.0495
WARO,0.0010,0.0070,0.0139,0.0236,0.0282,0.0328,0.0381,0.0408,0.0408
BDL OTHER,0.0027,0.0194,0.0649,0.1509,0.2328,0.3143,0.3850,0.4476,0.4476
BDM OTHER,0.0018,0.0210,0.0716,0.1764,0.2688,0.3556,0.4246,0.4246,0.4246
BDS OTHER,0.0024,0.0136,0.0425,0.1057,0.1634,0.2277,0.2808,0.3233,0.3233
BEL OTHER,0.0027,0.0222,0.0629,0.1538,0.2449,0.3452,0.4435,0.5347,0.6181
BEM OTHER,0.0039,0.0186,0.0493,0.1296,0.2169,0.2169,0.2169,0.2169,0.2169
BES OTHER,0.0045,0.0302,0.0856,0.1732,0.2287,0.2510,0.2510,0.2510,0.2510
CEL OTHER,0.0031,0.0231,0.0728,0.1633,0.2423,0.3160,0.3765,0.4241,0.4241
CEM OTHER,0.0012,0.0043,0.0091,0.0192,0.0284,0.0284,0.0284,0.0284,0.0284
CES OTHER,0.0023,0.0156,0.0437,0.1042,0.1042,0.1042,0.1042,0.1042,0.1042
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
