,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.0000,0.0016,0.0052,0.0121,0.0187,0.0251,0.0306,0.0353,0.0353
ACPL,0.0003,0.0022,0.0066,0.0154,0.0231,0.0300,0.0355,0.0391,0.0391
ACRU,0.0004,0.0025,0.0076,0.0173,0.0253,0.0324,0.0379,0.0379,0.0379
ACSA2,0.0001,0.0013,0.0051,0.0130,0.0209,0.0297,0.0381,0.0381,0.0381
BEPE,0.0003,0.0023,0.0063,0.0130,0.0130,0.0130,0.0130,0.0130,0.0130
CABEF,0.0001,0.0014,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051,0.0051
CADE2,0.0001,0.0003,0.0007,0.0014,0.0022,0.0022,0.0022,0.0022,0.0022
CRLA80,0.0003,0.0025,0.0067,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114
FASYAT,0.0003,0.0026,0.0087,0.0195,0.0279,0.0353,0.0353,0.0353,0.0353
FRLA,0.0002,0.0016,0.0053,0.0126,0.0199,0.0276,0.0351,0.0351,0.0351
ILOP,0.0003,0.0015,0.0039,0.0101,0.0169,0.0169,0.0169,0.0169,0.0169
LIST,0.0002,0.0021,0.0062,0.0143,0.0215,0.0215,0.0215,0.0215,0.0215
MOAL,0.0005,0.0040,0.0122,0.0256,0.0353,0.0353,0.0353,0.0353,0.0353
PICO5,0.0002,0.0011,0.0035,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082
POTR2,0.0005,0.0017,0.0040,0.0086,0.0127,0.0182,0.0237,0.0293,0.0352
PRCEKW,0.0002,0.0022,0.0064,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
PRSE2,0.0002,0.0011,0.0034,0.0084,0.0129,0.0180,0.0221,0.0253,0.0253
PSME,0.0002,0.0018,0.0057,0.0128,0.0191,0.0249,0.0296,0.0333,0.0333
PYAN,0.0003,0.0027,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054
PYKA,0.0004,0.0025,0.0068,0.0138,0.0182,0.0199,0.0199,0.0199,0.0199
QUAG,0.0002,0.0017,0.0050,0.0122,0.0195,0.0272,0.0347,0.0413,0.0474
QURU,0.0003,0.0025,0.0080,0.0189,0.0283,0.0372,0.0444,0.0502,0.0502
TIAM,0.0002,0.0017,0.0057,0.0137,0.0206,0.0265,0.0305,0.0305,0.0305
TICO,0.0001,0.0017,0.0058,0.0141,0.0215,0.0282,0.0335,0.0335,0.0335
ULAM,0.0005,0.0028,0.0082,0.0186,0.0274,0.0364,0.0448,0.0524,0.0524
PHCA,0.0006,0.0038,0.0090,0.0168,0.0173,0.0174,0.0172,0.0170,0.0169
PHDA4,0.0002,0.0015,0.0026,0.0037,0.0043,0.0042,0.0041,0.0041,0.0041
WARO,0.0001,0.0005,0.0011,0.0020,0.0024,0.0028,0.0032,0.0034,0.0034
BDL OTHER,0.0002,0.0016,0.0052,0.0121,0.0187,0.0251,0.0306,0.0353,0.0353
BDM OTHER,0.0001,0.0017,0.0058,0.0141,0.0215,0.0282,0.0335,0.0335,0.0335
BDS OTHER,0.0002,0.0011,0.0034,0.0084,0.0129,0.0180,0.0221,0.0253,0.0253
BEL OTHER,0.0002,0.0017,0.0050,0.0122,0.0195,0.0272,0.0347,0.0413,0.0474
BEM OTHER,0.0003,0.0015,0.0039,0.0101,0.0169,0.0169,0.0169,0.0169,0.0169
BES OTHER,0.0004,0.0025,0.0068,0.0138,0.0182,0.0199,0.0199,0.0199,0.0199
CEL OTHER,0.0002,0.0018,0.0057,0.0128,0.0191,0.0249,0.0296,0.0333,0.0333
CEM OTHER,0.0001,0.0003,0.0007,0.0014,0.0022,0.0022,0.0022,0.0022,0.0022
CES OTHER,0.0002,0.0011,0.0035,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,VOCs Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
