,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACMA,0.0004,0.0031,0.0102,0.0238,0.0367,0.0495,0.0606,0.0703,0.0703
ACPL,0.0006,0.0042,0.0129,0.0304,0.0454,0.0594,0.0708,0.0783,0.0783
ACRU,0.0007,0.0048,0.0149,0.0339,0.0498,0.0643,0.0755,0.0755,0.0755
ACSA2,0.0002,0.0027,0.0100,0.0255,0.0411,0.0588,0.0761,0.0761,0.0761
BEPE,0.0007,0.0044,0.0124,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255
CABEF,0.0002,0.0028,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100
CADE2,0.0002,0.0006,0.0013,0.0029,0.0043,0.0043,0.0043,0.0043,0.0043
CRLA80,0.0006,0.0050,0.0132,0.0226,0.0226,0.0226,0.0226,0.0226,0.0226
FASYAT,0.0006,0.0052,0.0172,0.0383,0.0551,0.0703,0.0703,0.0703,0.0703
FRLA,0.0005,0.0031,0.0104,0.0250,0.0393,0.0548,0.0702,0.0702,0.0702
ILOP,0.0006,0.0029,0.0077,0.0200,0.0335,0.0335,0.0335,0.0335,0.0335
LIST,0.0005,0.0041,0.0122,0.0280,0.0423,0.0423,0.0423,0.0423,0.0423
MOAL,0.0010,0.0078,0.0240,0.0505,0.0702,0.0702,0.0702,0.0702,0.0702
PICO5,0.0004,0.0024,0.0068,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161
POTR2,0.0010,0.0033,0.0079,0.0169,0.0250,0.0358,0.0466,0.0580,0.0701
PRCEKW,0.0005,0.0043,0.0126,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228
PRSE2,0.0004,0.0021,0.0067,0.0165,0.0255,0.0355,0.0437,0.0503,0.0503
PSME,0.0005,0.0036,0.0111,0.0253,0.0377,0.0494,0.0589,0.0663,0.0663
PYAN,0.0006,0.0053,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105
PYKA,0.0007,0.0048,0.0135,0.0272,0.0359,0.0392,0.0392,0.0392,0.0392
QUAG,0.0004,0.0034,0.0099,0.0241,0.0385,0.0540,0.0692,0.0831,0.0958
QURU,0.0006,0.0049,0.0157,0.0373,0.0560,0.0743,0.0893,0.1012,0.1012
TIAM,0.0003,0.0034,0.0112,0.0269,0.0405,0.0524,0.0604,0.0604,0.0604
TICO,0.0003,0.0033,0.0113,0.0278,0.0423,0.0559,0.0666,0.0666,0.0666
ULAM,0.0010,0.0055,0.0161,0.0364,0.0541,0.0725,0.0899,0.1057,0.1057
PHCA,0.0012,0.0073,0.0177,0.0331,0.0340,0.0341,0.0336,0.0333,0.0331
PHDA4,0.0004,0.0030,0.0052,0.0072,0.0084,0.0081,0.0080,0.0080,0.0080
WARO,0.0002,0.0011,0.0022,0.0038,0.0046,0.0054,0.0062,0.0067,0.0067
BDL OTHER,0.0004,0.0031,0.0102,0.0238,0.0367,0.0495,0.0606,0.0703,0.0703
BDM OTHER,0.0003,0.0033,0.0113,0.0278,0.0423,0.0559,0.0666,0.0666,0.0666
BDS OTHER,0.0004,0.0021,0.0067,0.0165,0.0255,0.0355,0.0437,0.0503,0.0503
BEL OTHER,0.0004,0.0034,0.0099,0.0241,0.0385,0.0540,0.0692,0.0831,0.0958
BEM OTHER,0.0006,0.0029,0.0077,0.0200,0.0335,0.0335,0.0335,0.0335,0.0335
BES OTHER,0.0007,0.0048,0.0135,0.0272,0.0359,0.0392,0.0392,0.0392,0.0392
CEL OTHER,0.0005,0.0036,0.0111,0.0253,0.0377,0.0494,0.0589,0.0663,0.0663
CEM OTHER,0.0002,0.0006,0.0013,0.0029,0.0043,0.0043,0.0043,0.0043,0.0043
CES OTHER,0.0004,0.0024,0.0068,0.0161,0.0161,0.0161,0.0161,0.0161,0.0161
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,VOCs Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
