,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.000,0.004,0.013,0.028,0.045,0.063,0.081,0.099,0.117
ACSA1,0.001,0.006,0.017,0.032,0.047,0.061,0.074,0.087,0.100
ACSA2,0.001,0.006,0.017,0.033,0.050,0.067,0.084,0.100,0.100
BENI,0.001,0.008,0.018,0.030,0.041,0.051,0.051,0.051,0.051
COFL,0.003,0.005,0.011,0.022,0.036,0.036,0.036,0.036,0.036
ILOP,0.002,0.007,0.018,0.041,0.074,0.074,0.074,0.074,0.074
JUVI,0.002,0.006,0.017,0.040,0.074,0.117,0.171,0.171,0.171
LA6,0.001,0.003,0.009,0.020,0.035,0.035,0.035,0.035,0.035
LIST,0.001,0.003,0.009,0.019,0.034,0.053,0.075,0.103,0.134
MA2,0.002,0.005,0.011,0.023,0.038,0.038,0.038,0.038,0.038
MAGR,0.004,0.011,0.026,0.056,0.099,0.153,0.219,0.297,0.297
PHDA4,0.001,0.007,0.012,0.015,0.018,0.018,0.018,0.018,0.018
PICO5,0.001,0.005,0.016,0.037,0.037,0.037,0.037,0.037,0.037
PIEC,0.002,0.007,0.021,0.052,0.096,0.153,0.224,0.224,0.224
PITA,0.003,0.009,0.022,0.049,0.086,0.134,0.193,0.193,0.193
PR,0.002,0.004,0.009,0.020,0.035,0.054,0.077,0.077,0.077
PRYE,0.002,0.005,0.011,0.020,0.031,0.042,0.042,0.042,0.042
PYCA,0.002,0.006,0.015,0.034,0.061,0.061,0.061,0.061,0.061
QUAL,0.001,0.005,0.012,0.028,0.048,0.071,0.097,0.125,0.153
QUNI,0.001,0.004,0.013,0.030,0.053,0.079,0.109,0.141,0.174
QUPH,0.001,0.005,0.013,0.030,0.050,0.074,0.098,0.123,0.146
QURU,0.000,0.003,0.011,0.027,0.046,0.066,0.084,0.099,0.108
WARO,0.000,0.001,0.004,0.007,0.007,0.007,0.007,0.007,0.007
ULAL,0.001,0.003,0.009,0.022,0.039,0.062,0.062,0.062,0.062
WAFI,0.000,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
BDL OTHER,0.001,0.005,0.013,0.030,0.050,0.074,0.098,0.123,0.146
BDM OTHER,0.001,0.008,0.018,0.030,0.041,0.051,0.051,0.051,0.051
BDS OTHER,0.003,0.005,0.011,0.022,0.036,0.036,0.036,0.036,0.036
CEL OTHER,0.002,0.007,0.021,0.052,0.096,0.153,0.224,0.224,0.224
CEM OTHER,0.002,0.006,0.017,0.040,0.074,0.117,0.171,0.171,0.171
CES OTHER,0.001,0.005,0.016,0.037,0.037,0.037,0.037,0.037,0.037
BEL OTHER,0.001,0.004,0.013,0.030,0.053,0.079,0.109,0.141,0.174
BEM OTHER,0.004,0.011,0.026,0.056,0.099,0.153,0.219,0.297,0.297
BES OTHER,0.002,0.007,0.018,0.041,0.074,0.074,0.074,0.074,0.074
PEL OTHER,0.001,0.007,0.012,0.015,0.018,0.018,0.018,0.018,0.018
PEM OTHER,0.000,0.001,0.004,0.007,0.007,0.007,0.007,0.007,0.007
PES OTHER,0.000,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007
