,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.0001,0.0023,0.0089,0.0210,0.0312,0.0428,0.0525,0.0657,0.0767
ACSA1,0.0004,0.0038,0.0116,0.0228,0.0317,0.0408,0.0481,0.0579,0.0658
ACSA2,0.0004,0.0037,0.0123,0.0255,0.0364,0.0478,0.0575,0.0697,0.0697
BENI,0.0007,0.0050,0.0119,0.0211,0.0277,0.0346,0.0338,0.0346,0.0346
COFL,0.0013,0.0028,0.0063,0.0140,0.0201,0.0201,0.0199,0.0201,0.0201
ILOP,0.0005,0.0017,0.0046,0.0125,0.0198,0.0198,0.0194,0.0198,0.0198
JUVI,0.0004,0.0015,0.0043,0.0127,0.0198,0.0316,0.0443,0.0452,0.0452
LA6,0.0006,0.0020,0.0055,0.0145,0.0224,0.0224,0.0221,0.0224,0.0224
LIST,0.0007,0.0024,0.0066,0.0160,0.0240,0.0365,0.0493,0.0679,0.0868
MA2,0.0015,0.0031,0.0072,0.0162,0.0245,0.0245,0.0243,0.0245,0.0245
MAGR,0.0009,0.0025,0.0066,0.0163,0.0255,0.0397,0.0557,0.0756,0.0756
PHDA4,0.0002,0.0017,0.0030,0.0043,0.0052,0.0053,0.0052,0.0053,0.0053
PICO5,0.0002,0.0012,0.0038,0.0096,0.0096,0.0096,0.0095,0.0096,0.0096
PIEC,0.0004,0.0018,0.0062,0.0167,0.0263,0.0413,0.0580,0.0593,0.0593
PITA,0.0007,0.0022,0.0062,0.0155,0.0238,0.0367,0.0504,0.0515,0.0515
PR,0.0009,0.0023,0.0061,0.0148,0.0224,0.0347,0.0483,0.0490,0.0490
PRYE,0.0013,0.0030,0.0067,0.0141,0.0194,0.0264,0.0261,0.0264,0.0264
PYCA,0.0007,0.0024,0.0068,0.0170,0.0270,0.0270,0.0266,0.0270,0.0270
QUAL,0.0007,0.0026,0.0074,0.0176,0.0264,0.0386,0.0502,0.0656,0.0796
QUNI,0.0006,0.0023,0.0072,0.0183,0.0286,0.0424,0.0560,0.0731,0.0893
QUPH,0.0006,0.0026,0.0076,0.0183,0.0276,0.0397,0.0508,0.0646,0.0762
QURU,0.0001,0.0020,0.0078,0.0208,0.0321,0.0447,0.0546,0.0653,0.0711
WARO,0.0001,0.0017,0.0024,0.0031,0.0036,0.0037,0.0036,0.0036,0.0036
ULAL,0.0006,0.0023,0.0067,0.0172,0.0271,0.0420,0.0408,0.0420,0.0420
WAFI,0.0000,0.0017,0.0018,0.0019,0.0020,0.0020,0.0019,0.0019,0.0019
BDL OTHER,0.0006,0.0026,0.0076,0.0183,0.0276,0.0397,0.0508,0.0646,0.0762
BDM OTHER,0.0007,0.0050,0.0119,0.0211,0.0277,0.0346,0.0338,0.0346,0.0346
BDS OTHER,0.0013,0.0028,0.0063,0.0140,0.0201,0.0201,0.0199,0.0201,0.0201
CEL OTHER,0.0004,0.0018,0.0062,0.0167,0.0263,0.0413,0.0580,0.0593,0.0593
CEM OTHER,0.0004,0.0015,0.0043,0.0127,0.0198,0.0316,0.0443,0.0452,0.0452
CES OTHER,0.0002,0.0012,0.0038,0.0096,0.0096,0.0096,0.0095,0.0096,0.0096
BEL OTHER,0.0006,0.0023,0.0072,0.0183,0.0286,0.0424,0.0560,0.0731,0.0893
BEM OTHER,0.0009,0.0025,0.0066,0.0163,0.0255,0.0397,0.0557,0.0756,0.0756
BES OTHER,0.0005,0.0017,0.0046,0.0125,0.0198,0.0198,0.0194,0.0198,0.0198
PEL OTHER,0.0002,0.0017,0.0030,0.0043,0.0052,0.0053,0.0052,0.0053,0.0053
PEM OTHER,0.0001,0.0017,0.0024,0.0031,0.0036,0.0037,0.0036,0.0036,0.0036
PES OTHER,0.0000,0.0017,0.0018,0.0019,0.0020,0.0020,0.0019,0.0019,0.0019
