,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.001,0.010,0.034,0.074,0.119,0.165,0.211,0.258,0.305
ACSA1,0.002,0.016,0.044,0.084,0.122,0.159,0.194,0.228,0.261
ACSA2,0.001,0.013,0.040,0.081,0.122,0.162,0.202,0.241,0.241
BENI,0.003,0.020,0.046,0.078,0.107,0.134,0.134,0.134,0.134
COFL,0.007,0.014,0.029,0.057,0.094,0.094,0.094,0.094,0.094
ILOP,0.005,0.014,0.038,0.088,0.158,0.158,0.158,0.158,0.158
JUVI,0.004,0.013,0.036,0.087,0.159,0.253,0.368,0.368,0.368
LA6,0.003,0.008,0.022,0.051,0.092,0.092,0.092,0.092,0.092
LIST,0.003,0.009,0.022,0.050,0.088,0.137,0.197,0.268,0.349
MA2,0.006,0.014,0.029,0.059,0.100,0.100,0.100,0.100,0.100
MAGR,0.009,0.023,0.055,0.121,0.212,0.329,0.471,0.639,0.639
PHDA4,0.003,0.015,0.026,0.033,0.039,0.039,0.039,0.039,0.039
PICO5,0.002,0.011,0.034,0.079,0.079,0.079,0.079,0.079,0.079
PIEC,0.004,0.015,0.046,0.111,0.206,0.330,0.483,0.483,0.483
PITA,0.007,0.019,0.047,0.105,0.185,0.288,0.414,0.414,0.414
PR,0.004,0.010,0.024,0.053,0.092,0.141,0.202,0.202,0.202
PRYE,0.006,0.013,0.028,0.053,0.081,0.109,0.109,0.109,0.109
PYCA,0.005,0.014,0.036,0.083,0.148,0.148,0.148,0.148,0.148
QUAL,0.004,0.011,0.030,0.068,0.116,0.173,0.237,0.304,0.374
QUNI,0.003,0.011,0.032,0.073,0.128,0.194,0.266,0.344,0.424
QUPH,0.003,0.011,0.032,0.072,0.123,0.180,0.240,0.300,0.358
QURU,0.001,0.007,0.028,0.070,0.121,0.172,0.219,0.257,0.282
WARO,0.000,0.003,0.009,0.016,0.016,0.016,0.016,0.016,0.016
ULAL,0.003,0.009,0.024,0.057,0.103,0.162,0.162,0.162,0.162
WAFI,0.001,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
BDL OTHER,0.003,0.011,0.032,0.072,0.123,0.180,0.240,0.300,0.358
BDM OTHER,0.003,0.020,0.046,0.078,0.107,0.134,0.134,0.134,0.134
BDS OTHER,0.007,0.014,0.029,0.057,0.094,0.094,0.094,0.094,0.094
CEL OTHER,0.004,0.015,0.046,0.111,0.206,0.330,0.483,0.483,0.483
CEM OTHER,0.004,0.013,0.036,0.087,0.159,0.253,0.368,0.368,0.368
CES OTHER,0.002,0.011,0.034,0.079,0.079,0.079,0.079,0.079,0.079
BEL OTHER,0.003,0.011,0.032,0.073,0.128,0.194,0.266,0.344,0.424
BEM OTHER,0.009,0.023,0.055,0.121,0.212,0.329,0.471,0.639,0.639
BES OTHER,0.005,0.014,0.038,0.088,0.158,0.158,0.158,0.158,0.158
PEL OTHER,0.003,0.015,0.026,0.033,0.039,0.039,0.039,0.039,0.039
PEM OTHER,0.000,0.003,0.009,0.016,0.016,0.016,0.016,0.016,0.016
PES OTHER,0.001,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
