,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.000,0.002,0.006,0.013,0.020,0.028,0.036,0.044,0.052
ACSA1,0.000,0.003,0.008,0.014,0.021,0.027,0.033,0.039,0.045
ACSA2,0.000,0.003,0.008,0.016,0.024,0.032,0.040,0.048,0.048
BENI,0.001,0.003,0.008,0.013,0.018,0.023,0.023,0.023,0.023
COFL,0.001,0.003,0.005,0.011,0.017,0.017,0.017,0.017,0.017
ILOP,0.001,0.004,0.010,0.024,0.043,0.043,0.043,0.043,0.043
JUVI,0.001,0.003,0.010,0.024,0.043,0.069,0.101,0.101,0.101
LA6,0.000,0.001,0.004,0.009,0.016,0.016,0.016,0.016,0.016
LIST,0.001,0.002,0.004,0.009,0.015,0.024,0.034,0.046,0.060
MA2,0.001,0.002,0.005,0.010,0.017,0.017,0.017,0.017,0.017
MAGR,0.002,0.006,0.015,0.033,0.058,0.090,0.129,0.175,0.175
PHDA4,0.001,0.004,0.007,0.009,0.011,0.011,0.011,0.011,0.011
PICO5,0.001,0.003,0.009,0.022,0.022,0.022,0.022,0.022,0.022
PIEC,0.001,0.004,0.012,0.030,0.056,0.090,0.132,0.132,0.132
PITA,0.002,0.005,0.013,0.029,0.051,0.079,0.113,0.113,0.113
PR,0.001,0.002,0.004,0.009,0.016,0.024,0.035,0.035,0.035
PRYE,0.001,0.002,0.005,0.009,0.014,0.019,0.019,0.019,0.019
PYCA,0.001,0.003,0.008,0.018,0.032,0.032,0.032,0.032,0.032
QUAL,0.001,0.002,0.006,0.014,0.023,0.035,0.048,0.061,0.075
QUNI,0.001,0.002,0.006,0.015,0.026,0.039,0.053,0.069,0.085
QUPH,0.001,0.002,0.006,0.014,0.025,0.036,0.048,0.060,0.072
QURU,0.000,0.001,0.005,0.012,0.021,0.030,0.038,0.044,0.048
WARO,0.000,0.001,0.002,0.004,0.004,0.004,0.004,0.004,0.004
ULAL,0.000,0.002,0.004,0.010,0.018,0.028,0.028,0.028,0.028
WAFI,0.000,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
BDL OTHER,0.001,0.002,0.006,0.014,0.025,0.036,0.048,0.060,0.072
BDM OTHER,0.001,0.003,0.008,0.013,0.018,0.023,0.023,0.023,0.023
BDS OTHER,0.001,0.003,0.005,0.011,0.017,0.017,0.017,0.017,0.017
CEL OTHER,0.001,0.004,0.012,0.030,0.056,0.090,0.132,0.132,0.132
CEM OTHER,0.001,0.003,0.010,0.024,0.043,0.069,0.101,0.101,0.101
CES OTHER,0.001,0.003,0.009,0.022,0.022,0.022,0.022,0.022,0.022
BEL OTHER,0.001,0.002,0.006,0.015,0.026,0.039,0.053,0.069,0.085
BEM OTHER,0.002,0.006,0.015,0.033,0.058,0.090,0.129,0.175,0.175
BES OTHER,0.001,0.004,0.010,0.024,0.043,0.043,0.043,0.043,0.043
PEL OTHER,0.001,0.004,0.007,0.009,0.011,0.011,0.011,0.011,0.011
PEM OTHER,0.000,0.001,0.002,0.004,0.004,0.004,0.004,0.004,0.004
PES OTHER,0.000,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
