,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.0001,0.0023,0.0087,0.0206,0.0307,0.0422,0.0518,0.0649,0.0758
ACSA1,0.0004,0.0037,0.0113,0.0224,0.0312,0.0402,0.0474,0.0571,0.0650
ACSA2,0.0003,0.0036,0.0121,0.0251,0.0358,0.0471,0.0567,0.0688,0.0688
BENI,0.0007,0.0049,0.0117,0.0208,0.0272,0.0341,0.0333,0.0341,0.0341
COFL,0.0013,0.0027,0.0061,0.0138,0.0197,0.0197,0.0195,0.0197,0.0197
ILOP,0.0005,0.0016,0.0045,0.0124,0.0196,0.0196,0.0191,0.0196,0.0196
JUVI,0.0004,0.0015,0.0043,0.0126,0.0196,0.0313,0.0439,0.0448,0.0448
LA6,0.0006,0.0019,0.0054,0.0142,0.0219,0.0219,0.0217,0.0219,0.0219
LIST,0.0007,0.0024,0.0065,0.0158,0.0236,0.0359,0.0486,0.0671,0.0858
MA2,0.0014,0.0031,0.0070,0.0158,0.0240,0.0240,0.0238,0.0240,0.0240
MAGR,0.0009,0.0025,0.0065,0.0161,0.0252,0.0393,0.0552,0.0751,0.0751
PHDA4,0.0002,0.0017,0.0030,0.0043,0.0051,0.0052,0.0051,0.0052,0.0052
PICO5,0.0002,0.0012,0.0037,0.0094,0.0094,0.0094,0.0094,0.0094,0.0094
PIEC,0.0004,0.0018,0.0061,0.0165,0.0259,0.0407,0.0572,0.0585,0.0585
PITA,0.0007,0.0022,0.0061,0.0154,0.0235,0.0362,0.0498,0.0510,0.0510
PR,0.0009,0.0022,0.0060,0.0145,0.0220,0.0341,0.0476,0.0483,0.0483
PRYE,0.0012,0.0029,0.0065,0.0139,0.0190,0.0259,0.0257,0.0259,0.0259
PYCA,0.0007,0.0023,0.0067,0.0167,0.0266,0.0266,0.0262,0.0266,0.0266
QUAL,0.0007,0.0026,0.0073,0.0172,0.0259,0.0380,0.0495,0.0648,0.0786
QUNI,0.0006,0.0023,0.0071,0.0180,0.0281,0.0418,0.0553,0.0722,0.0884
QUPH,0.0006,0.0025,0.0074,0.0180,0.0271,0.0391,0.0500,0.0638,0.0753
QURU,0.0001,0.0019,0.0077,0.0204,0.0315,0.0440,0.0538,0.0645,0.0702
WARO,0.0001,0.0017,0.0024,0.0031,0.0035,0.0036,0.0035,0.0035,0.0035
ULAL,0.0006,0.0023,0.0066,0.0170,0.0267,0.0415,0.0403,0.0415,0.0415
WAFI,0.0000,0.0017,0.0018,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
BDL OTHER,0.0006,0.0025,0.0074,0.0180,0.0271,0.0391,0.0500,0.0638,0.0753
BDM OTHER,0.0007,0.0049,0.0117,0.0208,0.0272,0.0341,0.0333,0.0341,0.0341
BDS OTHER,0.0013,0.0027,0.0061,0.0138,0.0197,0.0197,0.0195,0.0197,0.0197
CEL OTHER,0.0004,0.0018,0.0061,0.0165,0.0259,0.0407,0.0572,0.0585,0.0585
CEM OTHER,0.0004,0.0015,0.0043,0.0126,0.0196,0.0313,0.0439,0.0448,0.0448
CES OTHER,0.0002,0.0012,0.0037,0.0094,0.0094,0.0094,0.0094,0.0094,0.0094
BEL OTHER,0.0006,0.0023,0.0071,0.0180,0.0281,0.0418,0.0553,0.0722,0.0884
BEM OTHER,0.0009,0.0025,0.0065,0.0161,0.0252,0.0393,0.0552,0.0751,0.0751
BES OTHER,0.0005,0.0016,0.0045,0.0124,0.0196,0.0196,0.0191,0.0196,0.0196
PEL OTHER,0.0002,0.0017,0.0030,0.0043,0.0051,0.0052,0.0051,0.0052,0.0052
PEM OTHER,0.0001,0.0017,0.0024,0.0031,0.0035,0.0036,0.0035,0.0035,0.0035
PES OTHER,0.0000,0.0017,0.0018,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
