,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,-0.001,-0.002,-0.029,-0.104,-0.207,-0.325,-0.443,-0.549,-0.627
ACSA1,-0.001,-0.002,-0.020,-0.065,-0.131,-0.212,-0.303,-0.400,-0.499
ACSA2,-0.001,-0.002,-0.027,-0.091,-0.186,-0.306,-0.445,-0.597,-0.597
BENI,0.000,0.000,-0.002,-0.005,-0.010,-0.016,-0.016,-0.016,-0.016
COFL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ILOP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
JUVI,0.000,-0.005,-0.017,-0.042,-0.070,-0.094,-0.108,-0.108,-0.108
LA6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIST,-0.005,-0.029,-0.210,-0.688,-1.432,-2.437,-3.700,-5.217,-6.985
MA2,0.000,0.000,0.000,0.000,-0.001,-0.001,-0.001,-0.001,-0.001
MAGR,-0.003,-0.011,-0.100,-0.303,-0.552,-0.796,-0.981,-1.054,-1.054
PHDA4,-0.016,-0.046,-0.075,-0.103,-0.132,-0.162,-0.194,-0.194,-0.194
PICO5,-0.005,-0.053,-0.208,-0.538,-0.538,-0.538,-0.538,-0.538,-0.538
PIEC,-0.002,-0.003,-0.037,-0.138,-0.286,-0.468,-0.672,-0.672,-0.672
PITA,-0.010,-0.015,-0.178,-0.691,-1.626,-3.072,-5.121,-5.121,-5.121
PR,0.000,0.000,0.000,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002
PRYE,0.000,0.000,0.000,-0.001,-0.002,-0.003,-0.003,-0.003,-0.003
PYCA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
QUAL,-0.001,-0.006,-0.047,-0.182,-0.388,-0.655,-0.974,-1.333,-1.723
QUNI,-0.003,-0.018,-0.117,-0.516,-1.103,-1.820,-2.608,-3.408,-4.162
QUPH,-0.004,-0.025,-0.177,-0.578,-1.208,-2.070,-3.167,-4.502,-6.079
QURU,-0.002,-0.010,-0.060,-0.201,-0.440,-0.793,-1.276,-1.903,-2.689
WARO,-0.002,-0.014,-0.032,-0.051,-0.051,-0.051,-0.051,-0.051,-0.051
ULAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
WAFI,-0.013,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046
BDL OTHER,-0.004,-0.025,-0.177,-0.578,-1.208,-2.070,-3.167,-4.502,-6.079
BDM OTHER,0.000,0.000,-0.002,-0.005,-0.010,-0.016,-0.016,-0.016,-0.016
BDS OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CEL OTHER,-0.002,-0.003,-0.037,-0.138,-0.286,-0.468,-0.672,-0.672,-0.672
CEM OTHER,0.000,-0.005,-0.017,-0.042,-0.070,-0.094,-0.108,-0.108,-0.108
CES OTHER,-0.005,-0.053,-0.208,-0.538,-0.538,-0.538,-0.538,-0.538,-0.538
BEL OTHER,-0.003,-0.018,-0.117,-0.516,-1.103,-1.820,-2.608,-3.408,-4.162
BEM OTHER,-0.003,-0.011,-0.100,-0.303,-0.552,-0.796,-0.981,-1.054,-1.054
BES OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PEL OTHER,-0.016,-0.046,-0.075,-0.103,-0.132,-0.162,-0.194,-0.194,-0.194
PEM OTHER,-0.002,-0.014,-0.032,-0.051,-0.051,-0.051,-0.051,-0.051,-0.051
PES OTHER,-0.013,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046
