,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACRU,17.8,24.5,71.5,174.4,315.9,486.7,674.2,904.7,1183.6,,,,
ACSA1,5.9,29.6,98.0,197.5,311.9,438.1,594.4,740.2,893.6,,,,
ACSA2,3.4,36.6,103.5,174.4,234.8,281.9,317.2,342.9,0.0,,,,
BENI,2.6,37.6,120.0,320.4,554.2,836.3,0.0,0.0,0.0,,,,
COFL,2.8,24.4,66.7,134.0,201.5,0.0,0.0,0.0,0.0,,,,
ILOP,2.0,12.4,36.9,83.2,147.4,0.0,0.0,0.0,0.0,,,,
JUVI,0.7,9.6,33.2,81.6,143.3,215.7,297.3,0.0,0.0,,,,
LA6,0.4,8.4,29.7,62.6,98.7,0.0,0.0,0.0,0.0,,,,
LIST,1.7,12.0,47.4,105.2,176.3,270.7,363.2,463.8,587.8,,,,
MA2,3.5,34.0,83.9,154.4,216.4,0.0,0.0,0.0,0.0,,,,
MAGR,0.7,7.2,25.5,64.8,117.8,190.5,273.7,362.7,0.0,,,,
PHDA4,5.7,6.9,7.6,7.7,7.3,6.3,3.7,2.2,0.0,,,,
PICO5,0.4,8.5,25.5,27.4,0.0,0.0,0.0,0.0,0.0,,,,
PIEC,1.3,14.9,52.8,135.4,228.5,350.9,473.2,0.0,0.0,,,,
PITA,0.9,13.8,50.0,118.8,204.9,305.1,417.3,0.0,0.0,,,,
PR,1.5,7.0,27.2,77.1,149.1,257.9,378.3,0.0,0.0,,,,
PRYE,0.8,8.6,31.2,76.2,126.9,177.1,0.0,0.0,0.0,,,,
PYCA,6.5,21.9,71.6,144.2,228.9,0.0,0.0,0.0,0.0,,,,
QUAL,3.1,25.3,76.9,181.3,294.6,440.9,585.5,742.3,932.0,,,,
QUNI,5.6,27.4,89.6,189.8,296.5,414.5,523.6,629.2,714.6,,,,
QUPH,3.8,26.1,90.5,188.0,281.2,377.9,444.3,478.7,449.1,,,,
QURU,10.6,27.0,92.1,180.8,296.2,400.6,486.9,561.6,601.2,,,,
WARO,13.6,12.8,12.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ULAL,7.4,24.6,84.3,193.8,305.0,429.0,0.0,0.0,0.0,,,,
WAFI,13.6,12.8,12.1,11.1,10.2,0.0,0.0,0.0,0.0,,,,
BDL OTHER,3.8,26.1,90.5,188.0,281.2,377.9,444.3,478.7,449.1,,,,
BDM OTHER,2.6,37.6,120.0,320.4,554.2,836.3,0.0,0.0,0.0,,,,
BDS OTHER,2.8,24.4,66.7,134.0,201.5,0.0,0.0,0.0,0.0,,,,
CEL OTHER,1.3,14.9,52.8,135.4,228.5,350.9,473.2,0.0,0.0,,,,
CEM OTHER,0.7,9.6,33.2,81.6,143.3,215.7,297.3,0.0,0.0,,,,
CES OTHER,0.4,8.5,25.5,27.4,0.0,0.0,0.0,0.0,0.0,,,,
BEL OTHER,5.6,27.4,89.6,189.8,296.5,414.5,523.6,629.2,714.6,,,,
BEM OTHER,0.7,7.2,25.5,64.8,117.8,190.5,273.7,362.7,0.0,,,,
BES OTHER,2.0,12.4,36.9,83.2,147.4,0.0,0.0,0.0,0.0,,,,
PEL OTHER,5.7,6.9,7.6,7.7,7.3,6.3,3.7,2.2,0.0,,,,
PEM OTHER,13.6,12.8,12.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,
PES OTHER,13.6,12.8,12.1,11.1,10.2,0.0,0.0,0.0,0.0,,,,
