,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACRU,0.8,10.9,38.5,84.8,135.7,188.4,241.9,295.4,348.6,,,
ACSA1,2.3,18.4,50.6,95.6,139.6,181.8,222.3,261.2,298.5,,,
ACSA2,1.8,17.4,52.6,105.4,159.3,212.6,264.8,315.6,315.6,,,
BENI,4.0,22.5,52.5,89.4,122.8,153.2,153.2,153.2,153.2,,,
COFL,6.7,13.8,29.0,57.3,94.3,94.3,94.3,94.3,94.3,,,
ILOP,2.7,8.1,21.6,49.9,89.8,89.8,89.8,89.8,89.8,,,
JUVI,2.1,7.2,20.6,49.2,90.2,143.4,209.0,209.0,209.0,,,
LA6,3.2,9.5,25.4,58.5,105.2,105.2,105.2,105.2,105.2,,,
LIST,3.9,10.3,25.7,57.1,100.8,156.9,225.3,306.1,399.2,,,
MA2,7.4,15.5,33.5,68.0,114.6,114.6,114.6,114.6,114.6,,,
MAGR,5.1,12.9,31.4,68.8,120.7,186.9,267.7,362.9,362.9,,,
PHDA4,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
PICO5,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
PIEC,2.3,8.6,25.9,63.2,117.1,187.4,274.1,274.1,274.1,,,
PITA,4.0,10.6,26.7,59.5,105.1,163.8,235.3,235.3,235.3,,,
PR,4.8,11.8,27.9,60.3,104.9,161.7,230.8,230.8,230.8,,,
PRYE,6.4,14.6,31.5,60.1,92.2,124.6,124.6,124.6,124.6,,,
PYCA,4.0,11.6,30.4,69.3,124.0,124.0,124.0,124.0,124.0,,,
QUAL,3.5,11.2,29.8,66.4,113.9,169.9,232.0,298.2,366.5,,,
QUNI,2.9,10.7,31.1,71.9,125.7,189.6,260.9,337.0,415.7,,,
QUPH,3.1,11.2,31.5,70.7,120.1,176.0,235.0,294.0,350.4,,,
QURU,0.7,8.3,32.1,80.2,138.0,197.3,251.1,294.2,322.8,,,
WARO,0.2,1.8,5.2,8.9,8.9,8.9,8.9,8.9,8.9,,,
ULAL,3.2,10.2,27.8,64.9,117.5,185.5,185.5,185.5,185.5,,,
WAFI,0.5,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,,,
BDL OTHER,3.1,11.2,31.5,70.7,120.1,176.0,235.0,294.0,350.4,,,
BDM OTHER,4.0,22.5,52.5,89.4,122.8,153.2,153.2,153.2,153.2,,,
BDS OTHER,6.7,13.8,29.0,57.3,94.3,94.3,94.3,94.3,94.3,,,
CEL OTHER,2.3,8.6,25.9,63.2,117.1,187.4,274.1,274.1,274.1,,,
CEM OTHER,2.1,7.2,20.6,49.2,90.2,143.4,209.0,209.0,209.0,,,
CES OTHER,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
BEL OTHER,2.9,10.7,31.1,71.9,125.7,189.6,260.9,337.0,415.7,,,
BEM OTHER,5.1,12.9,31.4,68.8,120.7,186.9,267.7,362.9,362.9,,,
BES OTHER,2.7,8.1,21.6,49.9,89.8,89.8,89.8,89.8,89.8,,,
PEL OTHER,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
PEM OTHER,0.2,1.8,5.2,8.9,8.9,8.9,8.9,8.9,8.9,,,
PES OTHER,0.5,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,,,
