,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACRU,3.2,7.4,102.2,366.4,730.5,1146.0,1564.2,1936.2,2213.6,,,
ACSA1,3.2,7.4,72.5,236.5,473.3,765.6,1096.5,1449.0,1805.8,,,
ACSA2,3.2,6.1,88.3,301.9,616.9,1013.9,1473.5,1976.6,1976.6,,,
BENI,3.2,23.8,90.8,247.1,480.1,789.7,789.7,789.7,789.7,,,
COFL,2.2,9.7,29.8,76.5,150.2,150.2,150.2,150.2,150.2,,,
ILOP,0.2,1.3,14.5,67.6,183.0,183.0,183.0,183.0,183.0,,,
JUVI,0.8,7.9,29.7,72.4,120.2,161.9,186.4,186.4,186.4,,,
LA6,0.2,4.0,20.2,66.4,147.7,147.7,147.7,147.7,147.7,,,
LIST,1.9,10.3,76.0,248.6,517.2,880.3,1336.6,1884.7,2523.3,,,
MA2,0.2,2.2,14.0,58.9,154.8,154.8,154.8,154.8,154.8,,,
MAGR,1.9,6.3,59.4,179.9,328.4,473.4,583.4,627.0,627.0,,,
PHDA4,3.7,10.8,17.5,24.2,31.0,38.1,45.6,45.6,45.6,,,
PICO5,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9,,,
PIEC,2.1,3.2,38.1,141.6,293.1,480.0,689.8,689.8,689.8,,,
PITA,2.1,3.2,38.4,149.5,351.6,664.6,1107.8,1107.8,1107.8,,,
PR,0.2,4.7,32.3,96.2,180.3,272.6,361.5,361.5,361.5,,,
PRYE,1.9,10.8,35.3,83.5,142.1,203.3,203.3,203.3,203.3,,,
PYCA,0.2,7.1,44.1,143.2,303.9,303.9,303.9,303.9,303.9,,,
QUAL,1.9,11.6,87.4,340.2,726.5,1227.3,1823.7,2496.8,3227.6,,,
QUNI,1.9,11.6,74.8,329.9,705.4,1163.8,1667.6,2179.2,2661.2,,,
QUPH,1.9,13.2,92.0,300.3,627.7,1075.9,1646.4,2340.5,3159.8,,,
QURU,1.9,11.6,71.0,238.0,521.8,940.6,1512.6,2255.8,3188.4,,,
WARO,0.9,8.2,19.5,30.5,30.5,30.5,30.5,30.5,30.5,,,
ULAL,5.3,36.6,123.4,280.1,436.9,542.4,542.4,542.4,542.4,,,
WAFI,7.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,,,
BDL OTHER,1.9,13.2,92.0,300.3,627.7,1075.9,1646.4,2340.5,3159.8,,,
BDM OTHER,3.2,23.8,90.8,247.1,480.1,789.7,789.7,789.7,789.7,,,
BDS OTHER,2.2,9.7,29.8,76.5,150.2,150.2,150.2,150.2,150.2,,,
CEL OTHER,2.1,3.2,38.1,141.6,293.1,480.0,689.8,689.8,689.8,,,
CEM OTHER,0.8,7.9,29.7,72.4,120.2,161.9,186.4,186.4,186.4,,,
CES OTHER,2.1,21.4,83.9,216.9,216.9,216.9,216.9,216.9,216.9,,,
BEL OTHER,1.9,11.6,74.8,329.9,705.4,1163.8,1667.6,2179.2,2661.2,,,
BEM OTHER,1.9,6.3,59.4,179.9,328.4,473.4,583.4,627.0,627.0,,,
BES OTHER,0.2,1.3,14.5,67.6,183.0,183.0,183.0,183.0,183.0,,,
PEL OTHER,3.7,10.8,17.5,24.2,31.0,38.1,45.6,45.6,45.6,,,
PEM OTHER,0.9,8.2,19.5,30.5,30.5,30.5,30.5,30.5,30.5,,,
PES OTHER,7.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,27.9,,,
