,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACRU,17.7,23.5,69.5,168.3,302.8,463.6,637.6,851.0,1109.0,,,,
ACSA1,5.8,28.6,96.0,191.4,298.9,415.0,557.8,686.5,819.0,,,,
ACSA2,3.3,35.7,101.5,168.3,221.7,258.8,280.6,289.2,-53.7,,,,
BENI,2.5,36.6,118.0,314.3,541.1,813.2,-23.1,-23.1,-23.1,,,,
COFL,2.7,24.0,64.4,125.5,181.2,-20.3,-20.3,-20.3,-20.3,,,,
ILOP,1.9,12.0,35.2,77.9,136.2,-11.2,-11.2,-11.2,-11.2,,,,
JUVI,0.6,9.4,32.1,78.2,135.6,201.4,273.6,-23.6,-23.6,,,,
LA6,0.4,8.2,28.9,60.4,94.1,-4.8,-4.8,-4.8,-4.8,,,,
LIST,1.6,11.7,46.3,101.9,168.9,257.2,341.3,430.9,541.1,,,,
MA2,3.4,33.2,82.1,149.2,205.2,-11.4,-11.4,-11.4,-11.4,,,,
MAGR,0.6,7.0,24.5,61.4,110.3,176.6,251.2,328.8,-34.1,,,,
PHDA4,5.5,6.6,6.8,6.7,6.0,4.8,2.1,0.6,-1.6,,,,
PICO5,0.3,8.3,24.6,24.5,-2.9,-2.9,-2.9,-2.9,-2.9,,,,
PIEC,1.2,14.6,51.5,131.0,218.3,331.8,441.7,-31.6,-31.6,,,,
PITA,0.8,13.5,48.8,114.9,196.1,288.7,390.2,-27.1,-27.1,,,,
PR,1.5,6.7,26.5,75.1,144.6,249.7,364.9,-13.4,-13.4,,,,
PRYE,0.8,8.3,30.4,74.2,122.5,168.9,-8.4,-8.4,-8.4,,,,
PYCA,6.4,21.1,69.9,138.9,217.8,-11.4,-11.4,-11.4,-11.4,,,,
QUAL,3.0,24.8,75.0,175.2,281.1,416.3,545.6,682.5,847.3,,,,
QUNI,5.5,26.6,87.7,183.7,283.1,389.9,483.7,569.4,629.9,,,,
QUPH,3.7,25.7,88.6,181.9,267.7,353.3,404.4,418.9,364.5,,,,
QURU,10.6,26.2,90.2,174.8,282.7,376.0,446.9,501.8,516.6,,,,
WARO,12.9,12.2,10.9,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,,,,
ULAL,7.3,24.1,82.6,188.6,293.8,409.0,-19.9,-31.6,-31.6,,,,
WAFI,13.4,12.4,11.3,10.0,8.8,-1.5,-1.6,-1.6,-1.6,,,,
BDL OTHER,3.7,25.7,88.6,181.9,267.7,353.3,404.4,418.9,364.5,,,,
BDM OTHER,2.5,36.6,118.0,314.3,541.1,813.2,-23.1,-23.1,-23.1,,,,
BDS OTHER,2.7,24.0,64.4,125.5,181.2,-20.3,-20.3,-20.3,-20.3,,,,
CEL OTHER,1.2,14.6,51.5,131.0,218.3,331.8,441.7,-31.6,-31.6,,,,
CEM OTHER,0.6,9.4,32.1,78.2,135.6,201.4,273.6,-23.6,-23.6,,,,
CES OTHER,0.3,8.3,24.6,24.5,-2.9,-2.9,-2.9,-2.9,-2.9,,,,
BEL OTHER,5.5,26.6,87.7,183.7,283.1,389.9,483.7,569.4,629.9,,,,
BEM OTHER,0.6,7.0,24.5,61.4,110.3,176.6,251.2,328.8,-34.1,,,,
BES OTHER,1.9,12.0,35.2,77.9,136.2,-11.2,-11.2,-11.2,-11.2,,,,
PEL OTHER,5.5,6.6,6.8,6.7,6.0,4.8,2.1,0.6,-1.6,,,,
PEM OTHER,12.9,12.2,10.9,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,,,,
PES OTHER,13.4,12.4,11.3,10.0,8.8,-1.5,-1.6,-1.6,-1.6,,,,
