,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,-0.001,0.000,-0.020,-0.083,-0.176,-0.283,-0.391,-0.484,-0.551
ACSA1,0.000,0.002,-0.009,-0.043,-0.100,-0.171,-0.256,-0.343,-0.434
ACSA2,-0.001,0.002,-0.015,-0.066,-0.151,-0.259,-0.388,-0.528,-0.528
BENI,0.001,0.004,0.010,0.016,0.017,0.018,0.017,0.018,0.018
COFL,0.001,0.003,0.006,0.014,0.020,0.020,0.020,0.020,0.020
ILOP,0.001,0.002,0.004,0.012,0.020,0.020,0.019,0.020,0.020
JUVI,0.000,-0.003,-0.013,-0.029,-0.050,-0.062,-0.064,-0.063,-0.063
LA6,0.001,0.002,0.005,0.014,0.022,0.022,0.022,0.022,0.022
LIST,-0.004,-0.026,-0.204,-0.672,-1.408,-2.401,-3.651,-5.150,-6.899
MA2,0.001,0.003,0.007,0.015,0.023,0.023,0.023,0.023,0.023
MAGR,-0.002,-0.008,-0.093,-0.286,-0.527,-0.757,-0.926,-0.979,-0.979
PHDA4,-0.015,-0.044,-0.072,-0.099,-0.127,-0.157,-0.189,-0.189,-0.189
PICO5,-0.005,-0.052,-0.204,-0.529,-0.529,-0.529,-0.529,-0.529,-0.529
PIEC,-0.002,-0.001,-0.031,-0.121,-0.260,-0.427,-0.615,-0.614,-0.614
PITA,-0.009,-0.013,-0.172,-0.676,-1.602,-3.036,-5.072,-5.070,-5.070
PR,0.001,0.002,0.006,0.014,0.021,0.032,0.045,0.046,0.046
PRYE,0.001,0.003,0.006,0.013,0.017,0.023,0.023,0.023,0.023
PYCA,0.001,0.002,0.007,0.017,0.027,0.027,0.026,0.027,0.027
QUAL,0.000,-0.004,-0.039,-0.164,-0.362,-0.617,-0.924,-1.268,-1.645
QUNI,-0.002,-0.016,-0.110,-0.498,-1.075,-1.778,-2.553,-3.336,-4.073
QUPH,-0.003,-0.023,-0.170,-0.560,-1.181,-2.031,-3.117,-4.439,-6.003
QURU,-0.001,-0.008,-0.052,-0.180,-0.409,-0.749,-1.222,-1.838,-2.619
WARO,-0.001,-0.012,-0.030,-0.048,-0.047,-0.047,-0.047,-0.047,-0.047
ULAL,0.001,0.002,0.007,0.017,0.027,0.041,0.040,0.041,0.041
WAFI,-0.013,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045
BDL OTHER,-0.003,-0.023,-0.170,-0.560,-1.181,-2.031,-3.117,-4.439,-6.003
BDM OTHER,0.001,0.004,0.010,0.016,0.017,0.018,0.017,0.018,0.018
BDS OTHER,0.001,0.003,0.006,0.014,0.020,0.020,0.020,0.020,0.020
CEL OTHER,-0.002,-0.001,-0.031,-0.121,-0.260,-0.427,-0.615,-0.614,-0.614
CEM OTHER,0.000,-0.003,-0.013,-0.029,-0.050,-0.062,-0.064,-0.063,-0.063
CES OTHER,-0.005,-0.052,-0.204,-0.529,-0.529,-0.529,-0.529,-0.529,-0.529
BEL OTHER,-0.002,-0.016,-0.110,-0.498,-1.075,-1.778,-2.553,-3.336,-4.073
BEM OTHER,-0.002,-0.008,-0.093,-0.286,-0.527,-0.757,-0.926,-0.979,-0.979
BES OTHER,0.001,0.002,0.004,0.012,0.020,0.020,0.019,0.020,0.020
PEL OTHER,-0.015,-0.044,-0.072,-0.099,-0.127,-0.157,-0.189,-0.189,-0.189
PEM OTHER,-0.001,-0.012,-0.030,-0.048,-0.047,-0.047,-0.047,-0.047,-0.047
PES OTHER,-0.013,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045,-0.045
