,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.2,7.1,20.6,39.8,55.2,64.1,65.3,57.5,37.4
ACSA1,0.2,6.3,17.4,28.2,36.8,43.2,47.8,49.5,48.9
ACSA2,0.2,9.9,23.2,32.1,36.1,36.8,35.3,32.5,32.5
BENI,3.1,8.7,15.7,27.0,36.8,46.6,46.6,46.6,46.6
COFL,1.4,2.4,4.0,6.4,8.9,8.9,8.9,8.9,8.9
ILOP,0.4,0.4,1.8,5.3,11.3,11.3,11.3,11.3,11.3
JUVI,0.7,2.1,3.6,4.7,4.7,3.6,1.3,1.3,1.3
LA6,0.2,1.6,4.4,8.7,13.6,13.6,13.6,13.6,13.6
LIST,3.1,6.6,17.5,30.1,42.4,56.4,68.4,80.2,93.5
MA2,0.3,1.4,3.7,8.3,13.7,13.7,13.7,13.7,13.7
MAGR,0.0,3.9,9.1,14.5,17.1,16.0,10.3,0.6,0.6
PHDA4,0.8,0.9,0.9,0.9,0.9,0.8,0.5,0.5,0.5
PICO5,1.8,5.6,8.9,5.7,5.7,5.7,5.7,5.7,5.7
PIEC,1.8,3.2,8.7,15.5,20.2,23.8,25.7,25.7,25.7
PITA,1.8,3.0,9.0,19.0,31.4,46.3,63.5,63.5,63.5
PR,0.2,3.2,7.9,14.0,18.4,20.8,20.1,20.1,20.1
PRYE,2.7,5.4,8.18,10.2,10.2,8.7,8.7,8.7,8.7
PYCA,0.3,3.2,8.6,15.3,22.4,22.4,22.4,22.4,22.4
QUAL,1.1,7.0,20.7,38.9,53.0,66.4,76.1,83.8,90.0
QUNI,1.1,6.9,24.2,40.4,50.0,54.6,54.1,49.3,41.6
QUPH,1.1,7.9,20.0,33.2,43.4,51.9,56.2,56.3,49.3
QURU,1.4,6.0,15.6,27.0,41.0,53.6,64.1,73.3,78.3
WARO,0.7,2.1,2.5,1.9,1.9,1.9,1.9,1.9,1.9
ULAL,5.0,12.7,21.6,25.8,21.8,10.8,10.8,10.8,10.8
WAFI,2.1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
BDL OTHER,1.1,7.9,20.0,33.2,43.4,51.9,56.2,56.3,49.3
BDM OTHER,3.1,8.7,15.7,27.0,36.8,46.6,46.6,46.6,46.6
BDS OTHER,1.4,2.4,4.0,6.4,8.9,8.9,8.9,8.9,8.9
CEL OTHER,1.8,3.2,8.7,15.5,20.2,23.8,25.7,25.7,25.7
CEM OTHER,0.7,2.1,3.6,4.7,4.7,3.6,1.3,1.3,1.3
CES OTHER,1.8,5.6,8.9,5.7,5.7,5.7,5.7,5.7,5.7
BEL OTHER,1.1,6.9,24.2,40.4,50.0,54.6,54.1,49.3,41.6
BEM OTHER,0.0,3.9,9.1,14.5,17.1,16.0,10.3,0.6,0.6
BES OTHER,0.4,0.4,1.8,5.3,11.3,11.3,11.3,11.3,11.3
PEL OTHER,0.8,0.9,0.9,0.9,0.9,0.8,0.5,0.5,0.5
PEM OTHER,0.7,2.1,2.5,1.9,1.9,1.9,1.9,1.9,1.9
PES OTHER,2.1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
