SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
ACRU,Acer rubrum,Red maple,BDM,ACRU,0.00,,2,B,Property Value,,,,,
ACSA1,Acer saccharinum,Silver maple,BDL,ACSA1,0.00,x,3,C,AQ Ozone dep,,,,,
ACSA2,Acer saccharum,Sugar maple,BDL,ACSA2,0.00,x,4,D,AQ NOx dep,,,,,
BENI,Betula nigra,River birch,BDM,BENI,0.00,x,5,E,AQ PM10 dep,,,,,
COFL,Cornus florida,Flowering dogwood,BDS,COFL,0.00,n/a,6,F,AQ SOx dep,,,,,
ILOP,Ilex opaca,American holly,BES,ILOP,0.00,x,7,G,AQ NOx avoided,,,,,
JUVI,Juniperus virginiana,Eastern red cedar,CEM,JUVI,0.00,x,8,H,AQ PM10 avoided,,,,,
LA6,Lagerstroemia sp.,Lagerstroemia,BDS,LA6,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
LIST,Liquidambar styraciflua,Sweetgum,BDL,LIST,0.00,n/a,10,J,AQ SOx avoided,,,,,
MA2,Malus sp.,Apple,BDS,MA2,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR,0.00,x,12,L,CO2 avoided,,,,,
PHDA4,Phoenix dactylifera,Date palm,PEL,PHDA4,0.00,,13,M,Natural Gas,,,,,
PICO5,Pinus contorta,Bolander beach pine,CES,PICO5,0.00,x,14,N,Electricity,,,,,
PIEC,Pinus echinata,Shortleaf pine,CEL,PIEC,0.00,x,15,O,LSA,,,,,
PITA,Pinus taeda,Loblolly pine,CEL,PITA,0.00,,16,P,DBH BY AGE CLASS,,,,,
PR,Prunus sp.,Plum,BDS,PR,0.00,,17,Q,Numbers,,,,,
PRYE,Prunus yedoensis,Yoshino flowering cherry,BDS,PRYE,0.00,,,R,Species Codes,,,,,
PYCA,Pyrus calleryana,Callery pear,BDS,PYCA,0.00,,,S,Interpolation range,,,,,
QUAL,Quercus alba,White oak,BDL,QUAL,0.00,,,,,,,,,
QUNI,Quercus nigra,Water oak,BDL,QUNI,0.00,,,,,,,,,
QUPH,Quercus phellos,Willow oak,BDL,QUPH,0.00,,,,,,,,,
QURU,Quercus rubra,Northern red oak,BDL,QURU,0.00,,,,,,,,,
WARO,Sabal palmetto,Cabbage palmetto,PES,WARO,0.00,,,,,,,,,
ULAL,Ulmus alata,Winged elm,BDL,ULAL,0.00,,,,,,,,,
WAFI,Washingtonia filifera,California palm,PEM,WAFI,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,QUPH,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,BENI,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,COFL,0.00,,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,PIEC,0.00,,,,,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,JUVI,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PICO5,0.00,,,,,,,,,
BEL OTHER,Broadleaf Evergreen Large Other,BEL OTHER,BEL,QUNI,0.00,,,,,,,,,
BEM OTHER,Broadleaf Evergreen Medium Other,BEM OTHER,BEM,MAGR,0.00,,,,,,,,,
BES OTHER,Broadleaf Evergreen Small Other,BES OTHER,BES,ILOP,0.00,,,,,,,,,
PEL OTHER,Palm Evergreen Large Other,PEL OTHER,PEL,PHDA4,0.00,,,,,,,,,
PEM OTHER,Palm Evergreen Medium Other,PEM OTHER,PEM,WARO,0.00,,,,,,,,,
PES OTHER,Palm Evergreen Small Other,PES OTHER,PES,WAFI,0.00,,,,,,,,,
