,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACFA,0.0004,0.0012,0.0029,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050
ACSA3,0.0000,0.0008,0.0029,0.0065,0.0072,0.0100,0.0100,0.0100,0.0100
BRPO,0.0001,0.0005,0.0016,0.0044,0.0059,0.0082,0.0082,0.0082,0.0082
CEFL,0.0002,0.0018,0.0055,0.0107,0.0108,0.0153,0.0153,0.0153,0.0153
CHLI,0.0002,0.0009,0.0029,0.0069,0.0084,0.0116,0.0116,0.0116,0.0116
EUMI2,0.0001,0.0011,0.0036,0.0076,0.0081,0.0154,0.0154,0.0154,0.0154
FRUH,0.0002,0.0012,0.0034,0.0070,0.0074,0.0131,0.0131,0.0131,0.0131
FRVE,0.0001,0.0013,0.0036,0.0068,0.0068,0.0120,0.0144,0.0144,0.0144
MOAL,0.0004,0.0020,0.0044,0.0073,0.0068,0.0116,0.0134,0.0150,0.0150
OLEU,0.0001,0.0007,0.0020,0.0037,0.0037,0.0064,0.0064,0.0064,0.0064
PAAC,0.0003,0.0018,0.0045,0.0079,0.0077,0.0134,0.0134,0.0134,0.0134
PHCA,0.0003,0.0019,0.0049,0.0089,0.0064,0.0088,0.0085,0.0083,0.0083
PHDA4,0.0001,0.0007,0.0013,0.0017,0.0014,0.0019,0.0019,0.0018,0.0018
PIBR2,0.0001,0.0006,0.0017,0.0036,0.0037,0.0051,0.0051,0.0051,0.0051
PICH,0.0002,0.0012,0.0038,0.0098,0.0071,0.0098,0.0098,0.0098,0.0098
PICO5,0.0001,0.0005,0.0017,0.0041,0.0030,0.0041,0.0041,0.0041,0.0041
PIEL2,0.0001,0.0006,0.0024,0.0056,0.0061,0.0085,0.0085,0.0085,0.0085
PIHA,0.0002,0.0007,0.0022,0.0055,0.0070,0.0149,0.0209,0.0279,0.0279
PRCH,0.0002,0.0016,0.0047,0.0089,0.0090,0.0161,0.0161,0.0161,0.0161
QUVI,0.0003,0.0013,0.0036,0.0077,0.0085,0.0156,0.0156,0.0156,0.0156
RHLA,0.0003,0.0010,0.0029,0.0057,0.0058,0.0093,0.0093,0.0093,0.0093
ULPA,0.0004,0.0025,0.0077,0.0167,0.0181,0.0259,0.0259,0.0259,0.0259
WAFI,0.0000,0.0045,0.0049,0.0051,0.0035,0.0048,0.0047,0.0046,0.0046
WARO,0.0000,0.0002,0.0005,0.0008,0.0006,0.0008,0.0008,0.0007,0.0007
BDL OTHER,0.0002,0.0012,0.0034,0.0070,0.0074,0.0131,0.0131,0.0131,0.0131
BDM OTHER,0.0002,0.0016,0.0047,0.0089,0.0090,0.0161,0.0161,0.0161,0.0161
BDS OTHER,0.0004,0.0012,0.0029,0.0050,0.0050,0.0050,0.0050,0.0050,0.0050
CEL OTHER,0.0002,0.0007,0.0022,0.0055,0.0070,0.0149,0.0209,0.0279,0.0279
CEM OTHER,0.0001,0.0006,0.0017,0.0036,0.0037,0.0051,0.0051,0.0051,0.0051
CES OTHER,0.0001,0.0005,0.0017,0.0041,0.0030,0.0041,0.0041,0.0041,0.0041
BEL OTHER,0.0001,0.0011,0.0036,0.0076,0.0081,0.0154,0.0154,0.0154,0.0154
BEM OTHER,0.0001,0.0005,0.0016,0.0044,0.0059,0.0082,0.0082,0.0082,0.0082
BES OTHER,0.0003,0.0010,0.0029,0.0057,0.0058,0.0093,0.0093,0.0093,0.0093
PEL OTHER,0.0003,0.0019,0.0049,0.0089,0.0064,0.0088,0.0085,0.0083,0.0083
PEM OTHER,0.0001,0.0007,0.0013,0.0017,0.0014,0.0019,0.0019,0.0018,0.0018
PES OTHER,0.0000,0.0002,0.0005,0.0008,0.0006,0.0008,0.0008,0.0007,0.0007
